mechanism_relation_id,paper_id,case_id,source_node,relation_type,target_node,support_type,candidate_claim_id,source_locator_id,verification_status,notes
MECH-B025-001,B025,TARGET,pressure_ratio_increase,promotes,Mach_disk_and_jet_volume_growth,simulation_resolved,T3-B025-C01,LOC-B025-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-B027-001,B027,TARGET,hydrogen_baroclinic_torque_and_nozzle_geometry,modifies,turbulent_mixing_outside_jet_core,simulation_resolved,T3-B027-C01,LOC-B027-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-C008-001,C008,TARGET,post_shock_sonic_transition,modifies,early_deformation_acceleration_and_drag,simulation_resolved,T3-C008-C01,LOC-C008-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-C009-001,C009,TARGET,Rayleigh_Taylor_instability,promotes,bag_to_multimode_breakup_morphology,simulation_resolved,T3-C009-C01,LOC-C009-0001,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-C013-001,C013,TARGET,azimuthal_sheet_modes_and_rupture,precedes,recurrent_ligament_shedding,simulation_resolved,T3-C013-C01,LOC-C013-0001,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-C027-001,C027,TARGET,bow_shock_pressure_rise_and_liquid_volatility,modifies,droplet_superheating_and_vaporization,author_interpretation,T3-C027-C01,LOC-C027-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-C032-001,C032,TARGET,droplet_heating_and_surface_tension_reduction,promotes,aerodynamic_breakup,model_based,T3-C032-C01,LOC-C032-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-D004-001,D004,TARGET,reflected_shock_wave,suppresses,radial_spray_growth_and_air_entrainment,direct_observation,T3-D004-C01,LOC-D004-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-D006-001,D006,TARGET,droplet_diameter_and_prevaporized_fraction,modifies,fuel_survival_and_detonation_wave_speed,model_based,T3-D006-C01,LOC-D006-0001,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-D008-001,D008,TARGET,bidisperse_small_droplet_fraction,promotes,rotating_detonation_stability,model_based,T3-D008-C01,LOC-D008-0001,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-D012-001,D012,TARGET,droplet_size_dependent_multistage_evaporation,modifies,reaction_zone_width_and_wave_multiplicity,model_based,T3-D012-C01,LOC-D012-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-A001-001,A001,A001-ENGINE,higher gas injection pressure,promotes,mixing-controlled combustion and PM reduction,author_interpretation,T3-A001-C01,LOC-A001-0002,verified,"Strongly conditioned by load, speed, and EGR."
MECH-A006-001,A006,A006-SPC,greater premixing before gas ignition,suppresses,rich-zone soot formation,author_interpretation,T3-A006-C01,LOC-A006-0002,verified,Optimized point also had cycle-variation/noise drawbacks.
MECH-A008-001,A008,A008-CFD,gas jet covering low-temperature pilot ignition region,suppresses,diesel pilot ignition and main-fuel ignition,simulation_resolved,T3-A008-C01,LOC-A008-0003,verified,Explains crossing-jet misfire.
MECH-B006-001,B006,B006-H2,exit-to-chamber pressure ratio,correlates_with,external expansion-wave spacing,experimental_correlation,T3-B006-C01,LOC-B006-0002,verified,Wave structure also observed for nitrogen-in-nitrogen control.
MECH-B018-001,B018,B018-CH4,higher NPR,promotes,methane-air mixing in the LES metric,simulation_resolved,T3-B018-C01,LOC-B018-0002,verified,Mixing conclusion is numerical and metric-specific.
MECH-C005-001,C005,C005-BREAKUP,rim force balance,modifies,breakup mode and fragment-size distribution,simulation_resolved,T3-C005-C01,LOC-C005-0003,verified,Transition band observed in both simulations and experiments.
MECH-C011-001,C011,C011-SINGLE,incident shock strength,modifies,stationary internal saddle-point location,model_based,T3-C011-C01,LOC-C011-0002,verified,Numerical cases agree with proposed correlation.
MECH-D001-001,D001,D001-DIESEL,ambient temperature/density and rate-of-injection ramp,modifies,whether local spray velocity exceeds sound speed,author_interpretation,T3-D001-C01,LOC-D001-0002,verified,Typical near-TDC engine conditions were judged unfavorable for spray shocks.
