"section_id","paragraph_id","argument_summary","claim_mode","SP_ids","GC_ids","MP_ids","KG_ids","paper_ids","source_locator_ids","citation_keys","boundary_ids","writing_caution_ids","evidence_status","application_directness","verification_status","notes"
"S11","S11-R01","Phase 13R section-level trace: Internal wave motion and early deformation","conditioned_generalization","SP-003","GC-0020;GC-0042","MP-013","KG-005","C018;C019;C029","LOC-C018-0007;LOC-C018-0009;LOC-C019-0008;LOC-C029-0006;LOC-C029-0008;LOC-C029-0009","[[CITE:C018]];[[CITE:C019]];[[CITE:C029]]","BC-010","","frozen_synthesis","canonical_fundamental;section_bounded","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S12","S12-R01","Phase 13R section-level trace: Competing instabilities and the breakup cascade","conditioned_generalization","SP-003;SP-008","GC-0019;GC-0021","MP-015;MP-016","KG-005;KG-010","C005;C009;C012;C013;C025","LOC-C005-0003;LOC-C009-0001;LOC-C012-0001;LOC-C013-0001","[[CITE:C005]];[[CITE:C009]];[[CITE:C012]];[[CITE:C013]];[[CITE:C025]]","BC-013;BC-014","WC-003;WC-010","frozen_synthesis","canonical_fundamental","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S13","S13-R01","Phase 13R section-level trace: Predictive limits of breakup regimes and reduced models","conditioned_generalization","SP-008","GC-0029;GC-0051","MP-017","KG-005;KG-006;KG-010","C006;C020","LOC-C006-0002;LOC-C006-0003;LOC-C020-0002","[[CITE:C006]];[[CITE:C020]]","BC-013","WC-010;WC-011","frozen_synthesis","canonical_fundamental;section_bounded","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S14","S14-R01","Phase 13R section-level trace: Wake shielding, squeeze flow, and channel closure","conditioned_generalization","SP-004","GC-0022","MP-014","KG-002","C035;C036","LOC-C035-0004;LOC-C035-0006;LOC-C036-0003;LOC-C036-0004","[[CITE:C035]];[[CITE:C036]]","BC-011","","frozen_synthesis","canonical_fundamental;cross_domain_only","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S15","S15-R01","Phase 13R section-level trace: Shock attenuation and feedback in droplet clouds","conditioned_generalization","SP-004;SP-008","GC-0028","MP-019","KG-002;KG-006","C033;C034","LOC-C033-0002;LOC-C034-0002","[[CITE:C033]];[[CITE:C034]]","BC-012","","frozen_synthesis","canonical_fundamental;cross_domain_only","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S16","S16-R01","Phase 13R section-level trace: From canonical droplets to dense pilot sprays","cross_scale_inference","SP-004","","MP-032","KG-002;KG-006","B009;B021;C033;C034;C035;C036","","[[CITE:B009]];[[CITE:B021]];[[CITE:C033]];[[CITE:C034]];[[CITE:C035]];[[CITE:C036]]","","WC-004","frozen_synthesis","cross_domain_only","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S17","S17-R01","Phase 13R section-level trace: Fragment populations and downstream transport","conditioned_generalization","SP-008","GC-0023","MP-017;MP-018","KG-006;KG-010","C006;C012;C013;C025","LOC-C025-0004","[[CITE:C006]];[[CITE:C012]];[[CITE:C013]];[[CITE:C025]]","BC-013","WC-012","frozen_synthesis","canonical_fundamental;engine_relevant","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S18","S18-R01","Phase 13R section-level trace: Coupled breakup, evaporation, and droplet survival","conditioned_generalization","SP-005;SP-008","GC-0024;GC-0027;GC-0031","MP-020;MP-022","KG-003;KG-006;KG-007","C024;C026;C027;D017","LOC-C024-0005;LOC-C026-0002;LOC-C027-0001;LOC-D017-0007","[[CITE:C024]];[[CITE:C026]];[[CITE:C027]];[[CITE:D017]]","BC-015;BC-018","WC-005","frozen_synthesis","canonical_fundamental;strong_wave_application_analogue","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S19","S19-R01","Phase 13R section-level trace: Thermal and phase-change control of deformation","conditioned_generalization","SP-005","GC-0025;GC-0026","MP-021","KG-007","C031;C032","LOC-C031-0008;LOC-C031-0009;LOC-C032-0001","[[CITE:C031]];[[CITE:C032]]","BC-016;BC-017;BC-018","WC-005","frozen_synthesis","canonical_fundamental","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S20","S20-R01","Phase 13R section-level trace: Fragment transport, vaporization, and mixture redistribution","evidence_gap_statement","SP-006","GC-0053","MP-024;MP-028","KG-003;KG-009","A007;A011;C024;C025;D017","LOC-A007-0006;LOC-A011-0002;LOC-C024-0005","[[CITE:A007]];[[CITE:A011]];[[CITE:C024]];[[CITE:C025]];[[CITE:D017]]","BC-027","WC-006","frozen_synthesis","direct_HPDI;engine_relevant","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S21","S21-R01","Phase 13R section-level trace: Injection chronology, jet geometry, and mixture preparation","conditioned_generalization;review_secondary_context","SP-006","GC-0001;GC-0004;GC-0005;GC-0045","MP-025","KG-009","A005;A006;A011;A014;A016;A017;A018;A027;A029","LOC-A005-0002;LOC-A006-0002;LOC-A011-0002;LOC-A014-0002;LOC-A016-0009;LOC-A016-0010;LOC-A017-0001;LOC-A018-0002;LOC-A027-0001;LOC-A029-0002;LOC-A029-0003","[[CITE:A005]];[[CITE:A006]];[[CITE:A011]];[[CITE:A014]];[[CITE:A016]];[[CITE:A017]];[[CITE:A018]];[[CITE:A027]];[[CITE:A029]]","BC-023","WC-007","frozen_synthesis","direct_HPDI;section_bounded","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S22","S22-R01","Phase 13R section-level trace: Pilot-product entrainment and ignition","conditioned_generalization","SP-006","GC-0002;GC-0038;GC-0041;GC-0043","MP-026","KG-009","A007;A009;A012;A020;A022;A026","LOC-A007-0005;LOC-A007-0007;LOC-A009-0002;LOC-A012-0003;LOC-A020-0009;LOC-A022-0008;LOC-A026-0005","[[CITE:A007]];[[CITE:A009]];[[CITE:A012]];[[CITE:A020]];[[CITE:A022]];[[CITE:A026]]","BC-024","WC-007","frozen_synthesis","direct_HPDI","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S23","S23-R01","Phase 13R section-level trace: Heat-release modes and operating-condition tradeoffs","conditioned_generalization","SP-006","GC-0003;GC-0040;GC-0044;GC-0046","MP-027","KG-009","A001;A002;A011;A013;A018;A026","LOC-A001-0002;LOC-A002-0003;LOC-A011-0002;LOC-A013-0002;LOC-A018-0002;LOC-A026-0006","[[CITE:A001]];[[CITE:A002]];[[CITE:A011]];[[CITE:A013]];[[CITE:A018]];[[CITE:A026]]","","WC-007","frozen_synthesis","direct_HPDI;section_bounded","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S24","S24-R01","Phase 13R section-level trace: Condition-specific hydrogen heat-release behavior","conditioned_generalization","","GC-0047;GC-0048;GC-0049","MP-027","KG-009","A021;A024","LOC-A021-0002;LOC-A024-0002","[[CITE:A021]];[[CITE:A024]]","","","frozen_synthesis","direct_HPDI","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S25","S25-R01","Phase 13R section-level trace: From mixture preparation to ignition","cross_scale_inference","SP-006","","MP-029","KG-003;KG-009","A007;A009;A011;A020;A022","","[[CITE:A007]];[[CITE:A009]];[[CITE:A011]];[[CITE:A020]];[[CITE:A022]]","","WC-006","frozen_synthesis","direct_HPDI","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S26","S26-R01","Phase 13R section-level trace: Droplet and evaporation scales in detonation-wave systems","conditioned_generalization","SP-007","GC-0032;GC-0033","MP-030","KG-008","D009;D014;D017","LOC-D009-0008;LOC-D009-0009;LOC-D014-0002","[[CITE:D009]];[[CITE:D014]];[[CITE:D017]]","BC-025","WC-008","frozen_synthesis","strong_wave_application_analogue","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S27","S27-R01","Phase 13R section-level trace: Reacting and inert strong-wave loading","conditioned_generalization","SP-003;SP-007","GC-0034;GC-0035","MP-031","KG-005;KG-008","D018;D019","LOC-D018-0005;LOC-D018-0008;LOC-D019-0006;LOC-D019-0007;LOC-D019-0008","[[CITE:D018]];[[CITE:D019]]","BC-019;BC-020","WC-008;WC-009","frozen_synthesis","canonical_fundamental;strong_wave_application_analogue","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S28","S28-R01","Phase 13R section-level trace: What strong-wave analogues reveal for HPDI","cross_scale_inference","SP-007","","MP-034","KG-003;KG-008","D009;D014;D018;D019","","[[CITE:D009]];[[CITE:D014]];[[CITE:D018]];[[CITE:D019]]","","WC-008","frozen_synthesis","cross_domain_only;strong_wave_application_analogue","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S29","S29-R01","Phase 13R section-level trace: Integrated multiscale mechanism and unresolved couplings","multi_source_synthesis","SP-001;SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008","","MP-028;MP-029;MP-032;MP-033","KG-001;KG-002;KG-003","A007;A011;A020;A022;B009;B021;C007;C016;C024;C031;C032;C033;C034;C035;C036;D017","","[[CITE:A007]];[[CITE:A011]];[[CITE:A020]];[[CITE:A022]];[[CITE:B009]];[[CITE:B021]];[[CITE:C007]];[[CITE:C016]];[[CITE:C024]];[[CITE:C031]];[[CITE:C032]];[[CITE:C033]];[[CITE:C034]];[[CITE:C035]];[[CITE:C036]];[[CITE:D017]]","BC-026;BC-027","WC-001;WC-006","frozen_synthesis","canonical_fundamental;cross_domain_only;direct_HPDI;engine_relevant;strong_wave_application_analogue","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S30","S30-R01","Phase 13R section-level trace: Measurements and models needed to resolve the coupling","evidence_gap_statement","SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008","","MP-028;MP-029;MP-032;MP-033","KG-001;KG-002;KG-003;KG-004;KG-005;KG-006;KG-007;KG-008;KG-009;KG-010","","","","BC-026;BC-027","","frozen_synthesis","canonical_fundamental;cross_domain_only;direct_HPDI;strong_wave_application_analogue","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S31","S31-R01","Phase 13R section-level trace: Conclusions","multi_source_synthesis","SP-001;SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008","","MP-028;MP-029;MP-032;MP-033","KG-001;KG-002;KG-003;KG-004;KG-005;KG-006;KG-007;KG-008;KG-009","","","","BC-026;BC-027","","frozen_synthesis","canonical_fundamental;cross_domain_only;direct_HPDI;engine_relevant;strong_wave_application_analogue","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
