"paper_id","bib_key","resolution_status","notes"
"B001","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B001]]"
"B002","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B002]]"
"B003","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B003]]"
"B004","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B004]]"
"B005","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B005]]"
"B006","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B006]]"
"B007","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B007]]"
"B008","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B008]]"
"B009","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B009]]"
"B010","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B010]]"
"B011","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B011]]"
"B012","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B012]]"
"B013","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B013]]"
"B014","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B014]]"
"B015","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B015]]"
"B016","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B016]]"
"B017","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B017]]"
"B018","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B018]]"
"B019","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B019]]"
"B020","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B020]]"
"B021","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B021]]"
"B022","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B022]]"
"B023","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B023]]"
"B024","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B024]]"
"B025","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B025]]"
"B026","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B026]]"
"B027","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B027]]"
"B028","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B028]]"
"B029","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B029]]"
"B030","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:B030]]"
"C001","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C001]]"
"C002","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C002]]"
"C003","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C003]]"
"C004","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C004]]"
"C005","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C005]]"
"C006","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C006]]"
"C007","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C007]]"
"C008","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C008]]"
"C009","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C009]]"
"C010","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C010]]"
"C011","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C011]]"
"C012","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C012]]"
"C013","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C013]]"
"C014","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C014]]"
"C015","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C015]]"
"C016","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C016]]"
"C017","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C017]]"
"C018","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C018]]"
"C019","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C019]]"
"C020","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C020]]"
"C021","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C021]]"
"C022","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C022]]"
"C023","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C023]]"
"C024","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C024]]"
"C025","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C025]]"
"C026","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C026]]"
"C027","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C027]]"
"C028","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C028]]"
"C029","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C029]]"
"C030","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C030]]"
"C031","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C031]]"
"C032","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C032]]"
"C033","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C033]]"
"C034","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C034]]"
"C035","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C035]]"
"C036","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:C036]]"
"D001","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D001]]"
"D002","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D002]]"
"D003","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D003]]"
"D004","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D004]]"
"D005","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D005]]"
"D006","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D006]]"
"D007","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D007]]"
"D008","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D008]]"
"D009","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D009]]"
"D010","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D010]]"
"D011","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D011]]"
"D012","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D012]]"
"D013","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D013]]"
"D014","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D014]]"
"D015","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D015]]"
"D016","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D016]]"
"D017","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D017]]"
"D018","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D018]]"
"D019","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:D019]]"

