"section_id","paragraph_id","argument_summary","claim_mode","SP_ids","GC_ids","MP_ids","KG_ids","paper_ids","source_locator_ids","citation_keys","boundary_ids","writing_caution_ids","evidence_status","application_directness","verification_status","notes"
"S06","S06-P02","At matched NPR, gas species can leave the gross near-field barrel/Mach-disk scale similar in some configurations while materially changing downstream shock cells, instability, potential-core length, and mixing development.","conditioned_generalization","","GC-0008","MP-004","KG-004","B010","LOC-B010-0001","[[CITE:B010]]","BC-003","","moderate","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-011"
"S06","S06-P03","Underexpanded jets exhibit a shock-dominated near field followed by a weaker-shock far-mixing region; equivalent-jet or notional-nozzle initialization is useful only after its location and decay assumptions are conditionally validated.","conditioned_generalization","","GC-0012","MP-004","KG-004","B001;B019;B020","LOC-B001-0001;LOC-B020-0001;LOC-B019-0003","[[CITE:B001]];[[CITE:B019]];[[CITE:B020]]","BC-003;BC-006","","strong","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-012"
"S06","S06-P04","Across the reviewed underexpanded-jet literature, Mach-disk position is better constrained than Mach-disk diameter, curvature, appearance threshold, cell wavelength, or potential-core length.","review_secondary_context","","GC-0015","MP-003","KG-004","B004","LOC-B004-0008","[[CITE:B004]]","BC-001","","limited","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-013"
"S07","S07-P01","Near-field shock and vortex organization can alter cone angle and downstream mixing, but the relative contributions of pressure ratio, baroclinicity, species, and nozzle geometry remain coupled.","conditioned_generalization","SP-002","GC-0014","MP-006;MP-007","KG-001","B027","LOC-B027-0001","[[CITE:B027]]","BC-006;BC-021;BC-022","","moderate","cross_domain_only;canonical_fundamental;engine_relevant","source_linked_frozen_evidence","Phase 12 trace TRC-014"
"S07","S07-P02","Spray-generated shocks depend on nozzle-exit velocity, injection-rate ramp, ambient sound speed and density, and injection timing; when present they can change spray penetration and angle, but typical hot dense engine conditions may suppress their formation.","conditioned_generalization","SP-002","GC-0036","MP-007","KG-001","D001","LOC-D001-0002","[[CITE:D001]]","BC-021;BC-022","","strong","cross_domain_only;engine_relevant","source_linked_frozen_evidence","Phase 12 trace TRC-015"
"S07","S07-P03","In the tested schlieren experiments, reflected shocks suppressed radial spray growth, cone angle, volume, and entrainment while leaving spray-tip penetration comparatively unchanged.","conditioned_generalization","","GC-0037","MP-007","KG-001","D004","LOC-D004-0001","[[CITE:D004]]","BC-021;BC-022","","strong","engine_relevant","source_linked_frozen_evidence","Phase 12 trace TRC-016"
"S08","S08-P01","The corpus independently supports NPR-to-shock-structure and loading-to-droplet-response relations, but it does not directly establish the full underexpanded-jet shock-structure to actual HPDI pilot-spray local-loading link.","evidence_gap_statement","SP-002","GC-0052","MP-033","KG-001;KG-004","B009;B021;C007","LOC-B021-0004;LOC-B009-0007;LOC-C007-0006","[[CITE:B009]];[[CITE:B021]];[[CITE:C007]]","BC-026","WC-001","limited","cross_domain_only","source_linked_frozen_evidence","Phase 12 trace TRC-017"
"S09","S09-P01","Nonuniform or finite-duration shock/aerodynamic forcing changes droplet response according to the compatibility between loading duration or length scale and droplet deformation or instability time scales.","conditioned_generalization","SP-003","GC-0016","MP-009;MP-011","KG-005","D003","LOC-D003-0006;LOC-D003-0007","[[CITE:D003]]","BC-007","WC-003","limited","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-018"
"S09","S09-P04","tau_loading/tau_response is a possible organizing metric suggested by the synthesis, not an established nondimensional parameter.","project_hypothesis","SP-003","","MP-009;MP-011","KG-005","D003","LOC-D003-0006;LOC-D003-0007","[[CITE:D003]]","","WC-003","project_hypothesis","not_validated","frozen_synthesis","Explicit hypothesis boundary retained"
"S10","S10-P01","Droplet deformation and breakup timing or morphology depend jointly on aerodynamic loading, droplet size, and Mach context; comparable Weber number alone does not ensure comparable response.","conditioned_generalization","SP-003","GC-0017","MP-010;MP-011;MP-012","KG-005","C014;C025","LOC-C014-0003;LOC-C014-0004;LOC-C025-0006","[[CITE:C014]];[[CITE:C025]]","BC-008;BC-009","WC-003","strong","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-019"
"S10","S10-P02","Compressibility can change breakup morphology and transverse spreading at supersonic conditions, although early scaled drift, acceleration, or drag may remain similar across the sonic transition in narrower numerical conditions.","conditioned_generalization","SP-003","GC-0018","MP-012","KG-005","C008;C007","LOC-C007-0005;LOC-C008-0001","[[CITE:C008]];[[CITE:C007]]","BC-009","","moderate","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-020"
"S10","S10-P03","Aerobreakup regimes organize morphology and downstream cloud properties, but critical Weber boundaries are meaningful only with explicit velocity, density, length, surface-tension, Mach, and forcing definitions.","conditioned_generalization","SP-003","GC-0030","MP-010","KG-005","C002","LOC-C002-0001","[[CITE:C002]]","BC-008;BC-014","WC-003","limited","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-021"
"S10","S10-P04","RTP can persist to We near 800 for small droplets, while SIE can occur near We 200 for larger droplets.","conditioned_generalization","SP-003","GC-0039","MP-010;MP-012","KG-005","C016","LOC-C016-0004","[[CITE:C016]]","BC-008;BC-009","","strong","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-022"
"S11","S11-P01","Early shock transmission, refraction, Mach-stem motion, expansion, and internal-flow topology can create localized pressure extrema and circulation that imprint later droplet deformation; the mechanism changes with wave-speed ratio, phase state, and shock strength.","conditioned_generalization","SP-003","GC-0020","MP-013","KG-005","C018;C029","LOC-C018-0009;LOC-C018-0007;LOC-C029-0006;LOC-C029-0008;LOC-C029-0009","[[CITE:C018]];[[CITE:C029]]","BC-010","","moderate","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-023"
"S11","S11-P02","For the modeled divergent shock, curvature shifts ligament formation upstream and sustains greater spanwise extension relative to the planar comparison.","conditioned_generalization","","GC-0042","","KG-005","C019","LOC-C019-0008","[[CITE:C019]]","","","moderate","section_bounded","source_linked_frozen_evidence","Phase 12 trace TRC-024"
"S12","S12-P01","Extreme aerobreakup proceeds through multiscale sheet, wave, and ligament formation, with recurrent ligament shedding and fragmentation that require high-resolution diagnostics or interface-resolved modelling to resolve.","conditioned_generalization","SP-008","GC-0019","MP-015;MP-016","KG-005;KG-010","C012;C013","LOC-C012-0001;LOC-C013-0001","[[CITE:C012]];[[CITE:C013]]","BC-013;BC-014","WC-010","strong","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-025"
"S12","S12-P02","Breakup morphology emerges from condition-dependent competition among Rayleigh-Taylor growth, Kelvin-Helmholtz or shear stripping, capillary retraction, sheet rupture, and wake dynamics rather than from Weber number alone.","conditioned_generalization","SP-003","GC-0021","MP-015;MP-016","KG-005;KG-010","C005;C009","LOC-C005-0003;LOC-C009-0001","[[CITE:C005]];[[CITE:C009]]","BC-014","WC-003;WC-010","moderate","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-026"
"S13","S13-P01","No single reduced breakup model is yet demonstrated to predict deformation history, morphology, fragment sizes, cloud length, evaporation time, and phase-change coupling across the full shock-droplet condition space.","conditioned_generalization","SP-008","GC-0029","MP-017","KG-005;KG-006;KG-010","C006","LOC-C006-0002;LOC-C006-0003","[[CITE:C006]]","BC-013","WC-010;WC-011","moderate","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-027"
"S13","S13-P02","This deformation has been successfully predicted using the Taylor Analogy Breakup (TAB) model (O’Rourke and Amsden, 1986), which treats the droplet as a spring, mass, and damper system.","conditioned_generalization","","GC-0051","","KG-005;KG-006;KG-010","C020","LOC-C020-0002","[[CITE:C020]]","","WC-011","limited","section_bounded","source_linked_frozen_evidence","Phase 12 trace TRC-028"
"S14","S14-P01","Neighboring droplets alter shock-driven breakup through wake shielding, squeeze flow, and channel closure; spacing effects depend on tandem versus parallel geometry and Weber number.","conditioned_generalization","SP-004","GC-0022","MP-014","KG-002","C035;C036","LOC-C035-0006;LOC-C035-0004;LOC-C036-0003;LOC-C036-0004","[[CITE:C035]];[[CITE:C036]]","BC-011","","strong","cross_domain_only;canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-029"
"S15","S15-P01","Shock propagation through a dilute droplet cloud is attenuated by exchange area, volume fraction, droplet size, shock strength, and breakup; neglecting fragmentation can overpredict transmitted pressure.","conditioned_generalization","SP-004;SP-008","GC-0028","MP-019","KG-002;KG-006","C033;C034","LOC-C033-0002;LOC-C034-0002","[[CITE:C033]];[[CITE:C034]]","BC-012","","strong","cross_domain_only;canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-030"
"S16","S16-P01","Deploy MP-032 and KG-002 as a central scale-transfer boundary.","cross_scale_inference","SP-004","","MP-032","KG-002;KG-006","C035;C036;C033;C034;B009;B021;C007","","[[CITE:C035]];[[CITE:C036]];[[CITE:C033]];[[CITE:C034]];[[CITE:B009]];[[CITE:B021]];[[CITE:C007]]","","WC-004","frozen_synthesis","cross_domain_only","frozen_synthesis","Phase 12 trace TRC-031"
"S17","S17-P01","After shock-driven breakup, fragment-size distributions and inter-fragment spacing evolve with breakup stage and acceleration, linking parent deformation to downstream cloud transport.","conditioned_generalization","SP-008","GC-0023","MP-017;MP-018","KG-006;KG-010","C025","LOC-C025-0004","[[CITE:C025]]","BC-013","WC-012","moderate","canonical_fundamental;engine_relevant","source_linked_frozen_evidence","Phase 12 trace TRC-032"
"S18","S18-P01","For sufficiently small droplets or strong-wave conditions, breakup, cloud growth, and evaporation can occur on overlapping time scales, so evaporation-only models may not reproduce observed droplet survival.","conditioned_generalization","SP-005;SP-008","GC-0024","MP-020;MP-022","KG-003;KG-006;KG-007","C024;D017","LOC-C024-0005;LOC-D017-0007","[[CITE:C024]];[[CITE:D017]]","BC-015","WC-005","strong","canonical_fundamental;strong_wave_application_analogue","source_linked_frozen_evidence","Phase 12 trace TRC-033"
"S18","S18-P02","For the tested droplets larger than 100 micrometres, evaporation had negligible influence on the measured deformation process over the observation interval.","conditioned_generalization","SP-005","GC-0027","","KG-003;KG-006;KG-007","C026","LOC-C026-0002","[[CITE:C026]]","BC-018","WC-005","strong","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-034"
"S18","S18-P03","Locally supersonic droplet vaporization is bounded by relative Mach number, bow-shock pressure rise, and liquid vapor pressure; weaker shock pressure rise and higher volatility favor superheating effects.","conditioned_generalization","SP-005","GC-0031","","KG-003;KG-006;KG-007","C027","LOC-C027-0001","[[CITE:C027]]","","","limited","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-035"
"S19","S19-P01","Under selected phase-change conditions, vaporization or a vapor layer can reduce interfacial shear and oppose deformation or bag development, but the direction depends on Stefan number, density ratio, volatility, and model coefficients.","conditioned_generalization","SP-005","GC-0025","MP-021","KG-007","C031","LOC-C031-0008;LOC-C031-0009","[[CITE:C031]]","BC-016;BC-017;BC-018","WC-005","limited","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-036"
"S19","S19-P02","In the modelled non-isothermal hydrocarbon cases, heating-induced surface-tension reduction promoted breakup, especially at lower Weber number and higher gas temperature.","conditioned_generalization","SP-005","GC-0026","MP-021","KG-007","C032","LOC-C032-0001","[[CITE:C032]]","BC-016;BC-017;BC-018","WC-005","limited","canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-037"
"S20","S20-P01","The corpus supports breakup/phase-change coupling and mixture-controlled ignition as separate relations, but direct evidence for a continuous shock-induced breakup to evaporation to HPDI ignition chain is insufficient.","evidence_gap_statement","SP-006","GC-0053","MP-024;MP-028","KG-003;KG-009","A007;A011;C024","LOC-C024-0005;LOC-A007-0006;LOC-A011-0002","[[CITE:A007]];[[CITE:A011]];[[CITE:C024]]","BC-027","WC-006","limited","direct_HPDI;engine_relevant","source_linked_frozen_evidence","Phase 12 trace TRC-038"
"S21","S21-P01","Within the tested pilot-ignited direct-injection configurations, relative pilot/main timing and main-fuel injection timing set the achieved premixing and shift combustion between mixing-controlled and premixed regimes, with operating-point-dependent stability and emissions tradeoffs.","conditioned_generalization","SP-006","GC-0001","MP-025","KG-009","A006;A011;A018","LOC-A011-0002;LOC-A018-0002;LOC-A006-0002","[[CITE:A006]];[[CITE:A011]];[[CITE:A018]]","BC-023","WC-007","strong","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-039"
"S21","S21-P02","Injector-hole arrangement and relative jet geometry reorganize entrainment, overlap, wall interaction, and mixture stratification, so stronger local mixing does not necessarily reduce soot or unburned-fuel emissions.","conditioned_generalization","SP-006","GC-0004","MP-025","KG-009","A005;A017;A016","LOC-A016-0009;LOC-A016-0010;LOC-A005-0002;LOC-A017-0001","[[CITE:A005]];[[CITE:A017]];[[CITE:A016]]","BC-023","WC-007","moderate","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-040"
"S21","S21-P03","Dual-fuel direct injection provides independent timing, quantity, and interval control that shapes reactivity and mixture stratification, but the resulting ignition behavior remains conditional on fuel sequence, oxygen level, and injector arrangement.","review_secondary_context","","GC-0005","MP-025","KG-009","A027;A029","LOC-A029-0003;LOC-A029-0002;LOC-A027-0001","[[CITE:A027]];[[CITE:A029]]","BC-023","","limited","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-041"
"S21","S21-P04","NG mixture evolution: Regardless of the operating condition or RIT, NG premixing takes place near the piston bowl wall prior to ignition, including operation where the gaseous fuel is injected after the pilot combustion.","conditioned_generalization","","GC-0045","","KG-009","A014","LOC-A014-0002","[[CITE:A014]]","","","limited","section_bounded","source_linked_frozen_evidence","Phase 12 trace TRC-042"
"S22","S22-P01","Pilot/main jet overlap and dwell can accelerate main-fuel ignition through interaction with reacting pilot products while delaying or suppressing pilot ignition when the interaction disrupts the pilot; the direction therefore depends on chronology and geometry.","conditioned_generalization","SP-006","GC-0002","MP-026","KG-009","A009;A022;A007","LOC-A007-0005;LOC-A007-0007;LOC-A022-0008;LOC-A009-0002","[[CITE:A009]];[[CITE:A022]];[[CITE:A007]]","BC-024","WC-007","strong","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-043"
"S22","S22-P02","Ignition after H2 end of injection produces slower propagation and persistent lean unburned zones.","conditioned_generalization","SP-006","GC-0038","MP-026","KG-009","A020","LOC-A020-0009","[[CITE:A020]]","BC-024","","strong","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-044"
"S22","S22-P03","Advancing H2 injection changes the premixed/mixing-controlled balance and the 30 CA bTDC case significantly delays diesel pilot ignition, attributed to preignition dilution.","conditioned_generalization","SP-006","GC-0041","MP-026","KG-009","A026","LOC-A026-0005","[[CITE:A026]]","BC-024","WC-007","moderate","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-045"
"S22","S22-P04","In the homogeneous-reactor analysis, temperature dominated methane ignition above about 1100 K, while realistic H/OH radicals shortened ignition delay mainly in the 950–1100 K interval.","conditioned_generalization","","GC-0043","MP-026","KG-009","A012","LOC-A012-0003","[[CITE:A012]]","BC-024","","limited","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-046"
"S23","S23-P01","Higher gaseous-fuel injection pressure generally intensifies post-ignition mixing and can shorten mixing-controlled combustion at higher load, while ignition sensitivity and emissions or pressure-rise penalties remain operating-point dependent.","conditioned_generalization","SP-006","GC-0003","MP-027","KG-009","A001;A002;A011","LOC-A002-0003;LOC-A011-0002;LOC-A001-0002","[[CITE:A001]];[[CITE:A002]];[[CITE:A011]]","","WC-007","strong","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-047"
"S23","S23-P02","Increasing diesel energy share strengthens and spreads the pilot flame, accelerating the initial H2 reaction, while the late mixing-controlled phase remains similar across energy shares.","conditioned_generalization","SP-006","GC-0040","MP-027","KG-009","A026","LOC-A026-0006","[[CITE:A026]]","","","strong","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-048"
"S23","S23-P03","Regimes of PIDING combustion were identified as domains of RIT (representing NG stratification) where pilot and NG combustion AHRR, and emissions behaved consistently with respect to variation of f g, Pinj, and RIT.","conditioned_generalization","","GC-0044","","KG-009","A013","LOC-A013-0002","[[CITE:A013]]","","","limited","section_bounded","source_linked_frozen_evidence","Phase 12 trace TRC-049"
"S23","S23-P04","H2DDI combustion at controlled CA50 and up to 50% hydrogen energy fraction is feasible at all injection timings of hydrogen without pre-ignition or knocking.","conditioned_generalization","","GC-0046","MP-027","KG-009","A018","LOC-A018-0002","[[CITE:A018]]","","","limited","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-050"
"S24","S24-P01","When the injection and combustion periods of H 2 are longer than that of the diesel surrogate, peak AHRR occurs immediately after H 2 jet ignition, followed by a steady AHRR period until end of H 2 injection, unless the diesel surrogate injection and combustion duration surpasses premixed combustion, at which the AHRR profile becomes transient.","conditioned_generalization","","GC-0047","MP-027","KG-009","A021","LOC-A021-0002","[[CITE:A021]]","","","limited","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-051"
"S24","S24-P02","The apparent heat release-rate (AHRR) in the dual-fuel case is mainly influenced by H 2 combustion.","conditioned_generalization","","GC-0048","MP-027","KG-009","A021","LOC-A021-0002","[[CITE:A021]]","","","limited","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-052"
"S24","S24-P03","For the most part hydrogen stays at a higher HRR than methane due to a smaller quenching distance, greater jet momentum and higher rich flammability limit. The late combustion phase begins after the injection event has ended and HRR begins to fall off rapidly.","conditioned_generalization","","GC-0049","MP-027","KG-009","A024","LOC-A024-0002","[[CITE:A024]]","","","limited","direct_HPDI","source_linked_frozen_evidence","Phase 12 trace TRC-053"
"S25","S25-P01","Deploy MP-029 and distinguish it from the directly supported timing chain.","cross_scale_inference","SP-006","","MP-029","KG-003;KG-009","A006;A011;A018;A009;A022;A007;C024","","[[CITE:A006]];[[CITE:A011]];[[CITE:A018]];[[CITE:A009]];[[CITE:A022]];[[CITE:A007]];[[CITE:C024]]","","WC-006","frozen_synthesis","direct_HPDI","frozen_synthesis","Phase 12 trace TRC-054"
"S26","S26-P01","In two-phase rotating-detonation studies, droplet size and evaporation scale relative to refill, reaction, or wave scales govern vaporization completeness, unburned pockets, wave structure, multiplicity, speed deficit, and extinction or stabilization.","conditioned_generalization","SP-007","GC-0032","MP-030","KG-008","D009","LOC-D009-0008;LOC-D009-0009","[[CITE:D009]]","BC-025","WC-008","limited","strong_wave_application_analogue","source_linked_frozen_evidence","Phase 12 trace TRC-055"
"S26","S26-P02","Droplet proximity and longitudinal position relative to a detonation wave set the temperature impulse, kinematics, and evaporation rate, while some downstream droplets are weakly affected by the wave.","conditioned_generalization","SP-007","GC-0033","MP-030","KG-008","D014","LOC-D014-0002","[[CITE:D014]]","BC-025","","limited","strong_wave_application_analogue","source_linked_frozen_evidence","Phase 12 trace TRC-056"
"S27","S27-P01","Under detonation-wave loading, smaller droplets and stronger waves accelerate instability and breakup, while liquid properties and the transition from stripping to coupled KHI-RTI piercing alter the collapsed breakup time.","conditioned_generalization","SP-007;SP-003","GC-0034","MP-031","KG-005;KG-008","D018","LOC-D018-0005;LOC-D018-0008","[[CITE:D018]]","BC-019;BC-020","WC-008","strong","strong_wave_application_analogue;canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-057"
"S27","S27-P02","At equal leading-shock Mach, detonation and inert-shock cases can share early wave topology yet diverge in later cavitation, deformation, drag, and breakup because heat release changes post-wave velocity, sound speed, pressure gradients, and loading duration.","conditioned_generalization","SP-007","GC-0035","MP-031","KG-005;KG-008","D019","LOC-D019-0006;LOC-D019-0007;LOC-D019-0008","[[CITE:D019]]","BC-019;BC-020","WC-008;WC-009","moderate","strong_wave_application_analogue","source_linked_frozen_evidence","Phase 12 trace TRC-058"
"S28","S28-P01","Deploy MP-034 and KG-008 as an application boundary.","cross_scale_inference","SP-007","","MP-034","KG-008;KG-003","D009;D018;D019;A007;A011;C024","","[[CITE:D009]];[[CITE:D018]];[[CITE:D019]];[[CITE:A007]];[[CITE:A011]];[[CITE:C024]]","","WC-008","frozen_synthesis","strong_wave_application_analogue;cross_domain_only","frozen_synthesis","Phase 12 trace TRC-059"
"S29","S29-P01","Reassemble all MP pathways with evidence-status and application-distance encoding.","multi_source_synthesis","SP-001;SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008","","MP-028;MP-029;MP-032;MP-033","KG-001;KG-002;KG-003","B009;B021;C007;A007;A011;C024","","[[CITE:B009]];[[CITE:B021]];[[CITE:C007]];[[CITE:A007]];[[CITE:A011]];[[CITE:C024]]","BC-026;BC-027","WC-001;WC-006","frozen_synthesis","engine_relevant;cross_domain_only;canonical_fundamental;direct_HPDI;strong_wave_application_analogue","frozen_synthesis","Phase 12 trace TRC-060"
"S30","S30-P01","Deploy KG-001–KG-010 as staged research needs.","evidence_gap_statement","SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008","","MP-028;MP-029;MP-032;MP-033","KG-001;KG-002;KG-003;KG-004;KG-005;KG-006;KG-007;KG-008;KG-009;KG-010","B009;B021;C007;A007;A011;C024","","[[CITE:B009]];[[CITE:B021]];[[CITE:C007]];[[CITE:A007]];[[CITE:A011]];[[CITE:C024]]","BC-026;BC-027","","frozen_synthesis","cross_domain_only;canonical_fundamental;direct_HPDI;strong_wave_application_analogue","frozen_synthesis","Phase 12 trace TRC-061"
"S31","S31-P01","Restate the internal thesis, contributions, and bounded research priorities.","multi_source_synthesis","SP-001;SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008","","MP-028;MP-029;MP-032;MP-033","KG-001;KG-002;KG-003;KG-004;KG-005;KG-006;KG-007;KG-008;KG-009","B009;B021;C007;A007;A011;C024","","[[CITE:B009]];[[CITE:B021]];[[CITE:C007]];[[CITE:A007]];[[CITE:A011]];[[CITE:C024]]","BC-026;BC-027","","frozen_synthesis","engine_relevant;cross_domain_only;canonical_fundamental;direct_HPDI;strong_wave_application_analogue","frozen_synthesis","Phase 12 trace TRC-062"

