link_id,tier3_paper_id,tier3_candidate_claim_id,core_tier,core_paper_id,core_candidate_claim_id_or_anchor,link_type,shared_parameter_or_mechanism,tier3_source_locator_id,confidence,retain_for_global_consolidation,status,notes
T3LINK-0019,C013,T3-C013-C01,tier1,C007,T1-C007-C03,supports_mechanism,wave cascade terminates through ligament-mediated fragmentation,LOC-C013-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0020,C027,T3-C027-C01,tier1,C024,T1-C024-C01,provides_boundary_condition,breakup and vaporization under high-speed compressible loading,LOC-C027-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0021,C028,T3-C028-C01,tier1,C031,PILOT-C031-C01,extends_method,phase-change/interface coupling modifies shock-droplet response,LOC-C028-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0022,C032,T3-C032-C01,tier2,C030,T2-C030-C02,provides_boundary_condition,phase change and thermal effects modify breakup,LOC-C032-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0023,D004,T3-D004-C01,tier2,D005,T2-D005-C01,provides_boundary_condition,shock-wave effects on diesel-spray penetration and angle,LOC-D004-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0024,D006,T3-D006-C01,tier1,D009,PILOT-D009-C02,extends_fuel_or_species,evaporation completeness controls detonation propagation/stability,LOC-D006-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0025,D008,T3-D008-C01,tier1,D009,PILOT-D009-C02,extends_condition,evaporation completeness and unburned pockets govern wave stability,LOC-D008-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0026,D012,T3-D012-C01,tier1,D009,PILOT-D009-C02,extends_fuel_or_species,evaporation-scale control of rotating-detonation wave response,LOC-D012-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0027,A001,T3-A001-C01,tier2,A002,T2-A002-C01,corroborates,load-dependent injection-pressure/mixing benefit,LOC-A001-0002,high,YES,candidate,Phase 9.1 scientific link; global consolidation deferred.
T3LINK-0028,A006,T3-A006-C01,tier2,A011,T2-A011-C01,extends_application_context,premixing degree and combustion regime,LOC-A006-0002,high,YES,candidate,Phase 9.1 scientific link; global consolidation deferred.
T3LINK-0029,A008,T3-A008-C01,tier1,A007,T1-A007-C01,supports_mechanism,overlap-sensitive pilot ignition and misfire,LOC-A008-0003,high,YES,candidate,Phase 9.1 scientific link; global consolidation deferred.
T3LINK-0030,B006,T3-B006-C01,tier1,B021,T1-B021-C01,corroborates,pressure-ratio-controlled underexpanded-jet structure,LOC-B006-0002,high,YES,candidate,Phase 9.1 scientific link; global consolidation deferred.
T3LINK-0031,B018,T3-B018-C01,tier1,B021,T1-B021-C02,extends_transient_context,time-varying NPR and Mach-disk position,LOC-B018-0002,high,YES,candidate,Phase 9.1 scientific link; global consolidation deferred.
T3LINK-0032,C005,T3-C005-C01,tier2,C036,T2-C036-C01,extends_regime_context,Weber-number breakup modes and interface deformation,LOC-C005-0003,high,YES,candidate,Phase 9.1 scientific link; global consolidation deferred.
T3LINK-0033,C011,T3-C011-C01,tier1,D019,T1-D019-C03,supports_mechanism,early shock impulse and droplet deformation topology,LOC-C011-0002,high,YES,candidate,Phase 9.1 scientific link; global consolidation deferred.
