paper_id,target_id,target_question,review_mainline_role,target_basis,core_anchor_candidate,priority,target_status,notes
B014,T3TARGET-B014-01,Does the transient outward-opening jet show a valve-lift-linked transition toward self-similar penetration and stable concentration structure?,injector opening transient -> jet asymmetry/concentration -> mixing,Tier 1 B029 emphasizes pressure-history-dependent transients; this experiment adds valve-lift and concentration behavior.,tier1:B029:PILOT-B029-C01,medium,complete,One evidence-driven target; full text keyword-scanned.
B015,T3TARGET-B015-01,"How does pressure ratio affect penetration, volume, angle, and entrainment for an outward-opening hydrogen injector?",pressure ratio and injector geometry -> penetration/entrainment,Tier 1 B028 ranks NPR and nozzle geometry as major controls; this experiment supplies an outward-opening geometry boundary.,tier1:B028:T1-B028-C01,medium,complete,One evidence-driven target; full text keyword-scanned.
B020,T3TARGET-B020-01,Does the methane jet exhibit a shock-dominated near-nozzle zone distinct from a downstream momentum-conserving zone?,near-nozzle shocks -> force/impulse -> entrainment boundary,Tier 1 B004 identifies a structured near field; this experiment measures force and impulse rather than only optical geometry.,tier1:B004:T1-B004-C01,high,complete,One evidence-driven target; full text keyword-scanned.
B022,T3TARGET-B022-01,Does exit cross-section shape reorganize shock topology and radial mixing independently of pressure ratio?,nozzle cross-section -> shocks/vorticity -> axis switching and mixing,Tier 1 B028 identifies nozzle diameter as a mixing control; this study extends geometry to non-axisymmetric shapes.,tier1:B028:T1-B028-C02,high,complete,One evidence-driven target; full text keyword-scanned.
B025,T3TARGET-B025-01,Do pressure ratio and gas species independently support Mach-disk growth and downstream mixing localization?,pressure ratio/species -> Mach disk -> downstream turbulent mixing,Tier 1 B009 provides the primary matched-species/NPR anchor; this newer CFD study supplies an independent method and range.,tier1:B009:T1-B009-C01,medium,complete,One evidence-driven target; full text keyword-scanned.
B026,T3TARGET-B026-01,Can an open URANS-WENO workflow reproduce the underexpanded-jet quantities needed for engine engineering studies?,numerical method -> shock/mixing fidelity versus cost,Tier 1 A028 already frames fidelity-cost tradeoffs; this paper is checked for a distinct Tier 3 method contribution.,,low,complete,One evidence-driven target; full text keyword-scanned.
B027,T3TARGET-B027-01,"How do hydrogen properties, pressure ratio, and round/annular geometry alter mixing outside the shock-containing core?",gas properties/nozzle geometry -> baroclinic and coherent mixing,Tier 1 B028 links NPR/nozzle geometry to mixing; this LES study adds round-versus-annular and baroclinic interpretation.,tier1:B028:T1-B028-C01,high,complete,One evidence-driven target; full text keyword-scanned.
C003,T3TARGET-C003-01,"Does this review provide a defensible secondary framework for breakup morphology, time, fragments, and modelling terminology?",definitions and historical context for secondary atomization,Tier 1 C007 is the current multiscale review anchor; C003 is checked for older terminology and consensus context only.,tier1:C007:T1-C007-C03,medium,complete,One evidence-driven target; full text keyword-scanned.
C008,T3TARGET-C008-01,Does crossing from subsonic to supersonic post-shock flow materially change the early deformation/drag response?,"post-shock flow state -> early deformation, acceleration, and drag","Tier 1 C007 flags compressibility effects, while C025 provides shock-Mach breakup chronology; this study isolates early-stage response.",tier1:C007:T1-C007-C02,high,complete,One evidence-driven target; full text keyword-scanned.
C009,T3TARGET-C009-01,"Does RT instability organize bag, bag-stamen, and multimode breakup in the studied supersonic-flow Weber range?",supersonic aerodynamic loading -> RT growth -> breakup morphology,Tier 1 C007/C025 provide multiscale and shock-Mach anchors; this paper supplies a supersonic-flow RT interpretation.,tier1:C025:T1-C025-C01,high,complete,One evidence-driven target; full text keyword-scanned.
C012,T3TARGET-C012-01,"Does high-magnification shadowgraphy resolve sheet, ligament, and secondary-droplet features hidden by conventional imaging?",diagnostic resolution -> observable breakup mechanism,Tier 1 C016 relies on synchronized imaging and C007 emphasizes multiscale breakup; this paper tests diagnostic observability.,tier1:C016:PILOT-C016-C01,medium,complete,One evidence-driven target; full text keyword-scanned.
C013,T3TARGET-C013-01,"Is ligament formation and shedding a recurrent process, and what controls successive events?",liquid-sheet modes -> rupture -> recurrent ligament shedding,Tier 1 C007 identifies a wave-to-ligament cascade; this combined experiment/DNS resolves the ligament step directly.,tier1:C007:T1-C007-C03,high,complete,One evidence-driven target; full text keyword-scanned.
C021,T3TARGET-C021-01,Does the multiscale two-fluid method add independent physical evidence beyond existing interface-resolved SIE studies?,numerical method -> late-stage dense mist representation,Tier 1 C007/C025 already represent the multiscale cascade and interface-resolved breakup; this paper is checked for incremental late-stage value.,,low,complete,One evidence-driven target; full text keyword-scanned.
C027,T3TARGET-C027-01,How do bow-shock pressure rise and liquid volatility bound vaporization under locally supersonic droplet-relative flow?,relative Mach/bow shock and liquid properties -> vaporization,Tier 1 C024/C031 couple breakup and phase change; this experiment adds a locally supersonic superheating boundary.,tier1:C024:T1-C024-C01,high,complete,One evidence-driven target; full text keyword-scanned.
C028,T3TARGET-C028-01,Does the method preserve the pressure/velocity jumps and first-order physics needed for shock-induced droplet vaporization?,shock-interface coupling -> phase-change rate,Tier 1 C031 is the real-fluid phase-change anchor; this paper adds a distinct sharp-interface Riemann-solver method.,tier1:C031:PILOT-C031-C01,medium,complete,One evidence-driven target; full text keyword-scanned.
C032,T3TARGET-C032-01,"How do heating, surface-tension change, and hydrocarbon volatility alter aerodynamic breakup at moderate Weber number?",thermal state and fuel volatility -> surface tension/evaporation -> breakup,Tier 2 C030 and Tier 1 C031 identify phase-change coupling; this paper supplies n-decane temperature and volatility boundaries.,tier2:C030:T2-C030-C02,high,complete,One evidence-driven target; full text keyword-scanned.
D004,T3TARGET-D004-01,Does a reflected shock selectively suppress radial spray growth and mixing without materially changing tip penetration?,reflected shock -> spray morphology/entrainment -> mixing,Tier 2 D005 links shock-wave generation to spray structure; this paper isolates reflected-wave influence.,tier2:D005:T2-D005-C01,high,complete,One evidence-driven target; full text keyword-scanned.
D006,T3TARGET-D006-01,"How do droplet diameter and prevaporized fraction bound fuel survival, detonated fraction, and wave speed?",droplet size/prevaporization -> evaporation/residence -> detonation propagation,"Tier 1 D009 links evaporation length to wave stability; this study adds hydrogen-assisted, partially prevaporized n-heptane.",tier1:D009:PILOT-D009-C02,high,complete,One evidence-driven target; full text keyword-scanned.
D008,T3TARGET-D008-01,Can a small-droplet fraction stabilize a two-phase rotating detonation otherwise limited by larger-droplet evaporation?,bidisperse size distribution -> refill-zone evaporation/injection -> wave stability,Tier 1 D009 provides the evaporation-length stability anchor; this paper directly tests bidisperse distributions.,tier1:D009:PILOT-D009-C02,high,complete,One evidence-driven target; full text keyword-scanned.
D012,T3TARGET-D012-01,"How does droplet-size-dependent multi-stage evaporation alter reaction-zone width, local explosions, and wave multiplicity?",multi-stage evaporation -> reaction-zone structure -> wave multiplicity/stability,Tier 1 D009 links evaporation scale to wave response; this ethanol study adds multi-stage phase-change and wave-birth behavior.,tier1:D009:PILOT-D009-C02,high,complete,One evidence-driven target; full text keyword-scanned.
A001,T3TARGET-A001-01,Under which operating conditions does HPDI injection pressure materially affect emissions?,context/boundary evidence,Recovered local PDF and frozen Tier 3 assignment.,tier2:A002:T2-A002-C01,medium,complete,Phase 9.1 one-question claim-targeted reading complete.
A006,T3TARGET-A006-01,Can pre-ignition premixing suppress HPDI soot without unacceptable tradeoffs?,context/boundary evidence,Recovered local PDF and frozen Tier 3 assignment.,tier2:A011:T2-A011-C01,medium,complete,Phase 9.1 one-question claim-targeted reading complete.
A008,T3TARGET-A008-01,"When is HPDF combustion mixing-limited versus chemistry-limited, and how can crossing jets misfire?",context/boundary evidence,Recovered local PDF and frozen Tier 3 assignment.,tier1:A007:T1-A007-C01,medium,complete,Phase 9.1 one-question claim-targeted reading complete.
B006,T3TARGET-B006-01,Which basic scalings organize transient underexpanded hydrogen jets?,context/boundary evidence,Recovered local PDF and frozen Tier 3 assignment.,tier1:B021:T1-B021-C01,medium,complete,Phase 9.1 one-question claim-targeted reading complete.
B018,T3TARGET-B018-01,How does injector opening make a methane jet traverse different wave topologies?,context/boundary evidence,Recovered local PDF and frozen Tier 3 assignment.,tier1:B021:T1-B021-C02,medium,complete,Phase 9.1 one-question claim-targeted reading complete.
C005,T3TARGET-C005-01,What rim dynamics distinguish moderate-We breakup regimes?,context/boundary evidence,Recovered local PDF and frozen Tier 3 assignment.,tier2:C036:T2-C036-C01,medium,complete,Phase 9.1 one-question claim-targeted reading complete.
C011,T3TARGET-C011-01,Is droplet internal flow set by the initial shock or the sustained postshock stream?,context/boundary evidence,Recovered local PDF and frozen Tier 3 assignment.,tier1:D019:T1-D019-C03,medium,complete,Phase 9.1 one-question claim-targeted reading complete.
D001,T3TARGET-D001-01,Under which engine-like states can a high-pressure liquid spray remain locally supersonic?,context/boundary evidence,Recovered local PDF and frozen Tier 3 assignment.,,medium,complete,Phase 9.1 one-question claim-targeted reading complete.
