migration_id,paper_id,old_record_type,old_record_id_or_locator,new_record_type,new_record_id,migration_action,confidence,needs_review,notes
MIG-00037,C014,parameter_master_row,legacy-row-0037,parameter_record,PAR-C014-0016,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00038,C014,parameter_master_row,legacy-row-0038,parameter_record,PAR-C014-0017,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00039,C014,parameter_master_row,legacy-row-0039,parameter_record,PAR-C014-0018,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00040,C014,parameter_master_row,legacy-row-0040,parameter_record,PAR-C014-0019,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00041,C014,parameter_master_row,legacy-row-0041,parameter_record,PAR-C014-0020,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00042,C014,parameter_master_row,legacy-row-0042,parameter_record,PAR-C014-0021,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00043,C014,parameter_master_row,legacy-row-0043,parameter_record,PAR-C014-0022,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00044,C014,parameter_master_row,legacy-row-0044,parameter_record,PAR-C014-0023,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00045,C014,parameter_master_row,legacy-row-0045,parameter_record,PAR-C014-0024,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00046,C014,parameter_master_row,legacy-row-0046,parameter_record,PAR-C014-0025,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00047,C014,parameter_master_row,legacy-row-0047,parameter_record,PAR-C014-0026,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00048,C014,parameter_master_row,legacy-row-0048,parameter_record,PAR-C014-0027,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00049,C014,parameter_master_row,legacy-row-0049,parameter_record,PAR-C014-0028,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00050,C014,parameter_master_row,legacy-row-0050,parameter_record,PAR-C014-0029,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00051,C014,parameter_master_row,legacy-row-0051,parameter_record,PAR-C014-0030,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00052,C014,parameter_master_row,legacy-row-0052,parameter_record,PAR-C014-0031,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00053,C014,parameter_master_row,legacy-row-0053,parameter_record,PAR-C014-0032,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00054,C014,parameter_master_row,legacy-row-0054,parameter_record,PAR-C014-0033,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00055,C014,parameter_master_row,legacy-row-0055,parameter_record,PAR-C014-0034,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00056,C014,parameter_master_row,legacy-row-0056,parameter_record,PAR-C014-0035,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00057,C014,parameter_master_row,legacy-row-0057,parameter_record,PAR-C014-0036,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00058,C014,parameter_master_row,legacy-row-0058,parameter_record,PAR-C014-0037,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00059,C014,parameter_master_row,legacy-row-0059,parameter_record,PAR-C014-0038,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00060,C014,parameter_master_row,legacy-row-0060,parameter_record,PAR-C014-0039,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00061,C014,parameter_master_row,legacy-row-0061,parameter_record,PAR-C014-0040,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00062,C014,parameter_master_row,legacy-row-0062,parameter_record,PAR-C014-0041,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00063,C014,parameter_master_row,legacy-row-0063,parameter_record,PAR-C014-0042,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00064,C014,parameter_master_row,legacy-row-0064,parameter_record,PAR-C014-0043,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00065,C014,parameter_master_row,legacy-row-0065,parameter_record,PAR-C014-0044,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00066,C014,parameter_master_row,legacy-row-0066,parameter_record,PAR-C014-0045,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00067,C014,parameter_master_row,legacy-row-0067,parameter_record,PAR-C014-0046,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00068,C014,parameter_master_row,legacy-row-0068,parameter_record,PAR-C014-0047,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00069,C014,parameter_master_row,legacy-row-0069,parameter_record,PAR-C014-0048,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00070,C014,parameter_master_row,legacy-row-0070,parameter_record,PAR-C014-0049,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00071,C014,parameter_master_row,legacy-row-0071,parameter_record,PAR-C014-0050,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00072,C016,parameter_master_row,legacy-row-0072,parameter_record,PAR-C016-0001,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00073,C016,parameter_master_row,legacy-row-0073,parameter_record,PAR-C016-0002,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00074,C016,parameter_master_row,legacy-row-0074,parameter_record,PAR-C016-0003,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, definitions"
MIG-00075,C016,parameter_master_row,legacy-row-0075,parameter_record,PAR-C016-0004,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6 labels"
MIG-00076,C016,parameter_master_row,legacy-row-0076,parameter_record,PAR-C016-0005,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6 labels"
MIG-00077,C016,parameter_master_row,legacy-row-0077,parameter_record,PAR-C016-0006,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6 labels"
MIG-00078,C016,parameter_master_row,legacy-row-0078,parameter_record,PAR-C016-0007,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6"
MIG-00079,C016,parameter_master_row,legacy-row-0079,parameter_record,PAR-C016-0008,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, definitions"
MIG-00080,C016,parameter_master_row,legacy-row-0080,parameter_record,PAR-C016-0009,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6 labels"
MIG-00081,C016,parameter_master_row,legacy-row-0081,parameter_record,PAR-C016-0010,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6 labels"
MIG-00082,C016,parameter_master_row,legacy-row-0082,parameter_record,PAR-C016-0011,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6 labels"
MIG-00083,C016,parameter_master_row,legacy-row-0083,parameter_record,PAR-C016-0012,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6"
MIG-00084,C016,parameter_master_row,legacy-row-0084,parameter_record,PAR-C016-0013,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, definitions"
MIG-00085,C016,parameter_master_row,legacy-row-0085,parameter_record,PAR-C016-0014,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6 labels"
MIG-00086,C016,parameter_master_row,legacy-row-0086,parameter_record,PAR-C016-0015,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6 labels"
MIG-00087,C016,parameter_master_row,legacy-row-0087,parameter_record,PAR-C016-0016,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6 labels"
MIG-00088,C016,parameter_master_row,legacy-row-0088,parameter_record,PAR-C016-0017,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6"
MIG-00089,C016,parameter_master_row,legacy-row-0089,parameter_record,PAR-C016-0018,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, definitions"
MIG-00090,C016,parameter_master_row,legacy-row-0090,parameter_record,PAR-C016-0019,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6 labels"
MIG-00091,C016,parameter_master_row,legacy-row-0091,parameter_record,PAR-C016-0020,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6 labels"
MIG-00092,C016,parameter_master_row,legacy-row-0092,parameter_record,PAR-C016-0021,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6 labels"
MIG-00093,C016,parameter_master_row,legacy-row-0093,parameter_record,PAR-C016-0022,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.13, Fig. 6"
MIG-00094,D003,parameter_master_row,legacy-row-0094,parameter_record,PAR-D003-0001,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00095,D003,parameter_master_row,legacy-row-0095,parameter_record,PAR-D003-0002,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00096,D003,parameter_master_row,legacy-row-0096,parameter_record,PAR-D003-0003,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.3, Table 1"
MIG-00097,D003,parameter_master_row,legacy-row-0097,parameter_record,PAR-D003-0004,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.3, Table 1"
MIG-00098,D003,parameter_master_row,legacy-row-0098,parameter_record,PAR-D003-0005,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, pressure analysis"
MIG-00099,D003,parameter_master_row,legacy-row-0099,parameter_record,PAR-D003-0006,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, response discussion"
MIG-00100,D003,parameter_master_row,legacy-row-0100,parameter_record,PAR-D003-0007,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, response discussion"
MIG-00101,D003,parameter_master_row,legacy-row-0101,parameter_record,PAR-D003-0008,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, response discussion"
MIG-00102,D003,parameter_master_row,legacy-row-0102,parameter_record,PAR-D003-0009,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, model assumptions"
MIG-00103,B013,parameter_master_row,legacy-row-0103,parameter_record,PAR-B013-0001,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00104,B013,parameter_master_row,legacy-row-0104,parameter_record,PAR-B013-0002,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00105,B013,parameter_master_row,legacy-row-0105,parameter_record,PAR-B013-0003,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00106,B013,parameter_master_row,legacy-row-0106,parameter_record,PAR-B013-0004,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00107,B013,parameter_master_row,legacy-row-0107,parameter_record,PAR-B013-0005,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00108,B013,parameter_master_row,legacy-row-0108,parameter_record,PAR-B013-0006,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.14, Conclusions"
MIG-00109,B013,parameter_master_row,legacy-row-0109,parameter_record,PAR-B013-0007,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.11, transient results"
MIG-00110,B013,parameter_master_row,legacy-row-0110,parameter_record,PAR-B013-0008,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.12, Figs. 17–18"
MIG-00111,B029,parameter_master_row,legacy-row-0111,parameter_record,PAR-B029-0001,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00112,B029,parameter_master_row,legacy-row-0112,parameter_record,PAR-B029-0002,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00113,B029,parameter_master_row,legacy-row-0113,parameter_record,PAR-B029-0003,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.3, Fig. 1"
MIG-00114,B029,parameter_master_row,legacy-row-0114,parameter_record,PAR-B029-0004,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.3, method"
MIG-00115,B029,parameter_master_row,legacy-row-0115,parameter_record,PAR-B029-0005,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.3, definition"
MIG-00116,B029,parameter_master_row,legacy-row-0116,parameter_record,PAR-B029-0006,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, pressure trace"
MIG-00117,B029,parameter_master_row,legacy-row-0117,parameter_record,PAR-B029-0007,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, results"
MIG-00118,B029,parameter_master_row,legacy-row-0118,parameter_record,PAR-B029-0008,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, results"
MIG-00119,B029,parameter_master_row,legacy-row-0119,parameter_record,PAR-B029-0009,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, results"
MIG-00120,B029,parameter_master_row,legacy-row-0120,parameter_record,PAR-B029-0010,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.7, Table 3"
MIG-00121,B029,parameter_master_row,legacy-row-0121,parameter_record,PAR-B029-0011,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, results"
MIG-00122,B029,parameter_master_row,legacy-row-0122,parameter_record,PAR-B029-0012,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.7, Table 3"
MIG-00123,B029,parameter_master_row,legacy-row-0123,parameter_record,PAR-B029-0013,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, results"
MIG-00124,B029,parameter_master_row,legacy-row-0124,parameter_record,PAR-B029-0014,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.7, Table 3"
MIG-00125,B029,parameter_master_row,legacy-row-0125,parameter_record,PAR-B029-0015,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, results"
MIG-00126,C031,parameter_master_row,legacy-row-0126,parameter_record,PAR-C031-0001,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00127,C031,parameter_master_row,legacy-row-0127,parameter_record,PAR-C031-0002,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00128,C031,parameter_master_row,legacy-row-0128,parameter_record,PAR-C031-0003,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, Table II"
MIG-00129,C031,parameter_master_row,legacy-row-0129,parameter_record,PAR-C031-0004,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, baseline case"
MIG-00130,C031,parameter_master_row,legacy-row-0130,parameter_record,PAR-C031-0005,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, Table II"
MIG-00131,C031,parameter_master_row,legacy-row-0131,parameter_record,PAR-C031-0006,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, Table II"
MIG-00132,C031,parameter_master_row,legacy-row-0132,parameter_record,PAR-C031-0007,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, Table II"
MIG-00133,C031,parameter_master_row,legacy-row-0133,parameter_record,PAR-C031-0008,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, Table II"
MIG-00134,C031,parameter_master_row,legacy-row-0134,parameter_record,PAR-C031-0009,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, baseline"
MIG-00135,C031,parameter_master_row,legacy-row-0135,parameter_record,PAR-C031-0010,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, baseline"
MIG-00136,C031,parameter_master_row,legacy-row-0136,parameter_record,PAR-C031-0011,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, model coefficients"
MIG-00137,C031,parameter_master_row,legacy-row-0137,parameter_record,PAR-C031-0012,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, model coefficients"
MIG-00138,C031,parameter_master_row,legacy-row-0138,parameter_record,PAR-C031-0013,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, case definition"
MIG-00139,C031,parameter_master_row,legacy-row-0139,parameter_record,PAR-C031-0014,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, case definition"
MIG-00140,C031,parameter_master_row,legacy-row-0140,parameter_record,PAR-C031-0015,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, case definition"
MIG-00141,C031,parameter_master_row,legacy-row-0141,parameter_record,PAR-C031-0016,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, case definition"
MIG-00142,C031,parameter_master_row,legacy-row-0142,parameter_record,PAR-C031-0017,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, case definition"
MIG-00143,C031,parameter_master_row,legacy-row-0143,parameter_record,PAR-C031-0018,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, case definition"
MIG-00144,C031,parameter_master_row,legacy-row-0144,parameter_record,PAR-C031-0019,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.18, case definition"
MIG-00145,C031,parameter_master_row,legacy-row-0145,parameter_record,PAR-C031-0020,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, case definition"
MIG-00146,C031,parameter_master_row,legacy-row-0146,parameter_record,PAR-C031-0021,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.18, case definition"
MIG-00147,C031,parameter_master_row,legacy-row-0147,parameter_record,PAR-C031-0022,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, case definition"
MIG-00148,D017,parameter_master_row,legacy-row-0148,parameter_record,PAR-D017-0001,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00149,D017,parameter_master_row,legacy-row-0149,parameter_record,PAR-D017-0002,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00150,D017,parameter_master_row,legacy-row-0150,parameter_record,PAR-D017-0003,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, methods"
MIG-00151,D017,parameter_master_row,legacy-row-0151,parameter_record,PAR-D017-0004,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, results"
MIG-00152,D017,parameter_master_row,legacy-row-0152,parameter_record,PAR-D017-0005,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.4, Table 2"
MIG-00153,D017,parameter_master_row,legacy-row-0153,parameter_record,PAR-D017-0006,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.4, Table 2"
MIG-00154,D017,parameter_master_row,legacy-row-0154,parameter_record,PAR-D017-0007,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.4, Table 2"
MIG-00155,D017,parameter_master_row,legacy-row-0155,parameter_record,PAR-D017-0008,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, image processing"
MIG-00156,D017,parameter_master_row,legacy-row-0156,parameter_record,PAR-D017-0009,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00157,D017,parameter_master_row,legacy-row-0157,parameter_record,PAR-D017-0010,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, model setup"
MIG-00158,D017,parameter_master_row,legacy-row-0158,parameter_record,PAR-D017-0011,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, Table 4"
MIG-00159,D017,parameter_master_row,legacy-row-0159,parameter_record,PAR-D017-0012,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, Table 4"
MIG-00160,D017,parameter_master_row,legacy-row-0160,parameter_record,PAR-D017-0013,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, Table 4"
MIG-00161,D017,parameter_master_row,legacy-row-0161,parameter_record,PAR-D017-0014,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, model setup"
MIG-00162,D017,parameter_master_row,legacy-row-0162,parameter_record,PAR-D017-0015,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, Table 4"
MIG-00163,D017,parameter_master_row,legacy-row-0163,parameter_record,PAR-D017-0016,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, Table 4"
MIG-00164,D017,parameter_master_row,legacy-row-0164,parameter_record,PAR-D017-0017,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, Table 4"
MIG-00165,D017,parameter_master_row,legacy-row-0165,parameter_record,PAR-D017-0018,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.8, model setup"
MIG-00166,D017,parameter_master_row,legacy-row-0166,parameter_record,PAR-D017-0019,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, Table 4"
MIG-00167,D017,parameter_master_row,legacy-row-0167,parameter_record,PAR-D017-0020,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.9, Table 4"
