pathway_edge_id,source_node_id,target_node_id,relation,support_level,evidence_directness,condition_domain,associated_global_claim_ids,supporting_paper_count,strong_evidence_count,moderate_evidence_count,application_directness,cross_scale_status,boundary_conditions,main_limitation,knowledge_gap_ids,notes
MP-011,MN-009,MN-010,"loading-duration to response-time compatibility augments instantaneous nondimensional loading",moderate,mixed,finite-duration aerodynamic loading,GC-0016;GC-0017;GC-0024,8,2,2,canonical_fundamental,candidate_metric_only,"Use typed loading interval and an explicitly defined droplet response time.",No literature-established universal duration ratio is available.,KG-005,"A candidate metric is recorded separately as a project hypothesis."
MP-012,MN-010,MN-012,"definition-complete loading state governs deformation timing and morphology",strong,direct,isolated and ordered shock-loaded droplets,GC-0017;GC-0018;GC-0022;GC-0027;GC-0039,10,6,4,canonical_fundamental,within_domain,"Mach context, d0, liquid properties, arrangement, and observation interval must match.",Dense polydisperse reacting sprays are not validated.,KG-002;KG-005,"M04 strongly closed in canonical conditions."
MP-013,MN-011,MN-012,"internal wave focusing and circulation imprint later deformation",moderate,direct,canonical shock-droplet and transcritical models,GC-0020;GC-0035,6,0,4,canonical_fundamental,within_domain,"Wave-speed ratio, phase state, geometry, and omitted physics constrain transfer.",Evidence includes two-dimensional and model-resolved cases.,KG-002,"Mechanism is retained separately from external aerodynamic loading."
MP-014,MN-016,MN-008,"neighboring droplets and clouds redistribute effective loading through shielding, squeeze flow, closure, and attenuation",strong,direct,ordered multidroplet and dilute cloud shock interaction,GC-0022;GC-0028,5,4,4,canonical_fundamental,within_domain,"Arrangement, S/D, volume fraction, droplet size, and We must be specified.",Ordered/dilute conditions do not equal dense HPDI spray.,KG-002,"Direct collective-effect evidence."
MP-015,MN-012,MN-013,"deformation creates sheets, rims, shear layers, and waves that select competing instabilities",moderate,mixed,continuous and shock-driven aerobreakup,GC-0019;GC-0021;GC-0042,10,2,3,canonical_fundamental,within_domain,"Forcing history and instability-label definitions vary.",Broad taxonomy retains the missing C004 limitation.,KG-005;KG-010,"Intermediate mechanism between deformation and fragment production."
MP-016,MN-013,MN-014,"instability competition produces condition-dependent secondary breakup modes",strong,direct,shock-driven and continuous-flow aerobreakup,GC-0019;GC-0021;GC-0034;GC-0039,13,4,4,canonical_fundamental,within_domain,"We, Mach, d0, liquid properties, and loading duration jointly set accessible modes.",Universal critical-We boundaries are not supported.,KG-002;KG-005;KG-010,"M05 strongly closed with definition boundaries."
MP-017,MN-014,MN-015,"secondary breakup generates evolving fragment-size, velocity, spacing, and mass distributions",moderate,direct,shock-driven breakup,GC-0019;GC-0023;GC-0029,8,1,3,canonical_fundamental,within_domain,"Sampling time and fragment-detection definitions must be compatible.",Fragment product statistics are sparse.,KG-006;KG-010,"M06 direct but incompletely quantified."
MP-018,MN-015,MN-017,"fragment population state governs subsequent cloud transport and dispersion",moderate,mixed,fragment clouds and spray analogues,GC-0023;GC-0028;GC-0036;GC-0037,8,5,3,engine_relevant,analogue_only,"Wave origin, population density, fragment velocity, and ambient state differ across studies.",No common dataset resolves full fragment distributions and transport.,KG-006,"M06 transfer from canonical fragments to spray transport is conditional."
MP-019,MN-016,MN-007,"droplet clouds attenuate and reshape transmitted shock pressure history",strong,direct,dilute droplet clouds,GC-0028,2,2,2,canonical_fundamental,within_domain,"Exchange area, volume fraction, droplet size, shock strength, and breakup closure must match.",Dense reacting-spray attenuation is not validated.,KG-002;KG-006,"Feedback from population to loading."
MP-020,MN-014,MN-018,"breakup and evaporation may occur on overlapping time scales for sufficiently small droplets or strong waves",moderate,mixed,small-droplet shock and detonation loading,GC-0024;GC-0032,11,1,0,strong_wave_application_analogue,analogue_only,"Droplet size, liquid, thermal state, detection threshold, and post-wave gas history must match.",Most broader phase-change evidence is model-heavy or RDE-specific.,KG-003;KG-007,"M07 coupling is supported but not universal."
MP-021,MN-018,MN-012,"phase change can suppress or promote deformation by competing vapor-layer shear reduction and thermal property changes",limited,mixed,selected phase-changing droplet conditions,GC-0025;GC-0026;GC-0027;GC-0031,5,1,0,canonical_fundamental,within_domain,"Stefan number, volatility, density ratio, gas temperature, d0, and observation interval control direction.",The transition boundary is not constrained by matched-condition studies.,KG-007,"Direction is explicitly non-universal."
MP-022,MN-015,MN-018,"smaller fragments increase exchange area and shorten characteristic evaporation or survival scales",moderate,indirect,fragment and strong-wave analogues,GC-0024;GC-0029;GC-0032,14,1,1,strong_wave_application_analogue,analogue_only,"Fragment-size definition, gas history, liquid properties, and evaporation model must match.",Direct fragment-resolved HPDI evaporation evidence is absent.,KG-003;KG-006;KG-007,"Conceptual bridge without a universal closed-form relation."
MP-023,MN-017,MN-019,"transport and dispersion reorganize mixture distribution",moderate,direct,HPDI and spray conditions,GC-0004;GC-0009;GC-0036;GC-0037,15,5,5,engine_relevant,within_domain,"Geometry, wall interaction, ambient state, and penetration/entrainment metrics are condition-specific.",Shock-generated fragment contribution is not isolated.,KG-009,"Direct for general transport-to-mixture behavior."
MP-024,MN-018,MN-019,"evaporation contributes vapor to mixture formation",limited,indirect,cross-domain droplet and HPDI synthesis,GC-0024;GC-0027;GC-0032;GC-0053,13,2,0,engine_relevant,cross_domain_stitching,"Size, thermal state, volatility, phase-change model, and chamber mixing history must match.",Actual HPDI mixture-field contribution from shock-driven breakup/evaporation is not measured.,KG-003;KG-007;KG-009,"M08 becomes cross-domain before the requested shock-mediated application chain."
MP-025,MN-001,MN-019,"injection chronology, overlap, and geometry determine premixing and stratification",strong,direct,pilot-ignited gaseous direct injection,GC-0001;GC-0002;GC-0004;GC-0005;GC-0041,25,5,9,direct_HPDI,within_domain,"Dwell, sequence, overlap, ambient reactivity, injector arrangement, and operating point must match.",Local species and flow fields are not uniformly measured.,KG-009,"Strong A-library pathway independent of shock-droplet attribution."
MP-026,MN-019,MN-020,"mixture and pilot-product distribution govern ignition timing and location",strong,direct,pilot-ignited gaseous direct injection,GC-0001;GC-0002;GC-0003;GC-0038;GC-0040;GC-0041;GC-0043,31,10,11,direct_HPDI,within_domain,"Fuel pair, oxygen level, temperature, overlap geometry, and event definitions bound the relation.",Mechanism attribution sometimes relies on model fields or author interpretation.,KG-009,"M09 directly supported for mixture/chronology effects."
MP-027,MN-020,MN-021,"ignition chronology and propagation set heat-release mode and combustion response",strong,direct,pilot-ignited gaseous direct injection,GC-0001;GC-0003;GC-0038;GC-0040;GC-0046;GC-0047;GC-0048;GC-0049,22,10,6,direct_HPDI,within_domain,"Load, timing, energy share, injection duration, and diagnostic definitions must match.",Emissions and stability tradeoffs are operating-point dependent.,KG-009,"Direct application pathway."
MP-028,MN-007,MN-019,"shock-mediated breakup and evaporation alter the actual HPDI mixture field",missing,evidence_gap,HPDI pilot spray,GC-0053,4,0,0,direct_HPDI,not_validated,"Requires condition-matched shock, droplet/fragment, evaporation, and mixture diagnostics.",The causal chain is not directly isolated.,KG-003;KG-009,"Retained explicitly as an evidence-gap pathway."
MP-029,MN-019,MN-020,"a shock-induced mixture change causes a measurable HPDI ignition or combustion change",missing,evidence_gap,HPDI pilot spray and combustion,GC-0053,4,0,0,direct_HPDI,not_validated,"Requires synchronized shock, mixture, ignition, and heat-release measurements.",Separate-domain evidence cannot establish this causal arrow.,KG-003;KG-009,"Central downstream evidence gap."
MP-030,MN-018,MN-022,"droplet size and evaporation scales feed back on detonation/RDE wave stability and structure",moderate,mixed,two-phase detonation and RDE,GC-0032;GC-0033,10,0,0,strong_wave_application_analogue,within_RDE_domain,"Fuel, chemistry, geometry, pre-vaporized fraction, wave number, and characteristic scales must match.",Mostly numerical/application-scale evidence.,KG-008,"M10 direct within RDE domain only."
MP-031,MN-022,MN-012,"detonation leading wave and reacting post-wave history load and deform droplets",moderate,direct,detonation-wave droplet interaction,GC-0034;GC-0035,5,2,3,strong_wave_application_analogue,within_domain,"Leading-shock Mach does not fix post-wave velocity, sound speed, pressure gradient, or duration.",Shock-derived coefficients may fail under reacting histories.,KG-008,"Strong-wave analogue, not HPDI evidence."
MP-032,MN-010,MN-019,"canonical single- or ordered-droplet response transfers directly to dense polydisperse HPDI pilot spray behavior",indirect_only,cross_scale_inference,canonical-to-HPDI transfer,GC-0022;GC-0028;GC-0052,7,4,2,cross_domain_only,not_validated,"Requires realistic size distribution, spacing, volume fraction, turbulence, thermal state, and chemistry.","Shielding, attenuation, wakes, and phase change can change the mechanism.",KG-001;KG-002,"M11 remains indirect-only."
MP-033,MN-005,MN-008,"underexpanded-jet Mach-disk and shock-cell topology maps to the local loading history of actual HPDI pilot droplets",missing,evidence_gap,B-to-C-to-A transfer,GC-0052,4,0,0,cross_domain_only,not_validated,"Requires co-located time-resolved shock, gas-state, and pilot-droplet measurements.",No direct spatial-temporal HPDI measurement closes the edge.,KG-001;KG-004,"M03/M11 central unclosed bridge."
MP-034,MN-022,MN-019,"RDE or detonation droplet-scale coupling transfers to HPDI mixture and ignition behavior",indirect_only,cross_scale_inference,D-to-A transfer,GC-0032;GC-0034;GC-0035;GC-0053,17,3,3,cross_domain_only,analogue_only,"A validated mapping of loading, chemistry, residence, and characteristic-scale ratios is required.",RDE/detonation evidence cannot substitute for HPDI measurements.,KG-003;KG-008,"Bounded strong-wave analogy only."
