mechanism_node_id,node_name,node_category,physical_scale,review_mainline_role,definition,associated_global_claim_ids,associated_parameter_groups,evidence_coverage_status,notes
MN-012,Droplet deformation,droplet_response,droplet,M04;M05,"Time-dependent flattening, displacement, cross-stream growth, sheets, rims, and other pre-fragmentation morphology.",GC-0017;GC-0018;GC-0020;GC-0022;GC-0025;GC-0026;GC-0027;GC-0042,droplet_response;time_histories,strong,"Mostly isolated or ordered droplets."
MN-013,Interfacial instability competition,instability,interface,M04;M05,"Condition-dependent RT, KH, shear-stripping, capillary-retraction, sheet-rupture, and wake competition.",GC-0019;GC-0021;GC-0034;GC-0039,droplet_response;dimensionless_numbers,strong,"Regime labels require matched definitions and forcing history."
MN-014,Secondary breakup,breakup,droplet_to_fragments,M05;M06;M07,"Fragment-producing transition from deformed parent droplets through sheets, ligaments, piercing, or stripping.",GC-0019;GC-0021;GC-0022;GC-0024;GC-0029;GC-0030;GC-0034;GC-0039,droplet_response;breakup_products;events;intervals,strong,"C004 remains a source-availability limitation for broad taxonomy."
MN-015,Fragment population state,fragment_state,fragment_cloud,M06;M07,"Fragment size, velocity, spacing, mass distribution, and time-dependent cloud descriptors after breakup.",GC-0019;GC-0023;GC-0024;GC-0029,breakup_products;transport;time_histories,moderate,"Statistics are diagnostically sparse and sampling definitions vary."
MN-016,Collective droplet and cloud interaction,droplet_response,multidroplet_cloud,M03;M04;M05;M06,"Wake shielding, squeeze flow, channel closure, collective attenuation, and population-dependent loading redistribution.",GC-0022;GC-0028,interaction_geometry;spray_initial;transport,strong,"Ordered arrangements and dilute clouds do not directly represent dense reacting HPDI sprays."
MN-017,Fragment transport and dispersion,transport,fragment_to_spray,M06;M08,"Acceleration, cloud growth, penetration, lateral spreading, and entrainment of fragments or sprays.",GC-0009;GC-0023;GC-0028;GC-0036;GC-0037,transport;jet_global;breakup_products,moderate,"Direct transport evidence exists but product distributions are incomplete."
MN-018,Phase change and evaporation,phase_change,droplet_to_vapor,M07;M08;M10,"Heating, vaporization, Stefan flow, vapor-layer effects, evaporation time or length, and droplet survival.",GC-0024;GC-0025;GC-0026;GC-0027;GC-0031;GC-0032;GC-0033,phase_change;characteristic_scales;time_histories,moderate,"Phase change may suppress or promote breakup depending on thermal and interfacial state."
MN-019,Mixture redistribution,mixing,spray_to_chamber,M08;M09,"Fuel-air and pilot-product spatial redistribution through injection, overlap, entrainment, transport, evaporation, and wall interaction.",GC-0001;GC-0002;GC-0003;GC-0004;GC-0005;GC-0009;GC-0038;GC-0040,mixing;injection_conditions;interaction_geometry,limited,"Direct for injection chronology and geometry; shock-breakup contribution is not isolated."
MN-020,Ignition and reaction-front coupling,ignition,chamber,M09,"Ignition delay, ignition location, pilot/main interaction, radical and heat transport, and reaction-front development.",GC-0001;GC-0002;GC-0003;GC-0038;GC-0040;GC-0041;GC-0043,ignition_combustion;events,strong,"Direct HPDI evidence concerns chronology and mixture state rather than a closed shock-mediated chain."
MN-021,Combustion response,combustion,chamber_to_engine,M09,"Premixed versus mixing-controlled heat release, flame propagation, stability, pressure-rise, and emissions response.",GC-0001;GC-0003;GC-0004;GC-0038;GC-0040;GC-0046;GC-0047;GC-0048;GC-0049,ignition_combustion,strong,"Operating point and diagnostic definitions bound generalization."
MN-022,Detonation and RDE wave coupling,detonation_RDE,application_scale,M10,"Two-way coupling between droplet breakup or evaporation scales and detonation/RDE wave structure, speed, multiplicity, or stability.",GC-0024;GC-0032;GC-0033;GC-0034;GC-0035,rde_detonation;characteristic_scales;phase_change,moderate,"Strong-wave application analogue only for transfer to HPDI."
