bridge_id,upstream_parameter_or_group,upstream_definition,mechanism_node_id,downstream_response,physical_role,relation_direction,evidence_level,condition_domain,associated_global_claim_ids,comparison_constraints,normalization_requirements,main_limitations,notes
PB-017,droplet diameter d0,"initial parent-droplet diameter or documented distribution metric",MN-010,deformation time breakup mode and evaporation scale,length_scale,conditional,strong,single and spray droplets,GC-0017;GC-0024;GC-0027;GC-0032;GC-0034;GC-0039,"initial versus instantaneous; single value versus distribution metric","convert to SI and retain size statistic definition",Polydisperse spray transfer cannot use one nominal d0,"Core cross-scale length."
PB-018,S/D or cloud descriptor,"ordered spacing ratio or explicit volume fraction/number density/distribution statistic",MN-016,shielding channel closure and attenuation,population_geometry,nonmonotonic,strong,multidroplet and cloud shock interaction,GC-0022;GC-0028,"tandem versus parallel; spacing basis; cloud volume fraction; arrangement","retain descriptor type; do not map unlike descriptors to one S/D",No universal critical spacing across arrangements,"Dense spray requires richer descriptors."
PB-019,deformation time,"time to a defined deformation event relative to shock or loading onset",MN-012,scaled morphology evolution,response_time,conditional,moderate,shock-loaded droplets,GC-0017;GC-0018;GC-0020,"event definition; time zero; scaling time; observation method","link event and history IDs",Definitions and available histories vary,"May support a future loading/response ratio only as hypothesis."
PB-020,breakup time,"time to onset, first shedding, or completion with event definition",MN-014,breakup rate and regime transition,response_time,conditional,strong,aerobreakup,GC-0019;GC-0023;GC-0034,"breakup event; loading history; time scale; liquid and Mach context","use event/interval IDs and preserve reported definition",Generic breakup time mixes non-equivalent events,"Use only definition-matched comparisons."
PB-021,breakup mode,"reported morphology or mechanism label under explicit forcing conditions",MN-014,fragment production pathway,response_class,categorical,strong,aerobreakup,GC-0021;GC-0030;GC-0034;GC-0039,"taxonomy; We/Mach/loading definition; observation window","retain source label and mapped controlled class separately",Taxonomy boundaries are not universal; C004 missing,"Useful for mechanism maps rather than universal numeric thresholds."
PB-022,fragment size distribution,"time-resolved fragment statistic or PDF with detection and sampling definition",MN-015,transport evaporation and cloud attenuation,product_state,smaller_fragments_change_response,moderate,post-breakup clouds,GC-0023;GC-0024;GC-0029,"D10/D32/PDF basis; time; detection threshold; mass versus number weighting","preserve distribution statistic and units",Data density is low,"Single mean size is insufficient where distributions are multimodal."
PB-023,evaporation time or length,"typed droplet survival/evaporation interval or distance",MN-018,vapor availability and strong-wave scale coupling,phase_change_scale,conditional,moderate,phase-changing droplets and RDE,GC-0024;GC-0032;GC-0033,"evaporation completion criterion; gas history; liquid; frame; geometry","use SI and retain time versus length distinction",Often model-dependent or application-specific,"Do not merge evaporation time and length into one scalar."
PB-024,ignition delay,"time from a named injection/mixture event to a named ignition event",MN-020,ignition timing and combustion phasing,reaction_time,conditional,strong,HPDI/H2DDI,GC-0001;GC-0002;GC-0003;GC-0038;GC-0041,"reference SOI/EOI; ignition definition; crank-angle versus time; operating point","link both event IDs and sign convention",Definitions differ across engine/vessel studies,"Directly useful when event definitions match."
PB-025,DeltaSOI,"signed separation between explicitly identified pilot and main-fuel SOI events",MN-001,premixing overlap and ignition interaction,chronology_metric,direction_depends_on_sequence,strong,pilot-ignited direct injection,GC-0001;GC-0002;GC-0041,"fuel order; sign convention; crank-angle/time basis; dwell versus overlap","use interval/event IDs; retain sign convention",Same magnitude can represent opposite chronology,"Core A-library comparison parameter."
PB-026,L_E/L_D,"evaporation length divided by a named detonation/reaction/refill characteristic length",MN-022,RDE wave stability and completeness,application_scale_ratio,conditional,limited,RDE/detonation,GC-0032,"definitions of both lengths; fuel; chemistry; geometry; wave number","retain source ratio definition; no HPDI remapping without validation",Not a validated HPDI scale,"Useful within RDE; cross-domain use is analogue only."
