source_panel_id,paper_id,pdf_file,pdf_page,original_figure,original_panel,phenomenon,condition_summary,manuscript_section,new_figure_id,crop_notes,source_locator,notes
SP05-03,C033,02_PDF_Raw/C/C-MD-01_2011_Chauvin_PlanarShock_TwoPhase_GasLiquid_Medium.pdf,5,Fig. 2,sequence and traces,Shock propagation and pressure attenuation through a droplet cloud,Water-droplet cloud; planar shock,S14,FIG-05,Fig. 2 sequence and pressure traces; caption excluded,"PDF p.5, Fig. 2",Direct crop from canonical local PDF; scientific content unaltered.
SP06-01,C024,02_PDF_Raw/C/C-ST-04_2023_DukeWalker_SmallDroplet_BreakupEvaporation_HighWeber.pdf,7,Fig. 7,a-d,Fragment-cloud formation and optical disappearance,Acetone droplets; M about 2.09; high We,S18,FIG-06,Exact figure crop; time labels and flow direction retained,LOC-C024-0005,Direct crop from canonical local PDF; scientific content unaltered.
SP06-02,C026,02_PDF_Raw/C/C-ST-06_2025_DukeWalker_SmallDroplet_DeformationAcceleration_HighSpeed.pdf,6,Fig. 2,A-D,Size- and loading-dependent early droplet evolution,Acetone; about 55-200 um; case-specific Mach/We,S18,FIG-06,Selected rows A-D; scale and time labels retained,"PDF p.6, Fig. 2",Direct crop from canonical local PDF; scientific content unaltered.
SP06-03,C031,02_PDF_Raw/C/C-PC-05_2025_Song_3D_PhaseChange_ShockDroplet_Interaction.pdf,11,Fig. 7,a-c,"No-phase-change, evaporation, and condensation morphologies",n-dodecane; modeled Mach 1.47 family,S18,FIG-06,Exact comparison; branch labels and times retained,LOC-C031-0008,Direct crop from canonical local PDF; scientific content unaltered.
SP06-04,C032,02_PDF_Raw/C/C-PC-06_2016_Strotos_NDecane_DropletBreakup_HighTemperatureGas.pdf,5,Figs. 3-4,800 and 1000 K,Heating-dependent deformation and breakup,n-decane; 800 and 1000 K; We 15-90,S18,FIG-06,Both source figures retained for direct thermal comparison,"PDF p.5, Figs. 3-4",Direct crop from canonical local PDF; scientific content unaltered.
SP07-01,A022,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,3,Fig. 2,a-c,Hydrogen-pilot jet intersection geometry,"H2/diesel DDI; 12, 15, and 19 deg arrangements",S22,FIG-07,Geometry panels only; dimensions retained,LOC-A022-0006,Direct crop from canonical local PDF; scientific content unaltered.
SP07-02,A026,02_PDF_Raw/A/A-H2-09_2025_Heaton_HydrogenInjectionTiming_EnergyProportion_Flame.pdf,10,Fig. 10,sequence,Timing-conditioned diesel-pilot and early hydrogen flame development,H2/diesel optical engine; timing sweep,S22,FIG-07,Exact matrix; crank-angle and timing labels retained,LOC-A026-0005,Direct crop from canonical local PDF; scientific content unaltered.
SP07-03,A007,02_PDF_Raw/A/A-NG-07_2018_Fink_DieselPilot_NGJet_SpatialTemporalInteraction.pdf,6,Fig. 10,map,Spatial-temporal natural-gas ignition-delay map,Diesel pilot/natural gas; RCEM,S22,FIG-07,Plot only; axes and color scale retained,LOC-A007-0005,Direct crop from canonical local PDF; scientific content unaltered.
SP08-01,D018,02_PDF_Raw/D/D-DW-03_2026_Yang_RP3_Droplet_DeformationBreakup_Detonation.pdf,5,Fig. 5,a-f,Water/RP-3 detonation-driven breakup comparison,Detonation Ma about 6-7; water and RP-3,S26,FIG-08,Exact figure; time and liquid labels retained,LOC-D018-0005,Direct crop from canonical local PDF; scientific content unaltered.
SP08-02,D019,02_PDF_Raw/D/D-DW-04_2026_Zou_DetonationShock_DropletInteraction_Mechanisms.pdf,11,Fig. 8,a-d,Reacting detonation versus inert-shock wave configurations,Water; d0 4.8 mm; matched incident Mach 4.8,S26,FIG-08,Fig. 8 only; contours and scales retained,LOC-D019-0006,Direct crop from canonical local PDF; scientific content unaltered.
SP08-03,D014,02_PDF_Raw/D/D-RDE-09_2025_Li_DropletKinematics_Distribution_Ethanol_RDE.pdf,10,Fig. 16,a-b,Wave-relative droplet position and thermal/evaporation history,Two-phase ethanol RDE; grouped histories,S26,FIG-08,Fig. 16 only; axes and position markers retained,"PDF p.10, Fig. 16",Direct crop from canonical local PDF; scientific content unaltered.
SP08-04,D019,02_PDF_Raw/D/D-DW-04_2026_Zou_DetonationShock_DropletInteraction_Mechanisms.pdf,14,Fig. 12,a-d,Reacting/inert post-wave pressure-field divergence,Water; matched incident Mach 4.8,S26,FIG-08,Fig. 12 only; contours and scales retained,LOC-D019-0008,Direct crop from canonical local PDF; scientific content unaltered.
