table_id,row_id,paper_id,case_id,source_location,parameter_group,reported_value_or_category,definition_status,condition_summary,reader_role,notes
TAB-03,TAB-03-R02,C016,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,NR; SIE; Not a universal regime threshold,explicit or limitation stated,[[CITE:C016]] C02; incident shock + post-shock airflow; M_s=1.30,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-03,TAB-03-R03,C016,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,NR; RTP; Diameter and Re change with We,explicit or limitation stated,[[CITE:C016]] C03; incident shock + post-shock airflow; M_s=1.12,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-03,TAB-03-R04,C016,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,NR; RTP; Mach and We change together,explicit or limitation stated,[[CITE:C016]] C04; incident shock + post-shock airflow; M_s=1.45,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-03,TAB-03-R05,C025,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,NR; deformation/size/time statistics reported; Numerical case; response metric must remain source-typed,explicit or limitation stated,[[CITE:C025]] M2; analytic post-shock gas load; M_s=2,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-03,TAB-03-R06,C025,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,NR; deformation/size/time statistics reported; No universal pooling with detonation cases,explicit or limitation stated,[[CITE:C025]] M3; analytic post-shock gas load; M_s=3,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-03,TAB-03-R07,C014,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,NR; numeric response not paired in master table; Condition context only; excluded from quantitative map,explicit or limitation stated,"[[CITE:C014]] C01–C08; uniform post-shock freestream; M∞=0.30–1.19, post-shock freestream",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-03,TAB-03-R08,D018,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,reacting-wave history; not reduced to one duration; complete-breakup t*=10.06 water; 7.90 RP-3; Reacting strong-wave analogue,explicit or limitation stated,[[CITE:D018]] water/RP-3 sets; reacting detonation products; detonation-front Mach about 6.03–7.07,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-03,TAB-03-R09,D019,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,deformation scale O(10^-4 s); different post-wave deformation/cavitation histories; Equal leading Mach does not imply equal load,explicit or limitation stated,[[CITE:D019]] detonation/inert pair; matched-leading-Mach reacting vs inert; incident Mach 4.8,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-04,TAB-04-R01,C016,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,"none; canonical local response; SIE/RTP labels under case-specific M_s, We, Re, d0; No shielding, attenuation, polydispersity, vaporization, or reaction",explicit or limitation stated,isolated droplet; [[CITE:C016]]; NA,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-04,TAB-04-R02,C035,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,wake shielding and altered trailing-droplet load; spacing-dependent deformation/breakup; critical S/D decreases with We; Ordered pair and one orientation; no universal spacing law,explicit or limitation stated,tandem; [[CITE:C035]]; streamwise S/D=1.2–10.5; critical spacing depends on We,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-04,TAB-04-R03,C036,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,"squeeze flow, channel opening/closure, mutual deformation; bag/trailing/shuttlecock/open/closed author modes; Pair-scale phase boundaries depend on orientation and size",explicit or limitation stated,parallel; [[CITE:C036]]; transverse L/D below 0.1 to above 2,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-04,TAB-04-R04,C033,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,shock attenuation and fragmentation feedback; transmitted pressure depends on cloud state; neglecting fragmentation can overpredict pressure; Descriptor is not convertible to pair S/D; cloud remains dilute/model-specific,explicit or limitation stated,dilute cloud; [[CITE:C033]] [[CITE:C034]]; cloud volume fraction/surface descriptors; S/D not reported,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-04,TAB-04-R04,C034,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,shock attenuation and fragmentation feedback; transmitted pressure depends on cloud state; neglecting fragmentation can overpredict pressure; Descriptor is not convertible to pair S/D; cloud remains dilute/model-specific,explicit or limitation stated,dilute cloud; [[CITE:C033]] [[CITE:C034]]; cloud volume fraction/surface descriptors; S/D not reported,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-04,TAB-04-R05,NA,grouped_or_named_in_row,author synthesis from project definitions,cross-study comparison,"combined shielding, channel flow, attenuation, vaporization, population feedback; unresolved; Must be measured or validated directly; canonical rows are not a closure",explicit or limitation stated,"dense polydisperse reacting spray target; No direct validation in frozen corpus; requires joint size, spacing, volume fraction, velocity, temperature, and vapor statistics",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-05,TAB-05-R01,C024,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,high-We fragmentation; last discernible clouds disappear at 250–300 µs; Optical loss is not automatically vapor mass or HPDI mixture gain,explicit or limitation stated,[[CITE:C024]]; small droplets; exact d0 case-specific; high-We heated post-wave flow,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-05,TAB-05-R02,D017,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,model-dependent child production; extinction distance differs by orders of magnitude; Within-study model comparison only,explicit or limitation stated,[[CITE:D017]] d0=1–120 µm; modeled parent-size series; post-detonation products,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-05,TAB-05-R03,D018,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,complete-breakup time t*=10.06; not paired as a common numeric endpoint; Strong-wave analogue,explicit or limitation stated,[[CITE:D018]] water; d0=0.25–1.20 mm; reacting detonation products,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-05,TAB-05-R04,D018,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,complete-breakup time t*=7.90; not paired as a common numeric endpoint; Do not convert liquid difference to an HPDI threshold,explicit or limitation stated,[[CITE:D018]] RP-3; d0=0.27–1.27 mm; reacting detonation products,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-05,TAB-05-R05,D019,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,different deformation/cavitation paths; thermal history differs despite equal leading Mach; Leading Mach cannot stand in for post-wave thermochemistry,explicit or limitation stated,[[CITE:D019]]; water d0=4.8 mm; reacting detonation versus inert shock,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-05,TAB-05-R06,D009,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,not isolated from model system; larger d0 gives longer normalized evaporation distance; RDE device scale; no HPDI ignition mapping,explicit or limitation stated,[[CITE:D009]]; kerosene d0=2–5 µm; RDE refill/reaction environment,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-06,TAB-06-R01,A007,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,pilot and gas ignition use distinct HRR thresholds; timing-dependent HRR characterization; Do not convert to another sign convention or attribute to shock,explicit or limitation stated,[[CITE:A007]]; diesel pilot + natural gas; RCEM; gas SOI − pilot SOI = −2.5 to +1.5 ms,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-06,TAB-06-R02,A020,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,qualitative/case-conditioned in current extracted record; not paired as one common numeric y metric; Useful chronology domain; not eligible for pooled timing-response plot,explicit or limitation stated,[[CITE:A020]]; diesel pilot + H2; case family; both H2-first and pilot-first; separations 0.07–3.07 ms,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-06,TAB-06-R03,A022,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,geometry-conditioned response; application result remains case-specific; Geometry and chronology cannot be pooled independently,explicit or limitation stated,[[CITE:A022]]; pilot diesel + H2 direct injection; pilot SOI 0.6 ms after H2 SOI,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-06,TAB-06-R04,A026,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,timing-conditioned; flame and heat-release behavior changes with timing/energy share; Electronic events; CA-to-time conversion requires speed and matching events,explicit or limitation stated,[[CITE:A026]]; pilot diesel + H2 engine; H2 electronic SOI 0–30 CA bTDC; pilot electronic SOI 6 CA bTDC,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-06,TAB-06-R05,A018,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,injection-to-ignition interval defined; conditioned qualitative evidence; No numeric timing entry without verified events,explicit or limitation stated,[[CITE:A018]]; pilot/main HPDI context; typed SOI separation retained but numeric value NV,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-07,TAB-07-R01,D009,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,larger d0 increases liquid persistence; wave speed decreases in paired 2–4 µm cases; compare liquid survival with residence/reaction scale; denominator is RDE-specific,explicit or limitation stated,[[CITE:D009]]; RDE numerical case family; kerosene droplets,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-07,TAB-07-R02,D017,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,breakup closures shorten survival relative to no-breakup branch; fragment model controls downstream liquid persistence; reacting post-front state and model closures differ from HPDI,explicit or limitation stated,[[CITE:D017]]; detonation experiment/model comparison; micrometre fuel droplets,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-07,TAB-07-R03,D018,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,liquid-dependent KHI-dominated deformation and breakup; material state and post-wave history matter; detonation thermochemistry,explicit or limitation stated,[[CITE:D018]]; planar detonation experiment; water and RP-3,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-07,TAB-07-R04,D019,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,"post-wave We/Re and deformation differ strongly; leading-wave Mach is insufficient; geometry, chemistry, and size far from HPDI",explicit or limitation stated,"[[CITE:D019]]; reacting detonation vs inert shock simulation; water, d0=4.8 mm",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-07,TAB-07-R05,D013,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,lambda-shaped/two-layer wave tendency; droplet persistence can reorganize wave structure; device-level feedback has no direct HPDI counterpart,explicit or limitation stated,[[CITE:D013]]; two-phase RDE; reported liquid-fuel droplet cases,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-08,TAB-08-R01,NA,grouped_or_named_in_row,author synthesis from project definitions,cross-study comparison,"needle/pressure, density-gradient or pressure field, gas velocity, droplet/ligament tracking; validated transient injector flow sampled along measured liquid trajectories; A visible Mach disk does not define a unique droplet We or impulse",explicit or limitation stated,"What load do actual pilot droplets experience while crossing a transient underexpanded jet?; Injector transients move shock cells; imposed shocks deform droplets; p[x_d(t),t], rho[x_d(t),t], u_rel(t), direction and duration for the pilot population",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-08,TAB-08-R02,NA,grouped_or_named_in_row,author synthesis from project definitions,cross-study comparison,"3D/high-speed liquid imaging plus gas pressure/velocity and transmitted-wave measurements; population/two-way-coupled model with polydispersity, vaporization, and reaction; Ordered-pair laws cannot close dense-spray response",explicit or limitation stated,"Which canonical breakup mechanisms survive in dense reacting sprays?; Wake shielding, squeeze flow, channel closure, and cloud attenuation alter loading; joint size–spacing–velocity–temperature statistics and gas feedback",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-08,TAB-08-R03,NA,grouped_or_named_in_row,author synthesis from project definitions,cross-study comparison,"fragment sizing/tracking, temperature, vapor/species imaging, common event clock; product-distribution model coupled to evaporation and turbulent transport; Breakup alone does not imply more vapor in the ignition region",explicit or limitation stated,"Do wave-created fragments change the pre-ignition HPDI mixture?; Fragment size, velocity, temperature, and residence control evaporation and transport; mass-resolved fragment field, vapor/species field, thermal state, and time to ignition",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-08,TAB-08-R04,NA,grouped_or_named_in_row,author synthesis from project definitions,cross-study comparison,"wave, liquid, species, temperature/radical proxy, ignition location, and heat release; uncertainty propagation from load to fragments to mixture to chemistry; A shorter ignition delay after pressure increase is not causal proof of wave-mediated breakup",explicit or limitation stated,"Does a wave-induced mixture change alter ignition independently of chronology and momentum?; SOI order, dwell, geometry, oxygen, temperature, and pilot products control ignition; isolated wave-induced delta-mixture and its overlap with the ignition kernel",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-08,TAB-08-R05,NA,grouped_or_named_in_row,author synthesis from project definitions,cross-study comparison,event-resolved load history and response morphology; test competing clocks without assuming a universal ratio; Undefined time ratios create false correlations,explicit or limitation stated,"Can loading duration organize response across configurations?; Front passage, post-wave residence, and deformation clocks are distinct; explicit start/end events for tau_loading and a source-defined response clock",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-08,TAB-08-R06,NA,grouped_or_named_in_row,author synthesis from project definitions,cross-study comparison,"domain-specific post-wave state and liquid-survival measurements; explicit dimensional mapping with failure bounds; RDE L_E/L_D is a comparison scale, not an HPDI ignition predictor",explicit or limitation stated,"Which strong-wave quantities transfer from detonation/RDE to HPDI?; Local post-wave pressure, density, slip, size, and residence affect droplets; validated mapping of thermochemistry, geometry, residence, population, and reaction scale",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
