mechanism_relation_id,paper_id,case_id,source_node,relation_type,target_node,support_type,candidate_claim_id,source_locator_id,verification_status,notes
MECH-A026-001,A026,ALL,diesel_pilot_energy,promotes,initial_H2_reaction_intensity,direct_observation,T1-A026-C01,LOC-A026-0004,verified,Primary optical-engine evidence.
MECH-A026-002,A026,ALL,advanced_H2_SOI,promotes,premixed_H2_fraction,experimental_correlation,T1-A026-C02,LOC-A026-0005,verified,Timing sweep.
MECH-A026-003,A026,A026-T30,H2_pilot_preignition_overlap,author_attributes_to,longer_diesel_ignition_delay,author_interpretation,T1-A026-C02,LOC-A026-0005,verified,Dilution mechanism remains qualified.
MECH-A028-001,A028,A028-REV,nozzle_geometry_and_pressure_definition,modifies,Mach_disk_model_validity,author_interpretation,T1-A028-C01,LOC-A028-0004,verified,Review-secondary.
MECH-A028-002,A028,A028-REV,numerical_fidelity,correlates_with,computational_cost,author_interpretation,T1-A028-C02,LOC-A028-0003,verified,Review-secondary.
MECH-A029-001,A029,A029-REV,two_fuel_injection_control,modifies,mixture_reactivity_stratification,author_interpretation,T1-A029-C01,LOC-A029-0003,verified,Review-secondary.
MECH-A029-002,A029,A029-REV,oxygen_and_injection_sequence,modifies,pilot_H2_ignition_interaction,author_interpretation,T1-A029-C02,LOC-A029-0002,verified,Review-secondary.
MECH-A030-001,A030,A030-REV,relative_injection_duration,modifies,pilot_product_entrainment_and_flame_stabilization,author_interpretation,T1-A030-C02,LOC-A030-0002,verified,Review-secondary.
MECH-A030-002,A030,A030-REV,jet_convergence,correlates_with,ignition_delay_and_reaction_front_transfer,author_interpretation,T1-A030-C02,LOC-A030-0005,verified,Review-secondary; not universal causality.
MECH-A030-003,A030,A030-REV,ambient_temperature_and_oxygen,modifies,ignition_and_flame_stabilization,author_interpretation,T1-A030-C01,LOC-A030-0005,verified,Review-secondary.
MECH-A007-001,A007,A007-RCEM,jet_overlap,suppresses,pilot_ignition,direct_observation,T1-A007-C01,LOC-A007-0005,verified,Observed operability/ignition-delay relation.
MECH-A007-002,A007,A007-RCEM,pilot_gas_overlap,promotes,gas_ignition,experimental_correlation,T1-A007-C01,LOC-A007-0005,verified,Opposing pilot/gas response.
MECH-A007-003,A007,A007-RCEM,gas_ignition_timing,correlates_with,heat_release_shape,experimental_correlation,T1-A007-C02,LOC-A007-0006,verified,Premixing descriptor.
MECH-B021-001,B021,B021-NPR,contextual_NPR,correlates_with,Mach_disk_size_and_position,simulation_resolved,T1-B021-C01,LOC-B021-0004,verified,Nozzle/configuration specific.
MECH-B021-002,B021,B021-ICE,ambient_temperature,promotes,hydrogen_diffusion,simulation_resolved,T1-B021-C03,LOC-B021-0007,verified,Soret-enabled transport model.
MECH-B021-003,B021,B021-MULTI,interjet_expansion_waves,author_attributes_to,jet_coalescence_tendency,author_interpretation,T1-B021-C03,LOC-B021-0008,verified,Preliminary mechanism.
MECH-C029-001,C029,C029-TEMP,transcritical_thermodynamic_state,modifies,refracted_shock_topology,simulation_resolved,T1-C029-C01,LOC-C029-0006,verified,Mediated by speed-of-sound ratio.
MECH-C029-002,C029,C029-T650,shock_convergence,promotes,focal_pressure_and_axial_jet,simulation_resolved,T1-C029-C02,LOC-C029-0008,verified,Strong convergence.
MECH-C029-003,C029,C029-MACH,shock_strength,modifies,circulation_and_deformation,simulation_resolved,T1-C029-C03,LOC-C029-0009,verified,Fixed n=1.8.
MECH-D019-001,D019,D019-ALL,reaction_heat_release,promotes,reflected_shock_speed,model_based,T1-D019-C01,LOC-D019-0006,verified,Postwave state mediation.
MECH-D019-002,D019,D019-ALL,shorter_low_pressure_persistence,promotes,earlier_cavitation_collapse,simulation_resolved,T1-D019-C02,LOC-D019-0007,verified,Detonation vs inert shock.
MECH-D019-003,D019,D019-ALL,postwave_velocity,modifies,breakup_morphology,simulation_resolved,T1-D019-C03,LOC-D019-0008,verified,Project transfer inference remains separate.
