section_id,chapter_id,section_title,section_level,scientific_question,section_objective,opening_problem,mechanism_logic,primary_synthesis_proposition_ids,primary_global_claim_ids,supporting_global_claim_ids,mechanism_pathway_ids,key_parameters,required_boundary_conditions,strongest_evidence_paper_ids,supporting_evidence_paper_ids,secondary_context_paper_ids,knowledge_gap_ids,figure_ids,table_ids,required_caution,key_takeaway,transition_to_next,writing_priority,status,notes
S11,CH04,Internal wave dynamics and deformation topology,2,"How do shock transmission, focusing, circulation, and front curvature imprint later deformation?",Separate internal wave mechanisms from external aerodynamic loading.,Bulk We-based descriptions omit early internal pressure extrema and circulation.,incident/local loading → transmission/refraction/focusing → pressure/circulation topology → deformation,SP-003,GC-0020;GC-0042,GC-0035,MP-013,shock strength; wave-speed ratio; phase state; curvature; local pressure extrema,2D/3D geometry; cavitation/phase change omissions; planar/divergent forcing,C018;C029;C019,C011;C017;D019,,KG-005,FIG-04,TAB-03,Do not generalize a modeled divergent-shock result beyond its omitted physics.,Internal wave history can precondition deformation but is state- and geometry-dependent.,Follow deformation into competing interfacial instabilities.,high,planned,Paper-conditioned GC-0042 is localized here.
S12,CH04,Instability competition and multiscale breakup cascade,2,"How do RT, KH/shear, capillary, sheet, wake, and ligament processes select breakup pathways?",Explain breakup as a mechanism competition rather than a Weber-only taxonomy.,"A single regime label hides staged sheets, rims, ligaments, and recurrent shedding.",deformation structures → competing instabilities → sheet/ligament events → secondary breakup,SP-003;SP-008,GC-0019;GC-0021,GC-0030;GC-0034;GC-0039,MP-015;MP-016,We; Mach context; Oh; loading duration; breakup event and mode,taxonomy; forcing history; first versus later shedding,C012;C013;C005;C009,C010;C015;C019;C020;C002;D018;C016,C007;C003,KG-005;KG-010,FIG-04,TAB-03,Do not conceal the C004 source limitation in broad taxonomy statements.,Secondary breakup reflects condition-dependent instability competition and staged fragmentation.,Evaluate what present models and labels can actually predict.,critical,planned,C004 limitation appears at first broad-taxonomy use.
S13,CH04,Regime and model predictive limits,2,Which response outputs can reduced breakup models and regime maps predict reliably?,Bound model-based claims and separate morphology labels from product-state prediction.,"Validation against one observable does not establish prediction of fragments, clouds, evaporation, or phase coupling.",model assumptions + condition domain → selected response observables; no universal multistage closure,SP-003;SP-008,GC-0029;GC-0051,GC-0030,MP-015;MP-016;MP-017,model type; breakup event; fragment metrics; cloud length; evaporation time,validation observable; condition range; source-specific TAB statement,C006;C020,C024;C028;C002,C003,KG-005;KG-006;KG-010,FIG-04,TAB-03,A paper-conditioned TAB success does not establish full-condition predictive coverage.,A breakup label or one matched deformation history is insufficient for downstream transport and phase-change prediction.,Introduce interaction mechanisms missing from isolated-droplet models.,medium,planned,"GC-0051 is context, not a general endorsement."
S14,CH05,"Ordered-droplet shielding, squeeze flow, and channel closure",2,How do tandem and parallel arrangements change effective loading and breakup?,Identify direct multidroplet mechanisms and their arrangement-specific directions.,A universal critical spacing is incompatible with distinct tandem and parallel flow mechanisms.,arrangement + S/D → shielding or channel/squeeze flow → redistributed loading → changed deformation/breakup,SP-004,GC-0022,GC-0017,MP-014,S/D; arrangement; We; droplet size; relative position,tandem versus parallel; spacing basis; shock/loading state,C035;C036,C001;C014;C025,,KG-002,FIG-05,TAB-04,Do not average opposite arrangement effects into one spacing law.,Neighbor effects are mechanistic and geometry-specific.,Scale from ordered droplets to cloud-level feedback on the wave.,high,planned,Direct canonical evidence.
S15,CH05,Cloud-scale shock attenuation and feedback,2,How do droplet populations attenuate and reshape transmitted shock histories?,Show the feedback from population state to gas loading.,Ignoring fragmentation can overpredict transmitted pressure through a cloud.,exchange area + volume fraction + d0 + breakup → attenuation/reshaping → altered downstream loading,SP-004;SP-008,GC-0028,GC-0022;GC-0023,MP-019,volume fraction; exchange area; d0; shock strength; transmitted pressure/impulse,dilute cloud; breakup closure; pressure metric,C033;C034,C035;C036;C025,,KG-002;KG-006,FIG-05,TAB-04,Dilute-cloud attenuation is not a validated dense reacting-spray law.,The dispersed phase changes its own subsequent loading environment.,Audit transfer from ordered/dilute systems to dense HPDI sprays.,high,planned,Population feedback loop.
S16,CH05,Canonical-to-dense-spray transfer audit,2,"Which canonical mechanisms survive, and what collective descriptors are missing for dense HPDI pilot sprays?",Deploy MP-032 and KG-002 as a central scale-transfer boundary.,"Dense sprays add polydispersity, disorder, turbulence, phase change, collisions, and reaction.",isolated/ordered mechanisms + collective corrections → [MP-032 not validated] → dense HPDI spray response,SP-004,,GC-0022;GC-0028;GC-0052,MP-032,size distribution; spacing distribution; volume fraction; turbulence; thermal/reaction state,population realism and synchronized local loading,,C035;C036;C033;C034;B009;B021;C007,,KG-002;KG-006,FIG-05;FIG-09,TAB-04;TAB-08,Do not apply single-droplet regimes directly to pilot spray.,MP-032 prevents quantitative transfer without population and thermochemical correction.,Track the fragment population that any successful transfer must predict.,critical,planned,Core cross-scale bridge section.
S17,CH06,Fragment population state and transport,2,"Which breakup products, rather than regime labels, control downstream cloud transport?","Define fragment size, velocity, spacing, mass, and time as the post-breakup state.",Mean size or breakup mode alone cannot initialize transport and evaporation.,secondary breakup → evolving fragment PDF/velocity/spacing → cloud transport and dispersion,SP-008,GC-0023,GC-0019;GC-0029,MP-017;MP-018,fragment PDF; D10/D32; velocity; spacing; mass weighting; sampling time,detection threshold; statistic weighting; wave history; population density,C025,C022;C012;C013;C006,C007,KG-006;KG-010,FIG-06,TAB-05,Do not substitute a single mean fragment size for an evolving distribution.,Fragment population state is the necessary mediator between breakup and downstream transport.,Examine when fragmenting droplets also undergo significant phase change.,high,planned,Direct but diagnostically sparse.
S18,CH06,"Overlap of breakup, evaporation, and droplet survival scales",2,When do breakup and evaporation occur on comparable time scales?,Define size- and history-conditioned overlap without asserting a universal threshold.,Evaporation-only models may misrepresent survival when fragmentation changes area and scale.,d0/fragment size + wave/thermal history → overlapping breakup and evaporation → altered survival/cloud evolution,SP-005;SP-008,GC-0024;GC-0027;GC-0031,GC-0029;GC-0032,MP-020;MP-022,d0; fragment size; gas T; volatility; M_rel; evaporation time/length,size; liquid; observation interval; bow-shock pressure rise; post-wave state,C024;D017;C026;C027,C006;D009,,KG-003;KG-006;KG-007,FIG-06,TAB-05,A >100 μm early-deformation result does not extend to smaller or later-stage droplets.,Breakup–evaporation overlap is scale- and history-dependent.,Resolve why phase change can suppress or promote deformation.,high,planned,GC-0031 is condition-specific and qualifying.
S19,CH06,Conditional direction of phase-change coupling,2,Why can vaporization suppress deformation in some cases and thermal property changes promote breakup in others?,Reconcile apparently opposing findings through boundary conditions.,"Opposite directions arise from different thermal and interfacial mechanisms, not necessarily contradiction.",vapor layer/Stefan flow → reduced shear versus heating → lower surface tension → conditional response direction,SP-005,GC-0025;GC-0026,GC-0027;GC-0031,MP-021,Stefan number; density ratio; volatility; gas T; surface tension; We,liquid; thermal state; model coefficients; d0; observation interval,C031;C032,C030;C026;C027,,KG-007,FIG-06,TAB-05,Do not state a universal sign for breakup–phase-change coupling.,The coupling direction changes with the dominant interfacial and thermal mechanism.,Ask whether these fragment/evaporation changes are measured in HPDI mixture fields.,high,planned,Explicit condition-boundary synthesis.
S20,CH06,The unclosed shock-fragment-to-mixture bridge,2,Does shock-mediated breakup and evaporation measurably alter the HPDI mixture field?,Deploy MP-028 and the upstream half of GC-0053 without causal overclosure.,General transport/evaporation physics is not direct evidence of a shock-generated HPDI mixture change.,fragment state → transport/evaporation → general mixture contribution; [MP-028 gap] shock-specific measured HPDI redistribution,SP-006;SP-008,GC-0053,GC-0023;GC-0024;GC-0029,MP-023;MP-024;MP-028,fragment distribution; evaporation scale; mixture fraction/species field; chronology,hot dense chamber; walls; turbulence; volatility; synchronized diagnostics,A007;A011;C024,C031;C025;D017;C006,,KG-003;KG-009,FIG-06;FIG-09,TAB-08,Do not claim shock-enhanced mixture preparation from stitched component evidence.,MP-028 remains the downstream transport-to-application discontinuity.,Contrast the open shock contribution with direct HPDI chronology and mixture evidence.,critical,planned,Primary full discussion location for GC-0053.
S21,CH07,"Injection chronology, geometry, and mixture preparation",2,"How do signed pilot/main timing, overlap geometry, and injector arrangement shape HPDI premixing and stratification?",Establish the direct application chain from injection controls to mixture state.,Timing magnitude without fuel order and event definitions is ambiguous.,signed chronology + geometry → overlap/entrainment/wall interaction → premixing and stratification,SP-006,GC-0001;GC-0004;GC-0005;GC-0045,GC-0002;GC-0041,MP-025,ΔSOI; dwell; overlap; injection duration; hole arrangement; mixture metrics,fuel order; sign convention; geometry; operating point; review-secondary status,A006;A011;A018;A005;A017;A016,A007;A009;A019;A023;A010;A022;A026,A030;A027;A029,KG-009,FIG-07,TAB-06,Do not treat a review-secondary control statement as primary confirmation.,"Chronology and geometry directly reorganize mixture preparation, with condition-specific outcomes.",Connect mixture and pilot-product distribution to ignition.,critical,planned,GC-0045 remains paper-conditioned.
S22,CH07,Pilot-product interaction and ignition response,2,"When does pilot/main overlap assist main-fuel ignition, and when can it disrupt or delay the pilot?",Synthesize direct and qualified evidence for mixture-to-ignition coupling.,Overlap has stage- and geometry-dependent directions.,mixture/pilot-product distribution → chemical/thermal interaction → ignition timing/location,SP-006,GC-0002;GC-0038;GC-0041;GC-0043,GC-0001;GC-0040,MP-026,ΔSOI; ignition delay; EOI; temperature; O/H/OH radical state; overlap geometry,ignition definition; fuel pair; ambient reactivity; transport versus 0D kinetics,A009;A022;A007;A020;A026;A012,A008;A014;A006;A011;A018,A030,KG-009,FIG-07,TAB-06,Keep dilution and radical explanations at their reported evidence level.,"Mixture and pilot-product state directly govern ignition, but the direction depends on chronology and geometry.",Follow ignition chronology into heat release and operating response.,critical,planned,Paper-conditioned claims stay localized.
S23,CH07,"Heat-release mode, injection pressure, and operating response",2,"How do injection pressure, pilot energy, and timing shape heat-release mode and performance tradeoffs?",Bound direct combustion-response evidence by operating condition.,"Improved mixing can coexist with emissions, pressure-rise, or stability penalties.",injection/ignition chronology → heat-release mode → condition-dependent combustion response,SP-006,GC-0003;GC-0040;GC-0044;GC-0046,GC-0001;GC-0041,MP-027,injection pressure; energy share; CA50; AHRR; load; timing,pressure definition; load/speed; energy share; diagnostic definition,A001;A002;A011;A026;A013;A018,A003;A006,A030,KG-009,FIG-07,TAB-06,Do not generalize paper-specific feasibility or regime labels beyond tested conditions.,Combustion benefits and penalties remain operating-point dependent even when mixing is intensified.,Localize additional H2 heat-release claims without broad generalization.,high,planned,GC-0044 and GC-0046 remain paper-conditioned.
S24,CH07,Condition-specific hydrogen heat-release behavior,2,"What condition-specific H2 heat-release patterns are reported, and how should they be used?",Deploy remaining paper-conditioned combustion claims as bounded application evidence.,Single-source AHRR and comparative-fuel statements do not define universal HPDI behavior.,fuel-specific injection/combustion duration and properties → reported AHRR pattern → bounded interpretation,SP-006,GC-0047;GC-0048;GC-0049,GC-0040;GC-0046,MP-027,injection duration; combustion duration; AHRR/HRR; fuel properties,paper source condition; diagnostic and fuel comparison,A021;A024,A026;A018,,KG-009,FIG-07,TAB-06,Do not merge localized AHRR claims into a cross-paper universal rule.,"Paper-conditioned heat-release observations support context, not universal scaling.",Return to the untested upstream shock-mediated cause.,medium,planned,Keep paper-level wording conservative.
S25,CH07,The unclosed shock-caused mixture-to-ignition link,2,Does a shock-caused mixture change produce a measurable HPDI ignition or combustion response?,Deploy MP-029 and distinguish it from the directly supported timing chain.,Direct timing-to-ignition evidence does not identify an upstream shock cause.,direct: chronology → mixture → ignition; open: shock → fragments/evaporation → mixture → [MP-029 gap] ignition,SP-006,,GC-0001;GC-0002;GC-0053,MP-029,shock chronology; species field; ignition delay/location; heat release,"synchronized shock, mixture, ignition, and heat-release measurement",,A006;A011;A018;A009;A022;A007;C024,A030,KG-003;KG-009,FIG-07;FIG-09,TAB-08,Never write that shock improves HPDI ignition as an established result.,MP-029 is not closed by the strong direct evidence for timing-controlled ignition.,Use RDE/detonation only as a bounded strong-wave analogue.,critical,planned,Second central downstream gap.
S26,CH08,Droplet and evaporation scales in detonation and RDE wave response,2,"How do droplet size and typed evaporation scales affect wave structure, multiplicity, speed, and stability?",Synthesize characteristic-scale coupling within the strong-wave domain.,"Scale ratios are meaningful only within their stated reaction, refill, and geometry definitions.",d0 and evaporation scale relative to reaction/refill/wave scale → vaporization completeness → wave response,SP-007,GC-0032;GC-0033,GC-0024,MP-030,d0; evaporation length/time; L_E/L_D; wave number; wave-relative position,fuel; chemistry; pre-vaporized fraction; geometry; scale definitions,D009;D014,D006;D007;D008;D010;D011;C024;D017,,KG-008,FIG-08,TAB-07,Keep L_E/L_D within its defined RDE system.,Characteristic-scale coupling is supported within RDE/detonation conditions.,Compare reacting and inert post-wave droplet histories.,medium,planned,Mostly numerical/application-scale evidence.
S27,CH08,Reacting versus inert strong-wave droplet loading,2,Why can equal leading-shock Mach produce different later droplet response in detonation and inert shocks?,Separate early leading-wave similarity from later reacting-history divergence.,"Leading-shock Mach does not determine post-wave velocity, sound speed, chemistry, gradients, or duration.",matched leading Mach → similar early topology; reacting post-wave history → divergent cavitation/deformation/breakup,SP-007;SP-003,GC-0034;GC-0035,GC-0017;GC-0024,MP-031,detonation/incident Mach; post-wave velocity; d0; breakup time; loading duration,liquid; wave strength; chemistry; post-wave state and event definition,D018;D019,D016;D017;C014;C025;C024,,KG-005;KG-008,FIG-08,TAB-07,Do not transfer inert-shock correlations using leading Mach alone.,"Reacting post-wave history, not leading Mach alone, governs later response divergence.","Audit what, if anything, transfers from strong-wave applications to HPDI.",high,planned,Conditioned quantitative comparison only.
S28,CH08,Bounded transfer from strong-wave analogues to HPDI,2,Which RDE/detonation insights are qualitatively transferable to HPDI and which are not validated?,Deploy MP-034 and KG-008 as an application boundary.,Shared strong-wave terminology does not establish application-scale equivalence.,strong-wave mechanism insight + typed scale comparison → bounded analogue; [MP-034] no direct HPDI validation,SP-007,,GC-0032;GC-0034;GC-0035;GC-0053,MP-034,Mach context; We; L_E/L_D; chemistry; residence and injection scales,validated nondimensional mapping; reaction and geometry matching,,D009;D018;D019;A007;A011;C024,,KG-008;KG-003,FIG-08;FIG-09,TAB-07;TAB-08,RDE evidence cannot prove HPDI strong-wave behavior.,"RDE/detonation is a bounded analogue, not substitute HPDI evidence.",Integrate all component closures and open paths into one evidence map.,high,planned,Analogue-only transfer section.
S29,CH09,Closed components and unclosed cross-scale pathways,2,"Which mechanism links are directly supported, indirect, cross-scale, or missing?",Reassemble all MP pathways with evidence-status and application-distance encoding.,A continuous arrow chain can visually overstate closure.,closed domain-bounded links + explicit MP-033/032/028/029 discontinuities → evidence-weighted framework,SP-001;SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008,,GC-0052;GC-0053,MP-028;MP-029;MP-032;MP-033,whole parameter bridge,evidence directness; cross-scale status; condition compatibility,,B009;B021;C007;A007;A011;C024,,KG-001;KG-002;KG-003,FIG-01;FIG-09,TAB-08,Do not smooth over discontinuities in the final synthesis.,"The article's novelty is an explicit map of what is closed, what transfers only qualitatively, and what remains unmeasured.",Convert each gap into a specific evidence requirement.,high,planned,Primary synthesis framework section.
S30,CH09,Evidence-derived research priorities and diagnostic requirements,2,"What measurements, simulations, and definition standards would most efficiently close the priority gaps?",Deploy KG-001–KG-010 as staged research needs.,Generic calls for more data do not identify which arrow or definition needs closure.,gap location → required co-located variables → condition matching → validation target,SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008,,GC-0052;GC-0053,MP-028;MP-029;MP-032;MP-033,"p(x,t); u(x,t); droplet/fragment PDFs; species fields; ignition/heat release; definition-complete ratios",synchronized chronology; geometry; dense reacting state; uncertainty,,B009;B021;C007;A007;A011;C024,,KG-001;KG-002;KG-003;KG-004;KG-005;KG-006;KG-007;KG-008;KG-009;KG-010,FIG-09,TAB-08,"Keep C004 as a source-availability limitation, not a scientific mechanism gap.","Priority experiments must close specific arrows with synchronized, definition-complete measurements.",Conclude with bounded contributions and no new mechanism claims.,high,planned,Research agenda is evidence-derived.
S31,CH09,Conclusions and review contributions,2,What can the review conclude without overstating cross-scale closure?,"Restate the internal thesis, contributions, and bounded research priorities.",Conclusions can accidentally upgrade synthesis propositions into universal facts.,chapter findings → bounded contributions → explicit unclosed paths → Phase 13 conclusion,SP-001;SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008,,GC-0052;GC-0053,MP-028;MP-029;MP-032;MP-033,definition discipline and priority diagnostics,proposition evidence status and application directness,,B009;B021;C007;A007;A011;C024,,KG-001;KG-002;KG-003;KG-004;KG-005;KG-006;KG-007;KG-008;KG-009,FIG-09,TAB-08,No proposition is established or universal.,The review unifies strong local physics while preserving the incomplete validation of the full HPDI chain.,NA,last,planned,Draft after all chapters and synthesis figure specifications are stable.
