global_claim_id,primary_section_id,secondary_section_ids,claim_role,first_introduction_location,full_discussion_location,cross_reference_locations,repeat_policy,notes
GC-0026,S19,,mechanism_core,S19,S19,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0027,S18,S19,mechanism_core,S18,S18,S19,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0028,S15,S16,mechanism_core,S15,S15,S16,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0029,S13,S17;S18;S20,limitation,S13,S13,S17;S18;S20,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0030,S10,S02;S12;S13,boundary,S10,S10,S02;S12;S13,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0031,S18,S19,mechanism_core,S18,S18,S19,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0032,S26,S18;S28,application,S26,S26,S18;S28,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0033,S26,,mechanism_core,S26,S26,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0034,S27,S10;S12;S28,mechanism_core,S27,S27,S10;S12;S28,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0035,S27,S09;S11;S28,mechanism_core,S27,S27,S09;S11;S28,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0036,S07,S05;S08,application,S07,S07,S05;S08,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0037,S07,,application,S07,S07,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0038,S22,,application,S22,S22,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0039,S10,S12,mechanism_core,S10,S10,S12,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0040,S23,S22;S24,application,S23,S23,S22;S24,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0041,S22,S21;S23,application,S22,S22,S21;S23,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0042,S11,,mechanism_core,S11,S11,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0043,S22,,application,S22,S22,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0044,S23,,application,S23,S23,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0045,S21,,application,S21,S21,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0046,S23,S24,application,S23,S23,S24,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0047,S24,,application,S24,S24,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0048,S24,,application,S24,S24,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0049,S24,,application,S24,S24,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0050,S05,,mechanism_core,S05,S05,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0051,S13,,mechanism_core,S13,S13,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0052,S08,S01;S03;S16;S29;S30;S31,cross_scale_bridge,S08,S08,S01;S03;S16;S29;S30;S31,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0053,S20,S01;S03;S25;S28;S29;S30;S31,cross_scale_bridge,S20,S20,S01;S03;S25;S28;S29;S30;S31,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
