trace_id,section_id,scientific_question,SP_id,GC_id,MP_id,evidence_anchor_paper_id,knowledge_gap_id,figure_id,table_id,writing_caution_id,traceability_status,notes
TRC-016,S07,"How can near-field shocks, spray-generated waves, and reflected shocks change local pressure, velocity, and spray response?",,GC-0037,MP-007,D004,KG-001,FIG-03,TAB-02,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-017,S08,Does underexpanded-jet shock topology map to the local loading history of actual HPDI pilot droplets?,SP-002,GC-0052,MP-033,B009;B021;C007,KG-001;KG-004,FIG-03;FIG-09,TAB-08,WC-001,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-018,S09,Which local variables and typed intervals are required to describe finite compressible loading?,SP-003,GC-0016,MP-009;MP-011,D003,KG-005,FIG-03,TAB-01,WC-003,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-019,S10,Why can Weber number alone not collapse compressible droplet response?,SP-003,GC-0017,MP-010;MP-011;MP-012,C014;C025,KG-005,FIG-04,TAB-01;TAB-03,WC-003,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-020,S10,Why can Weber number alone not collapse compressible droplet response?,SP-003,GC-0018,MP-012,C008;C007,KG-005,FIG-04,TAB-01;TAB-03,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-021,S10,Why can Weber number alone not collapse compressible droplet response?,SP-003,GC-0030,MP-010,C002,KG-005,FIG-04,TAB-01;TAB-03,WC-003,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-022,S10,Why can Weber number alone not collapse compressible droplet response?,SP-003,GC-0039,MP-010;MP-012,C016,KG-005,FIG-04,TAB-01;TAB-03,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-023,S11,"How do shock transmission, focusing, circulation, and front curvature imprint later deformation?",SP-003,GC-0020,MP-013,C018;C029,KG-005,FIG-04,TAB-03,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-024,S11,"How do shock transmission, focusing, circulation, and front curvature imprint later deformation?",,GC-0042,,C019,KG-005,FIG-04,TAB-03,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-025,S12,"How do RT, KH/shear, capillary, sheet, wake, and ligament processes select breakup pathways?",SP-008,GC-0019,MP-015;MP-016,C012;C013,KG-005;KG-010,FIG-04,TAB-03,WC-010,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-026,S12,"How do RT, KH/shear, capillary, sheet, wake, and ligament processes select breakup pathways?",SP-003,GC-0021,MP-015;MP-016,C005;C009,KG-005;KG-010,FIG-04,TAB-03,WC-003;WC-010,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-027,S13,Which response outputs can reduced breakup models and regime maps predict reliably?,SP-008,GC-0029,MP-017,C006,KG-005;KG-006;KG-010,FIG-04,TAB-03,WC-010;WC-011,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-028,S13,Which response outputs can reduced breakup models and regime maps predict reliably?,,GC-0051,,C020,KG-005;KG-006;KG-010,FIG-04,TAB-03,WC-011,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-029,S14,How do tandem and parallel arrangements change effective loading and breakup?,SP-004,GC-0022,MP-014,C035;C036,KG-002,FIG-05,TAB-04,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-030,S15,How do droplet populations attenuate and reshape transmitted shock histories?,SP-004;SP-008,GC-0028,MP-019,C033;C034,KG-002;KG-006,FIG-05,TAB-04,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-031,S16,"Which canonical mechanisms survive, and what collective descriptors are missing for dense HPDI pilot sprays?",SP-004,,MP-032,,KG-002;KG-006,FIG-05;FIG-09,TAB-04;TAB-08,WC-004,complete_at_synthesis_level,"No invented GC relation; section is framing, transfer audit, or final synthesis."
TRC-032,S17,"Which breakup products, rather than regime labels, control downstream cloud transport?",SP-008,GC-0023,MP-017;MP-018,C025,KG-006;KG-010,FIG-06,TAB-05,WC-012,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-033,S18,When do breakup and evaporation occur on comparable time scales?,SP-005;SP-008,GC-0024,MP-020;MP-022,C024;D017,KG-003;KG-006;KG-007,FIG-06,TAB-05,WC-005,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-034,S18,When do breakup and evaporation occur on comparable time scales?,SP-005,GC-0027,,C026,KG-003;KG-006;KG-007,FIG-06,TAB-05,WC-005,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-035,S18,When do breakup and evaporation occur on comparable time scales?,SP-005,GC-0031,,C027,KG-003;KG-006;KG-007,FIG-06,TAB-05,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-036,S19,Why can vaporization suppress deformation in some cases and thermal property changes promote breakup in others?,SP-005,GC-0025,MP-021,C031,KG-007,FIG-06,TAB-05,WC-005,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-037,S19,Why can vaporization suppress deformation in some cases and thermal property changes promote breakup in others?,SP-005,GC-0026,MP-021,C032,KG-007,FIG-06,TAB-05,WC-005,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-038,S20,Does shock-mediated breakup and evaporation measurably alter the HPDI mixture field?,SP-006,GC-0053,MP-024;MP-028,A007;A011;C024,KG-003;KG-009,FIG-06;FIG-09,TAB-08,WC-006,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-039,S21,"How do signed pilot/main timing, overlap geometry, and injector arrangement shape HPDI premixing and stratification?",SP-006,GC-0001,MP-025,A006;A011;A018,KG-009,FIG-07,TAB-06,WC-007,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-040,S21,"How do signed pilot/main timing, overlap geometry, and injector arrangement shape HPDI premixing and stratification?",SP-006,GC-0004,MP-025,A005;A017;A016,KG-009,FIG-07,TAB-06,WC-007,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-041,S21,"How do signed pilot/main timing, overlap geometry, and injector arrangement shape HPDI premixing and stratification?",,GC-0005,MP-025,A027;A029,KG-009,FIG-07,TAB-06,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-042,S21,"How do signed pilot/main timing, overlap geometry, and injector arrangement shape HPDI premixing and stratification?",,GC-0045,,A014,KG-009,FIG-07,TAB-06,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-043,S22,"When does pilot/main overlap assist main-fuel ignition, and when can it disrupt or delay the pilot?",SP-006,GC-0002,MP-026,A009;A022;A007,KG-009,FIG-07,TAB-06,WC-007,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-044,S22,"When does pilot/main overlap assist main-fuel ignition, and when can it disrupt or delay the pilot?",SP-006,GC-0038,MP-026,A020,KG-009,FIG-07,TAB-06,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-045,S22,"When does pilot/main overlap assist main-fuel ignition, and when can it disrupt or delay the pilot?",SP-006,GC-0041,MP-026,A026,KG-009,FIG-07,TAB-06,WC-007,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-046,S22,"When does pilot/main overlap assist main-fuel ignition, and when can it disrupt or delay the pilot?",,GC-0043,MP-026,A012,KG-009,FIG-07,TAB-06,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-047,S23,"How do injection pressure, pilot energy, and timing shape heat-release mode and performance tradeoffs?",SP-006,GC-0003,MP-027,A001;A002;A011,KG-009,FIG-07,TAB-06,WC-007,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-048,S23,"How do injection pressure, pilot energy, and timing shape heat-release mode and performance tradeoffs?",SP-006,GC-0040,MP-027,A026,KG-009,FIG-07,TAB-06,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-049,S23,"How do injection pressure, pilot energy, and timing shape heat-release mode and performance tradeoffs?",,GC-0044,,A013,KG-009,FIG-07,TAB-06,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-050,S23,"How do injection pressure, pilot energy, and timing shape heat-release mode and performance tradeoffs?",,GC-0046,MP-027,A018,KG-009,FIG-07,TAB-06,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-051,S24,"What condition-specific H2 heat-release patterns are reported, and how should they be used?",,GC-0047,MP-027,A021,KG-009,FIG-07,TAB-06,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-052,S24,"What condition-specific H2 heat-release patterns are reported, and how should they be used?",,GC-0048,MP-027,A021,KG-009,FIG-07,TAB-06,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-053,S24,"What condition-specific H2 heat-release patterns are reported, and how should they be used?",,GC-0049,MP-027,A024,KG-009,FIG-07,TAB-06,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-054,S25,Does a shock-caused mixture change produce a measurable HPDI ignition or combustion response?,SP-006,,MP-029,,KG-003;KG-009,FIG-07;FIG-09,TAB-08,WC-006,complete_at_synthesis_level,"No invented GC relation; section is framing, transfer audit, or final synthesis."
TRC-055,S26,"How do droplet size and typed evaporation scales affect wave structure, multiplicity, speed, and stability?",SP-007,GC-0032,MP-030,D009,KG-008,FIG-08,TAB-07,WC-008,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-056,S26,"How do droplet size and typed evaporation scales affect wave structure, multiplicity, speed, and stability?",SP-007,GC-0033,MP-030,D014,KG-008,FIG-08,TAB-07,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-057,S27,Why can equal leading-shock Mach produce different later droplet response in detonation and inert shocks?,SP-007;SP-003,GC-0034,MP-031,D018,KG-005;KG-008,FIG-08,TAB-07,WC-008,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-058,S27,Why can equal leading-shock Mach produce different later droplet response in detonation and inert shocks?,SP-007,GC-0035,MP-031,D019,KG-005;KG-008,FIG-08,TAB-07,WC-008;WC-009,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-059,S28,Which RDE/detonation insights are qualitatively transferable to HPDI and which are not validated?,SP-007,,MP-034,,KG-008;KG-003,FIG-08;FIG-09,TAB-07;TAB-08,WC-008,complete_at_synthesis_level,"No invented GC relation; section is framing, transfer audit, or final synthesis."
TRC-060,S29,"Which mechanism links are directly supported, indirect, cross-scale, or missing?",SP-001;SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008,,MP-028;MP-029;MP-032;MP-033,,KG-001;KG-002;KG-003,FIG-01;FIG-09,TAB-08,WC-001;WC-006,complete_at_synthesis_level,"No invented GC relation; section is framing, transfer audit, or final synthesis."
TRC-061,S30,"What measurements, simulations, and definition standards would most efficiently close the priority gaps?",SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008,,MP-028;MP-029;MP-032;MP-033,,KG-001;KG-002;KG-003;KG-004;KG-005;KG-006;KG-007;KG-008;KG-009;KG-010,FIG-09,TAB-08,,complete_at_synthesis_level,"No invented GC relation; section is framing, transfer audit, or final synthesis."
TRC-062,S31,What can the review conclude without overstating cross-scale closure?,SP-001;SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008,,MP-028;MP-029;MP-032;MP-033,,KG-001;KG-002;KG-003;KG-004;KG-005;KG-006;KG-007;KG-008;KG-009,FIG-09,TAB-08,,complete_at_synthesis_level,"No invented GC relation; section is framing, transfer audit, or final synthesis."
