deployment_id,section_id,global_claim_id,argument_role,anchor_paper_ids,supporting_paper_ids,boundary_paper_ids,contrasting_paper_ids,review_secondary_ids,preferred_evidence_count,evidence_strength,condition_compatibility_requirement,citation_density_guidance,notes
ED-015,S06,GC-0015,secondary evidence-coverage claim,B004,,,,B004,1 anchor/context source with explicit limitation,limited,Secondary synthesis across heterogeneous definitions; C004 is unrelated and does not affect this jet-specific limitation.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-016,S09,GC-0016,cross-paper mechanism claim,D003,C016,C007;C016;D003,,C007,1 anchor/context source with explicit limitation,limited,"Shock-front passage, shocked-state exposure, expansion-wave-limited loading, and total forcing are not equivalent intervals.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-017,S10,GC-0017,cross-paper qualified mechanism claim,C014;C025,C023,C014;C023;C025,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,"Incident-shock Mach, post-shock freestream Mach, velocity and density references, and loading histories must remain distinct.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-018,S10,GC-0018,cross-paper qualified claim,C008;C007,,C007;C008,C008,C007,1–2 anchors plus selected boundary evidence,moderate,"The sources address different physical stages, geometries, Weber ranges, and response metrics.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-019,S12,GC-0019,cross-paper mechanism claim,C012;C013,,C007;C012;C013,,C007,1–3 anchors plus up to 2 boundary/corroborating papers,strong,First and later shedding events can have different Weber sensitivity; broad taxonomy is limited by missing Tier 1 source C004.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,missing Tier 1 source C004
ED-020,S11,GC-0020,cross-paper mechanism claim,C018;C029,C011;C017,C011;C017;C018;C029,,,1–2 anchors plus selected boundary evidence,moderate,"Two-dimensional models, omitted cavitation or phase transition, and different wave-speed ratios limit direct transfer.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-021,S12,GC-0021,cross-paper mechanism claim,C005;C009,C010;C015;C019;C020,,,,1–2 anchors plus selected boundary evidence,moderate,"Instability labels, forcing histories, geometry, and terminal-regime definitions vary; C004 is missing.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,missing Tier 1 source C004
ED-022,S14,GC-0022,cross-paper qualified mechanism claim,C035;C036,C001,C001;C035;C036,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,Tandem and parallel configurations produce different mechanisms and cannot share a single critical spacing.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-023,S17,GC-0023,cross-paper transport claim,C025,C022,,,,1–2 anchors plus selected boundary evidence,moderate,"Diagnostics, sampling time, and fragment definitions differ and are sparse.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-024,S18,GC-0024,cross-paper coupled-process claim,C024;D017,,C024;D017,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,"Droplet size, liquid, optical detection threshold, and assumed post-wave gas history differ.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-025,S19,GC-0025,cross-paper qualified mechanism claim,C031,C030,C030;C031,,,1 anchor/context source with explicit limitation,limited,"Evidence is model-resolved and phase-change coefficients, thermal states, and liquids vary.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-026,S19,GC-0026,condition-specific claim,C032,,C032,,,1 anchor/context source with explicit limitation,limited,Single numerical framework and fuel-property comparison; not directly equivalent to Stefan-flow suppression cases.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-027,S18,GC-0027,condition-specific claim,C026,,C026,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,"The statement is limited to deformation and the reported observation interval, not later breakup or smaller droplets.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-028,S15,GC-0028,cross-paper mechanism claim,C033;C034,,C033;C034,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,"Cloud statistics, breakup closure, and transmitted-pressure definitions must be aligned.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-029,S13,GC-0029,cross-paper methodological limitation,C006,C024;C028,,,,1–2 anchors plus selected boundary evidence,moderate,Model comparisons use different validation observables and condition ranges; C004 is missing.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,missing Tier 1 source C004
ED-030,S10,GC-0030,cross-paper definition and regime claim,C002,C023,C002;C003;C023,,C003,1 anchor/context source with explicit limitation,limited,Review-secondary and paper-specific definitions; broad coverage is limited by missing Tier 1 source C004.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,missing Tier 1 source C004
ED-031,S18,GC-0031,condition-specific mechanism claim,C027,,C027,C027,,1 anchor/context source with explicit limitation,limited,Test liquids and shock pressure rises differ from higher-pressure and engine conditions.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-032,S26,GC-0032,cross-paper strong-wave application claim,D009,D006;D007;D008;D010;D011,D006;D007;D008;D009;D010,,,1 anchor/context source with explicit limitation,limited,"Fuel, chemistry, geometry, pre-vaporized fraction, scale definitions, and wave number vary; this is not direct HPDI-engine evidence.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-033,S26,GC-0033,condition-specific mechanism claim,D014,,,,,1 anchor/context source with explicit limitation,limited,Single modelling framework and wave-relative coordinate system.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-034,S27,GC-0034,cross-paper strong-wave breakup claim,D018,D016;D017,D016;D017;D018,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,Detonation and inert-shock post-wave histories differ; correlations remain liquid- and facility-specific.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-035,S27,GC-0035,cross-paper scale-and-stage qualification,D019,D018,D018;D019,,,1–2 anchors plus selected boundary evidence,moderate,Post-wave thermochemistry and adverse pressure gradients prevent direct transfer of shock-derived correlations.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-036,S07,GC-0036,cross-paper qualified application claim,D001,D002;D005,D001;D002;D005,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,Nozzle-exit velocity is not spray-tip velocity; injector and ambient conditions are highly facility-specific.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-037,S07,GC-0037,condition-specific application claim,D004,,D004;D005,D004,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,Wave origin and interaction stage differ from injector-generated shock cases.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-038,S22,GC-0038,paper-conditioned claim,A020,,,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,Depends on the tested injection duration and ambient state.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-039,S10,GC-0039,paper-conditioned claim,C016,,,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,Mode boundaries depend on the tested droplet sizes and shock conditions.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-040,S23,GC-0040,paper-conditioned claim,A026,,,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,Natural-luminosity thresholds and two imaging arrangements limit quantitative cross-sweep intensity comparison.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-041,S22,GC-0041,paper-conditioned claim,A026,,,,,1–2 anchors plus selected boundary evidence,moderate,Fuel distributions before ignition were not directly visualized; dilution is author interpretation.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-042,S11,GC-0042,paper-conditioned claim,C019,,,,,1–2 anchors plus selected boundary evidence,moderate,"Two-dimensional cylindrical droplet; viscosity, capillarity and phase transition omitted.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-043,S22,GC-0043,paper-conditioned claim,A012,,,,,1 anchor/context source with explicit limitation,limited,Zero-dimensional chemistry isolates kinetics and omits turbulent transport.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-044,S23,GC-0044,paper-conditioned claim,A013,,,,,1 anchor/context source with explicit limitation,limited,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-045,S21,GC-0045,paper-conditioned claim,A014,,,,,1 anchor/context source with explicit limitation,limited,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-046,S23,GC-0046,paper-conditioned claim,A018,,,,,1 anchor/context source with explicit limitation,limited,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-047,S24,GC-0047,paper-conditioned claim,A021,,,,,1 anchor/context source with explicit limitation,limited,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-048,S24,GC-0048,paper-conditioned claim,A021,,,,,1 anchor/context source with explicit limitation,limited,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-049,S24,GC-0049,paper-conditioned claim,A024,,,,,1 anchor/context source with explicit limitation,limited,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-050,S05,GC-0050,paper-conditioned claim,B007,,,,,1 anchor/context source with explicit limitation,limited,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-051,S13,GC-0051,paper-conditioned claim,C020,,,,,1 anchor/context source with explicit limitation,limited,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-052,S08,GC-0052,cross-scale evidence-boundary claim,B009;B021;C007,C016,B009;B021;C007;C016,,C007,1 anchor/context source with explicit limitation,limited,No direct spatially and temporally resolved HPDI measurement links the gas-jet shock field to pilot-droplet forcing in the current corpus.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-053,S20,GC-0053,cross-scale evidence-boundary claim,A007;A011;C024,C031,A007;A011;C024;C031,,,1 anchor/context source with explicit limitation,limited,"Canonical droplets, spray clouds, vessel studies, engines, and RDEs use incompatible scales and loading histories.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
