link_id,tier2_paper_id,tier2_candidate_claim_id,tier1_paper_id,tier1_candidate_claim_id_or_anchor,link_type,shared_parameter_or_mechanism,tier2_source_locator_id,confidence,status,notes
T2LINK-0016,B024,T2-B024-C01,B028,T1-B028-C01,extends_application_context,underexpanded jet physics,LOC-B024-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0017,B030,T2-B030-C01,B029,paper-level Tier 1 anchor,extends_application_context,underexpanded jet physics,LOC-B030-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0018,C001,T2-C001-C01,C031,paper-level Tier 1 anchor,extends_application_context,droplet breakup,LOC-C001-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0019,C002,T2-C002-C01,C007,T1-C007-C01,extends_application_context,droplet breakup,LOC-C002-0001,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0020,C006,T2-C006-C01,C025,T1-C025-C01,extends_application_context,droplet breakup,LOC-C006-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0021,C010,T2-C010-C01,C014,paper-level Tier 1 anchor,extends_application_context,droplet breakup,LOC-C010-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0022,C015,T2-C015-C01,C019,T1-C019-C01,extends_application_context,droplet breakup,LOC-C015-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0023,C017,T2-C017-C01,C018,T1-C018-C01,extends_application_context,droplet breakup,LOC-C017-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0024,C020,T2-C020-C01,C025,T1-C025-C01,extends_application_context,droplet breakup,LOC-C020-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0025,C022,T2-C022-C01,C014,paper-level Tier 1 anchor,extends_application_context,droplet breakup,LOC-C022-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0026,C023,T2-C023-C01,C018,T1-C018-C01,extends_application_context,droplet breakup,LOC-C023-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0027,C026,T2-C026-C01,C024,T1-C024-C01,extends_application_context,droplet breakup,LOC-C026-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0028,C030,T2-C030-C01,C014,paper-level Tier 1 anchor,extends_application_context,droplet breakup,LOC-C030-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0029,C033,T2-C033-C01,C007,T1-C007-C01,extends_application_context,droplet breakup,LOC-C033-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0030,C034,T2-C034-C01,C016,paper-level Tier 1 anchor,extends_application_context,droplet breakup,LOC-C034-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0031,D002,T2-D002-C01,D009,paper-level Tier 1 anchor,extends_application_context,RDE/detonation application,LOC-D002-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0032,D005,T2-D005-C01,D003,paper-level Tier 1 anchor,extends_application_context,RDE/detonation application,LOC-D005-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0033,D007,T2-D007-C01,D009,paper-level Tier 1 anchor,extends_application_context,RDE/detonation application,LOC-D007-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0034,D010,T2-D010-C01,D017,paper-level Tier 1 anchor,extends_application_context,RDE/detonation application,LOC-D010-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0035,D011,T2-D011-C01,D017,paper-level Tier 1 anchor,extends_application_context,RDE/detonation application,LOC-D011-0001,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0036,D013,T2-D013-C01,D009,paper-level Tier 1 anchor,extends_application_context,RDE/detonation application,LOC-D013-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0037,D014,T2-D014-C01,D017,paper-level Tier 1 anchor,extends_application_context,RDE/detonation application,LOC-D014-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0038,D015,T2-D015-C01,D009,paper-level Tier 1 anchor,extends_application_context,RDE/detonation application,LOC-D015-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0039,D016,T2-D016-C01,D003,paper-level Tier 1 anchor,extends_application_context,RDE/detonation application,LOC-D016-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0040,A002,T2-A002-C01,A007,T1-A007-C02,extends_scale,"injection pressure, mixing rate, combustion phasing",LOC-A002-0003,medium,candidate,Phase 9.1 scientific link; global consolidation deferred.
T2LINK-0041,A005,T2-A005-C02,B021,T1-B021-C03,contrasts_interaction_outcome,multi-jet interaction and mixing topology,LOC-A005-0002,medium,candidate,Phase 9.1 scientific link; global consolidation deferred.
T2LINK-0042,A009,T2-A009-C01,A007,T1-A007-C01,corroborates,ambient reactivity and pilot/gas overlap,LOC-A009-0002,medium,candidate,Phase 9.1 scientific link; global consolidation deferred.
T2LINK-0043,A011,T2-A011-C01,A007,T1-A007-C02,supports_mechanism,"relative timing, premixing, HRR regime",LOC-A011-0002,medium,candidate,Phase 9.1 scientific link; global consolidation deferred.
T2LINK-0044,A012,T2-A012-C01,A007,T1-A007-C01,supports_mechanism,pilot trigger for natural-gas ignition,LOC-A012-0003,medium,candidate,Phase 9.1 scientific link; global consolidation deferred.
T2LINK-0045,B008,T2-B008-C01,B021,T1-B021-C01,extends_model_context,real-gas high-pressure underexpanded hydrogen jet,LOC-B008-0002,medium,candidate,Phase 9.1 scientific link; global consolidation deferred.
T2LINK-0046,C036,T2-C036-C02,D019,T1-D019-C03,extends_population_context,spacing-dependent droplet breakup topology,LOC-C036-0004,medium,candidate,Phase 9.1 scientific link; global consolidation deferred.
