source_record_id,source_library,canonical_paper_id,mapping_status,mapping_basis,doi,title,notes
A-H2-04,A,A021,canonical,direct_assignment,10.1016/j.ijhydene.2023.11.106,Effects of energy-share and ambient oxygen concentration on hydrogen-diesel dual-fuel direct-injection (H2DDI) combustion in compression-ignition conditions,Paper ID assigned and locked on 2026-08-30.
A-H2-05,A,A022,canonical,direct_assignment,10.1016/j.ijhydene.2024.04.166,Effects of jet interaction angle on the ignition and combustion characteristics of hydrogen-diesel dual-fuel direct injection,Paper ID assigned and locked on 2026-08-30.
A-H2-06,A,A023,canonical,direct_assignment,10.1016/j.ijhydene.2024.01.065,Split injection strategies for a high-pressure hydrogen direct injection in a small-bore dual-fuel diesel engine,Paper ID assigned and locked on 2026-08-30.
A-H2-07,A,A024,canonical,direct_assignment,10.1016/j.ijhydene.2023.09.019,Numerical modelling of a heavy-duty diesel-hydrogen dual-fuel engine with late high pressure hydrogen direct injection and diesel pilot,Paper ID assigned and locked on 2026-08-30.
A-H2-08,A,A025,canonical,direct_assignment,10.1016/j.proci.2024.105213,Modeling hydrogen–diesel dual direct injection combustion with FGM and transported PDF,Paper ID assigned and locked on 2026-08-30.
A-H2-09,A,A026,canonical,direct_assignment,10.1016/j.jaecs.2025.100382,The influence of hydrogen injection timing and energy proportion on flame developments in a dual direct injection optical diesel engine,Paper ID assigned and locked on 2026-08-30.
A-R-01,A,A027,canonical,direct_assignment,10.1016/j.rser.2019.109653,"A comprehensive review of pilot ignited high pressure direct injection natural gas engines: Factors affecting combustion, emissions and performance",Paper ID assigned and locked on 2026-08-30.
A-R-02,A,A028,canonical,direct_assignment,10.1016/j.rser.2021.111390,Numerical investigations on pilot ignited high pressure direct injection natural gas engines: A review,Paper ID assigned and locked on 2026-08-30.
A-R-03,A,A029,canonical,direct_assignment,10.1016/j.joei.2025.102006,Dual-fuel dual-direct injection: An efficient and clean combustion technology for diesel engines,Paper ID assigned and locked on 2026-08-30.
A-R-04,A,A030,canonical,direct_assignment,10.1021/acs.energyfuels.5c02216,ef5c02216 1..23,Paper ID assigned and locked on 2026-08-30.
B-T-01,B,B001,canonical,direct_assignment,10.1016/j.ijhydene.2012.05.142,Numerical study of the near-field of highly underexpanded turbulent gas jets,Paper ID assigned and locked on 2026-08-30.
B-T-02,B,B002,canonical,direct_assignment,10.1016/j.ijhydene.2012.09.135,Evaluation of notional nozzle approaches for CFD simulations of free-shear under-expanded hydrogen jets,Paper ID assigned and locked on 2026-08-30.
B-T-03,B,B003,canonical,direct_assignment,10.1063/1.4772192,RESEARCH ARTICLE | JANUARY 08 2013 Large-eddy simulation of highly underexpanded transient gas jets,Paper ID assigned and locked on 2026-08-30.
B-T-04,B,B004,canonical,direct_assignment,10.1016/j.paerosci.2015.06.006,Free underexpanded jets in a quiescent medium: A review,Paper ID assigned and locked on 2026-08-30.
B-T-05,B,B005,canonical,direct_assignment,10.3390/en16186471,Under-Expanded Jets in Advanced Propulsion Systems—A Review of Latest Theoretical and Experimental Research Activities,Paper ID assigned and locked on 2026-08-30.
B-H2-01,B,B006,canonical,direct_assignment,10.4271/2006-01-0652,Transient High-Pressure Hydrogen Jet Measurements,Paper ID assigned and locked on 2026-08-30.
B-H2-02,B,B007,canonical,direct_assignment,10.1016/j.ijhydene.2012.03.063,Ignitability and mixing of underexpanded hydrogen jets,Paper ID assigned and locked on 2026-08-30.
B-H2-03,B,B008,canonical,direct_assignment,10.1115/1.4025253,A Numerical Analysis of Hydrogen Underexpanded Jets Under Real Gas Assumption,Paper ID assigned and locked on 2026-08-30.
B-H2-04,B,B009,canonical,direct_assignment,10.1016/j.ijhydene.2014.10.016,Large eddy simulation of highly turbulent under-expanded hydrogen and methane jets for gaseous-fuelled internal combustion engines,Paper ID assigned and locked on 2026-08-30.
B-H2-05,B,B010,canonical,direct_assignment,10.1016/j.ijhydene.2016.01.120,A comparative study of highly underexpanded nitrogen and hydrogen jets using large eddy simulation,Paper ID assigned and locked on 2026-08-30.
B-H2-06,B,B011,canonical,direct_assignment,10.1016/j.ijhydene.2016.02.017,Gas dynamics and flow characteristics of highly turbulent under-expanded hydrogen and methane jets under various nozzle pressure ratios and ambient pressures,Paper ID assigned and locked on 2026-08-30.
B-H2-07,B,B012,canonical,direct_assignment,10.1016/j.ijheatfluidflow.2016.07.015,Numerical modelling of transient under-expanded jets under different ambient thermodynamic conditions with adaptive mesh refinement,Paper ID assigned and locked on 2026-08-30.
B-H2-08,B,B013,canonical,direct_assignment,10.1016/j.ijhydene.2017.01.016,Numerical investigation of a high pressure hydrogen jet of 82&nbsp;MPa with adaptive mesh refinement: The starting transient evolution and Mach disk stabilization,Paper ID assigned and locked on 2026-08-30.
B-H2-09,B,B014,canonical,direct_assignment,10.1016/j.ijhydene.2020.04.140,Experimental investigation on the microscopic characteristics of underexpanded transient hydrogen jets,Paper ID assigned and locked on 2026-08-30.
B-H2-10,B,B015,canonical,direct_assignment,10.1016/j.fuel.2020.118710,Visualization research on hydrogen jet characteristics of an outward-opening injector for direct injection hydrogen engines,Paper ID assigned and locked on 2026-08-30.
B-NG-01,B,B016,canonical,direct_assignment,10.1016/j.enconman.2017.06.015,The characteristic analysis of high-pressure gas jets for natural gas engine based on shock wave structure,Paper ID assigned and locked on 2026-08-30.
B-NG-02,B,B017,canonical,direct_assignment,10.1016/j.fuel.2019.116081,Gas jet flow characteristic of high-pressure methane pulsed injection of single-hole cylindrical nozzle,Paper ID assigned and locked on 2026-08-30.
B-NG-03,B,B018,canonical,direct_assignment,10.4271/2020-01-0325,Under-Expanded Gaseous Jets Characterization for Application in Direct Injection Engines: Experimental and Numerical Approach,Paper ID assigned and locked on 2026-08-30.
B-NG-04,B,B019,canonical,direct_assignment,10.1016/j.fuel.2020.120019,Large-eddy simulation of methane direct injection using the full injector geometry,Paper ID assigned and locked on 2026-08-30.
B-NG-05,B,B020,canonical,direct_assignment,10.1016/j.heliyon.2023.e13645,Experimental investigation on high-pressure methane jet characteristic single-hole injector,Paper ID assigned and locked on 2026-08-30.
B-E-01,B,B021,canonical,direct_assignment,10.1177/14680874221148789,Numerical characterization of hydrogen under-expanded jets with a focus on Internal Combustion Engines applications,Paper ID assigned and locked on 2026-08-30.
B-E-02,B,B022,canonical,direct_assignment,10.1017/jfm.2023.603,Gas-dynamic and mixing analysis of under-expanded hydrogen jets: eﬀect of the cross section shape,Paper ID assigned and locked on 2026-08-30.
B-E-03,B,B023,canonical,direct_assignment,10.1016/j.ijhydene.2023.09.062,Pressure-based large-eddy simulation of under-expanded hydrogen jets for engine applications,Paper ID assigned and locked on 2026-08-30.
B-E-04,B,B024,canonical,direct_assignment,10.1016/j.ijhydene.2024.05.411,Experimental characterization of a hydrogen hollow cone jet at under-expanded conditions via schlieren technique,Paper ID assigned and locked on 2026-08-30.
B-E-05,B,B025,canonical,direct_assignment,10.1016/j.ijheatfluidflow.2024.109381,CFD analysis of hydrogen and methane turbulent transitional under-expanded jets,Paper ID assigned and locked on 2026-08-30.
B-E-06,B,B026,canonical,direct_assignment,10.1016/j.ijhydene.2024.11.242,Unsteady RANS simulations of under-expanded hydrogen jets for internal combustion engines,Paper ID assigned and locked on 2026-08-30.
B-E-07,B,B027,canonical,direct_assignment,10.1063/5.0277887,Turbulent mixing dynamics of under-expanded hydrogen jets in propulsion systems,Paper ID assigned and locked on 2026-08-30.
B-E-08,B,B028,canonical,direct_assignment,10.1016/j.applthermaleng.2025.128523,Investigation of hydrogen jet formation for direct injection engines: a dual-scale framework from shock reflection to spray evolution,Paper ID assigned and locked on 2026-08-30.
B-E-09,B,B029,canonical,direct_assignment,10.1021/acsomega.5c12077,ao5c12077 1..13,Paper ID assigned and locked on 2026-08-30.
B-E-10,B,B030,canonical,direct_assignment,10.1016/j.energy.2026.141499,Experimental study on the development characteristics of the extremely under-expanded hydrogen jet structure for high pressure direct injection hydrogen engines,Paper ID assigned and locked on 2026-08-30.
C-F-01,C,C001,canonical,direct_assignment,10.1017/S0022112007008853,Aerobreakup in disturbed subsonic and supersonic flow fields,Paper ID assigned and locked on 2026-08-30.
C-F-02,C,C002,canonical,direct_assignment,10.1063/1.2907989/H20852,On the physics of aerobreakup,Paper ID assigned and locked on 2026-08-30.
C-F-03,C,C003,canonical,direct_assignment,10.1007/s00348-008-0593-2,REVIEW ARTICLE Secondary atomization,Paper ID assigned and locked on 2026-08-30.
C-F-04,C,C004,canonical,direct_assignment,10.1146/annurev-fluid-122109-160638,Aerobreakup of Newtonian and Viscoelastic Liquids,Paper ID assigned and locked on 2026-08-30.
C-F-05,C,C005,canonical,direct_assignment,10.1098/rspa.2014.0930,Secondary breakup of a drop at moderate Weber numbers,Paper ID assigned and locked on 2026-08-30.
C-F-06,C,C006,canonical,direct_assignment,10.1017/jfm.2021.7,On aerodynamic droplet breakup,Paper ID assigned and locked on 2026-08-30.
C-F-07,C,C007,canonical,direct_assignment,10.1146/annurev-fluid-112823-,Annual Review of Fluid Mechanics Secondary Atomization of Droplets at Extreme Conditions,Paper ID assigned and locked on 2026-08-30.
C-SD-01,C,C008,canonical,direct_assignment,10.1007/s00193-014-0546-z,Numerical simulations of the early stages of high-speed droplet breakup,Paper ID assigned and locked on 2026-08-30.
C-SD-02,C,C009,canonical,direct_assignment,10.1016/j.proci.2016.09.016,Simulation of drop deformation and breakup in supersonic flow,Paper ID assigned and locked on 2026-08-30.
C-SD-03,C,C010,canonical,direct_assignment,10.1017/jfm.2017.804,Numerical simulation of the aerobreakup of a water droplet,Paper ID assigned and locked on 2026-08-30.
C-SD-04,C,C011,canonical,direct_assignment,10.2514/1.J057134,Numerical Study on Liquid Droplet Internal Flow Under Shock Impact,Paper ID assigned and locked on 2026-08-30.
C-SD-05,C,C012,canonical,direct_assignment,10.1364/OL.44.005884,High-magnification shadowgraphy for the study of drop breakup in a high-speed gas flow,Paper ID assigned and locked on 2026-08-30.
C-SD-06,C,C013,canonical,direct_assignment,10.1017/jfm.2020.699,904 A20-1 On the formation and recurrent shedding of ligaments in droplet aerobreakup,Paper ID assigned and locked on 2026-08-30.
C-SD-07,C,C014,canonical,direct_assignment,10.1007/s00348-020-03026-1,Effect of Mach number on droplet aerobreakup in shear stripping regime,Paper ID assigned and locked on 2026-08-30.
C-SD-08,C,C015,canonical,direct_assignment,10.1016/j.ijmultiphaseflow.2020.103273,On the interaction of water droplet with a shock wave: Experiment and numerical simulation,Paper ID assigned and locked on 2026-08-30.
C-SD-09,C,C016,canonical,direct_assignment,10.1017/jfm.2021.860,Shock induced aerobreakup of a droplet,Paper ID assigned and locked on 2026-08-30.
C-SD-10,C,C017,canonical,direct_assignment,10.1063/5.0063827,Shock-induced cavitation and wavefront analysis inside a water droplet,Paper ID assigned and locked on 2026-08-30.
C-SD-11,C,C018,canonical,direct_assignment,10.1017/jfm.2024.472,Exploration of shock–droplet interaction based on high-ﬁdelity simulation and improved theoretical model,Paper ID assigned and locked on 2026-08-30.
C-SD-12,C,C019,canonical,direct_assignment,,Email address for correspondence: meredith.xs@163.com; wbing@tsinghua.edu.cn. Investigation on the dynamic characteristics of a droplet subjected to a divergent shock wave,Paper ID assigned and locked on 2026-08-30.
C-SD-13,C,C020,canonical,direct_assignment,10.1016/j.ijmultiphaseflow.2025.105490,Droplet breakup by multimodal nonlinear Rayleigh Taylor instability,Paper ID assigned and locked on 2026-08-30.
C-ST-01,C,C021,canonical,direct_assignment,10.1103/PhysRevFluids.6.084304,Droplet aerobreakup under the shear-induced entrainment regime using a multiscale two-fluid approach,Paper ID assigned and locked on 2026-08-30.
C-ST-02,C,C022,canonical,direct_assignment,10.1016/j.ijmultiphaseflow.2021.103943,Secondary droplet size distribution upon breakup of a sub-milimeter droplet in high speed cross flow,Paper ID assigned and locked on 2026-08-30.
C-ST-03,C,C023,canonical,direct_assignment,10.1063/5.0093291,Numerical investigations on the deformation and breakup of an n-decane droplet induced by a shock wave,Paper ID assigned and locked on 2026-08-30.
C-ST-04,C,C024,canonical,direct_assignment,10.1016/j.ijmultiphaseflow.2023.104389,Experiments on the breakup and evaporation of small droplets at high Weber number,Paper ID assigned and locked on 2026-08-30.
C-ST-05,C,C025,canonical,direct_assignment,,Timescales and Statistics of Shock-induced Droplet Breakup,Paper ID assigned and locked on 2026-08-30.
C-ST-06,C,C026,canonical,direct_assignment,10.1016/j.ijmultiphaseflow.2025.105372,Deformation and acceleration of small droplets at high-speed conditions,Paper ID assigned and locked on 2026-08-30.
C-PC-01,C,C027,canonical,direct_assignment,10.1063/1.4733459,RESEARCH ARTICLE | JULY 20 2012 Breakup and vaporization of droplets under locally supersonic conditions,Paper ID assigned and locked on 2026-08-30.
C-PC-02,C,C028,canonical,direct_assignment,10.1016/j.jcp.2019.109005,Journal of Computational Physics A sharp-interface method for the simulation of shock-induced vaporization of droplets,Paper ID assigned and locked on 2026-08-30.
C-PC-03,C,C029,canonical,direct_assignment,10.1103/PhysRevFluids.6.113601,Numerical study of the transcritical shock-droplet interaction,Paper ID assigned and locked on 2026-08-30.
C-PC-04,C,C030,canonical,direct_assignment,10.1017/jfm.2024.1035,Impact of vaporization on drop aerobreakup,Paper ID assigned and locked on 2026-08-30.
C-PC-05,C,C031,canonical,direct_assignment,10.1063/5.0255860,Three-dimensional numerical simulations of phase change effects on shock-droplet interactions,Paper ID assigned and locked on 2026-08-30.
C-PC-06,C,C032,canonical,direct_assignment,10.1016/j.fuel.2016.08.014,Full Length Article Aerodynamic breakup of an n-decane droplet in a high temperature gas environment,Paper ID assigned and locked on 2026-08-30.
C-MD-01,C,C033,canonical,direct_assignment,10.1063/1.3657083,RESEARCH ARTICLE | NOVEMBER 07 2011 Experimental investigation of the propagation of a planar shock wave through a two-phase gas-liquid medium,Paper ID assigned and locked on 2026-08-30.
C-MD-02,C,C034,canonical,direct_assignment,10.1007/s00193-015-0593-0,Shock waves in sprays: numerical study of secondary atomization and experimental comparison,Paper ID assigned and locked on 2026-08-30.
C-MD-03,C,C035,canonical,direct_assignment,10.1063/5.0039098,RESEARCH ARTICLE | JANUARY 29 2021 Experimental investigation of shock-induced tandem droplet breakup,Paper ID assigned and locked on 2026-08-30.
C-MD-04,C,C036,canonical,direct_assignment,10.1103/5398-z2gf,Shock-induced aerobreakup of parallel-arranged droplets,Paper ID assigned and locked on 2026-08-30.
D-IC-01,D,D001,canonical,direct_assignment,10.1615/AtomizSpr.v20.i2.50,Effect of Ambient Temperature and Density on Shock Wave Generation in a Diesel Engine,Paper ID assigned and locked on 2026-08-30.
D-IC-02,D,D002,canonical,direct_assignment,10.1016/j.apenergy.2015.08.053,Effect of shock waves on the evolution of high-pressure fuel jets,Paper ID assigned and locked on 2026-08-30.
D-IC-03,D,D003,canonical,direct_assignment,10.1016/j.ijmultiphaseflow.2018.01.001,Potential of a jet-induced shock wave to influence an upstream droplet cloud in compression-ignition engines using multiple injection strategies,Paper ID assigned and locked on 2026-08-30.
D-IC-04,D,D004,canonical,direct_assignment,10.1016/j.expthermflusci.2019.01.025,Experimental research on the effect of reflected shock waves on the evolution of a high-pressure diesel spray,Paper ID assigned and locked on 2026-08-30.
D-IC-05,D,D005,canonical,direct_assignment,10.3390/en13236465,Potential for Shock-Wave Generation at Diesel Engine Conditions and Its Influence on Spray Characteristics,Paper ID assigned and locked on 2026-08-30.
D-RDE-01,D,D006,canonical,direct_assignment,10.1016/j.fuel.2020.119808,Eulerian[formula omitted]Lagrangian modelling of rotating detonative combustion in partially pre-vaporized n -heptane sprays with hydrogen addition,Paper ID assigned and locked on 2026-08-30.
D-RDE-02,D,D007,canonical,direct_assignment,10.1016/j.combustflame.2021.111484,Numerical study on rotating detonation stability in two-phase kerosene-air mixture,Paper ID assigned and locked on 2026-08-30.
D-RDE-03,D,D008,canonical,direct_assignment,10.1016/j.fuel.2021.123087,Simulations of rotating detonation combustion with in-situ evaporating bi-disperse n -heptane sprays,Paper ID assigned and locked on 2026-08-30.
D-RDE-04,D,D009,canonical,direct_assignment,10.1016/j.combustflame.2022.112271,On the propagation stability of droplet-laden two-phase rotating detonation waves,Paper ID assigned and locked on 2026-08-30.
D-RDE-05,D,D010,canonical,direct_assignment,10.1016/j.proci.2022.09.002,Simulation of liquid droplets combustion in a rotating detonation engine,Paper ID assigned and locked on 2026-08-30.
D-RDE-06,D,D011,canonical,direct_assignment,10.1016/j.ijhydene.2023.04.314,Effects of droplet evaporation on the flow field of hydrogen-enhanced rotating detonation engines with liquid kerosene,Paper ID assigned and locked on 2026-08-30.
D-RDE-07,D,D012,canonical,direct_assignment,10.1016/j.actaastro.2023.08.037,Investigation of multi-stage evaporation and wave multiplicity of two-phase rotating detonation waves fueled by ethanol,Paper ID assigned and locked on 2026-08-30.
D-RDE-08,D,D013,canonical,direct_assignment,10.1016/j.actaastro.2024.07.002,Effects of the droplet size and engine size on two-phase kerosene/air rotating detonation engines in flight operation conditions,Paper ID assigned and locked on 2026-08-30.
D-RDE-09,D,D014,canonical,direct_assignment,10.1016/j.ijhydene.2025.01.004,Characterization of droplet kinematics and spatial distribution in a two-phase ethanol-fueled rotating detonation flow field,Paper ID assigned and locked on 2026-08-30.
D-RDE-10,D,D015,canonical,direct_assignment,10.1016/j.fuel.2026.138720,Effect of spray characteristics on the dynamic characteristics and mode distribution pattern of kerosene/air detonation,Paper ID assigned and locked on 2026-08-30.
D-DW-01,D,D016,canonical,direct_assignment,10.1063/5.0253061,Breakup characteristics of droplets induced bydetonation waves under different diametersand Mach numbers,Paper ID assigned and locked on 2026-08-30.
D-DW-02,D,D017,canonical,direct_assignment,10.1016/j.expthermflusci.2024.111324,Droplet breakup and evaporation in liquid-fueled detonations,Paper ID assigned and locked on 2026-08-30.
D-DW-03,D,D018,canonical,direct_assignment,10.1016/j.actaastro.2025.11.013,Detonation-induced dynamics of RP-3 droplet deformation and breakup,Paper ID assigned and locked on 2026-08-30.
D-DW-04,D,D019,canonical,direct_assignment,10.1103/mp9z-tlk3,Comparative analysis of detonation and shock waves interacting with droplets: Characteristics and mechanisms,Paper ID assigned and locked on 2026-08-30.
