paper_id,source_record_id,library_primary,library_secondary,record_status,title,authors,first_author,year,journal,volume,issue,pages_or_article_number,doi,doi_status,publication_type,language,bibtex_key,relevance_grade,relevance_score,relevance_reason,must_read,reading_tier,reading_priority,final_decision,exclusion_reason,chapter_primary,chapter_secondary,chapter_role,topic_tags,parameter_groups,pdf_status,pdf_filename,pdf_relpath,pdf_match_status,text_status,note_status,extraction_status,evidence_status,citation_status,source_database,source_url,search_batch_id,verification_flags,date_added,date_updated,notes
A011,A-NG-11,A,,retained,Parametric study of pilot-ignited direct-injection natural gas combustion in an optically accessible heavy-duty engine,Jeremy Rochussen; Gordon McTaggart-Cowan; Patrick Kirchen,Rochussen,2020,International Journal of Engine Research,,,,10.1177/1468087419836877,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,A-NG-11_2020_Rochussen_ParametricStudy_Optical_HPDI_NG.pdf,02_PDF_Raw/A/A-NG-11_2020_Rochussen_ParametricStudy_Optical_HPDI_NG.pdf,matched,processed,complete,complete,partial,unverified,,,,local_pdf_identity_verified,2026-08-30,2026-09-01,User-supplied DOI/title retained as unverified metadata. Phase 9.1 late PDF recovered and identity-verified from the local original PDF.; Phase 9.1 late-PDF tier-conformant processing complete; candidate evidence not globally consolidated.
A012,A-NG-12,A,,retained,The Interaction Between the Pilot Diesel and Main NG Injection in an HPDI Engine,N. Diepstraten; X. L. J. Seykens; L. M. T. Somers,Diepstraten,2021,,,,,10.1115/ICEF2021-74466,unverified,,,,,,,,tier2,,keep,,,,,,,downloaded,A-NG-12_2021_Diepstraten_PilotDiesel_MainNG_Interaction_HPDI.pdf,02_PDF_Raw/A/A-NG-12_2021_Diepstraten_PilotDiesel_MainNG_Interaction_HPDI.pdf,matched,processed,complete,complete,partial,unverified,,,,local_pdf_identity_verified,2026-08-30,2026-09-01,User-supplied DOI/title retained as unverified metadata. Phase 9.1 late PDF recovered and identity-verified from the local original PDF.; Phase 9.1 late-PDF tier-conformant processing complete; candidate evidence not globally consolidated.
A013,A-NG-13,A,,retained,Heat release rate and emissions regimes of stratified pilot-ignited direct-injection natural gas combustion,"Jeremy Rochussen1 , Gordon McT aggart-Cowan2 and",Rochussen,2023,International Journal of Engine Research 2023.24:265-285,,,,10.1177/14680874211046912,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,A-NG-13_2023_Rochussen_HeatRelease_Emissions_Stratified_PIDING.pdf,02_PDF_Raw/A/A-NG-13_2023_Rochussen_HeatRelease_Emissions_Stratified_PIDING.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,
A014,A-NG-14,A,,retained,Optical characterization of stratified-premixed natural gas direct-injection combustion regimes,"Jeremy Rochussen , Matthew Knight , Gibson Clark",Rochussen,2023,International Journal of Engine Research 2023.24:1892-1915,,,,10.1177/14680874221107188,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,A-NG-14_2023_Rochussen_Optical_StratifiedPremixed_NGDI_Combustion.pdf,02_PDF_Raw/A/A-NG-14_2023_Rochussen_Optical_StratifiedPremixed_NGDI_Combustion.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,
A015,A-NG-15,A,,retained,Effects of operating parameters on combustion and soot emissions in a pilot ignited HPDI natural gas engine for different combustion modes,Guisheng Chen,Chen,2023,,,,,10.1016/j.fuel.2022.127160,verified,,,,,,,,tier3,,keep,,,,,,,downloaded,A-NG-15_2023_Chen_OperatingParameters_Soot_HPDI_CombustionModes.pdf,02_PDF_Raw/A/A-NG-15_2023_Chen_OperatingParameters_Soot_HPDI_CombustionModes.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
A016,A-NG-16,A,,retained,Investigations of diesel and natural gas injection interaction on combustion characteristics of a high-pressure direct-injection dual-fuel engine based on large eddy simulation,Zifan Lian,Lian,2025,,,,,10.1016/j.apenergy.2024.124807,verified,,,,,,,,tier1,,keep,,,,,,,downloaded,A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,02_PDF_Raw/A/A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
A017,A-NG-17,A,,retained,Effects of injector structural parameters coupled with injection pressure on the combustion and emission performance of commercial HPDI natural gas engine,Kaiqiang Yang,Yang,2026,,,,,10.1016/j.fuel.2025.138211,verified,,,,,,,,tier3,,keep,,,,,,,downloaded,A-NG-17_2026_Yang_InjectorStructure_InjectionPressure_Commercial_HPDI.pdf,02_PDF_Raw/A/A-NG-17_2026_Yang_InjectorStructure_InjectionPressure_Commercial_HPDI.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
A018,A-H2-01,A,,retained,Performance and emissions of hydrogen-diesel dual direct injection (H2DDI) in a single-cylinder compression-ignition engine,Xinyu Liu,Liu,2021,International Journal of Hydrogen Energy,,,,10.1016/j.ijhydene.2020.10.006,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,A-H2-01_2021_Liu_Performance_Emissions_H2DDI.pdf,02_PDF_Raw/A/A-H2-01_2021_Liu_Performance_Emissions_H2DDI.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,
A019,A-H2-02,A,,retained,Direct injection of hydrogen main fuel and diesel pilot fuel in a retrofitted single-cylinder compression ignition engine,Xinyu Liu,Liu,2022,International Journal of Hydrogen Energy,,,,10.1016/j.ijhydene.2022.08.149,verified,,,,,,,,tier3,,keep,,,,,,,downloaded,A-H2-02_2022_Liu_HydrogenMainFuel_DieselPilot_DirectInjection.pdf,02_PDF_Raw/A/A-H2-02_2022_Liu_HydrogenMainFuel_DieselPilot_DirectInjection.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
A020,A-H2-03,A,,retained,Hydrogen-diesel dual-fuel direct-injection (H2DDI) combustion under compression-ignition engine conditions,Patrick Rorimpandey,Rorimpandey,2023,International Journal of Hydrogen Energy,,,,10.1016/j.ijhydene.2022.09.241,verified,,,,,,,,tier1,,keep,,,,,,,downloaded,A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,02_PDF_Raw/A/A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
A021,A-H2-04,A,,retained,Effects of energy-share and ambient oxygen concentration on hydrogen-diesel dual-fuel direct-injection (H2DDI) combustion in compression-ignition conditions,Patrick Rorimpandey,Rorimpandey,2024,International Journal of Hydrogen Energy,,,,10.1016/j.ijhydene.2023.11.106,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,A-H2-04_2024_Rorimpandey_EnergyShare_AmbientOxygen_H2DDI.pdf,02_PDF_Raw/A/A-H2-04_2024_Rorimpandey_EnergyShare_AmbientOxygen_H2DDI.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,
A022,A-H2-05,A,,retained,Effects of jet interaction angle on the ignition and combustion characteristics of hydrogen-diesel dual-fuel direct injection,Patrick Rorimpandey,Rorimpandey,2024,International Journal of Hydrogen Energy,,,,10.1016/j.ijhydene.2024.04.166,verified,,,,,,,,tier1,,keep,,,,,,,downloaded,A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,matched,processed,complete,partial,partial,unverified,,,,,2026-08-30,2026-08-30,
A023,A-H2-06,A,,retained,Split injection strategies for a high-pressure hydrogen direct injection in a small-bore dual-fuel diesel engine,Xinyu Liu,Liu,2024,International Journal of Hydrogen Energy,,,,10.1016/j.ijhydene.2024.01.065,verified,,,,,,,,tier3,,keep,,,,,,,downloaded,A-H2-06_2024_Liu_SplitInjection_HighPressure_HydrogenDI.pdf,02_PDF_Raw/A/A-H2-06_2024_Liu_SplitInjection_HighPressure_HydrogenDI.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
A024,A-H2-07,A,,retained,Numerical modelling of a heavy-duty diesel-hydrogen dual-fuel engine with late high pressure hydrogen direct injection and diesel pilot,C.J. Ramsay,Ramsay,2024,International Journal of Hydrogen Energy,,,,10.1016/j.ijhydene.2023.09.019,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,A-H2-07_2024_Ramsay_HeavyDuty_DieselHydrogen_HPDI_Modeling.pdf,02_PDF_Raw/A/A-H2-07_2024_Ramsay_HeavyDuty_DieselHydrogen_HPDI_Modeling.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,
A025,A-H2-08,A,,retained,Modeling hydrogen–diesel dual direct injection combustion with FGM and transported PDF,Tommaso Lucchini,Lucchini,2024,,,,,10.1016/j.proci.2024.105213,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,A-H2-08_2024_Lucchini_H2DDI_FGM_TransportedPDF.pdf,02_PDF_Raw/A/A-H2-08_2024_Lucchini_H2DDI_FGM_TransportedPDF.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,
A026,A-H2-09,A,,retained,The influence of hydrogen injection timing and energy proportion on flame developments in a dual direct injection optical diesel engine,Alastar Gordon Heaton,Heaton,2025,,,,,10.1016/j.jaecs.2025.100382,verified,,,,,,,,tier1,,keep,,,,,,,downloaded,A-H2-09_2025_Heaton_HydrogenInjectionTiming_EnergyProportion_Flame.pdf,02_PDF_Raw/A/A-H2-09_2025_Heaton_HydrogenInjectionTiming_EnergyProportion_Flame.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,Phase 7 Tier 1 full-text processing complete; per-paper candidate evidence only.
A027,A-R-01,A,,retained,"A comprehensive review of pilot ignited high pressure direct injection natural gas engines: Factors affecting combustion, emissions and performance",Menghan Li,Li,2020,,,,,10.1016/j.rser.2019.109653,verified,,,,,,,,tier3,,keep,,,,,,,downloaded,A-R-01_2020_Li_Review_HPDI_NaturalGas_CombustionEmissionsPerformance.pdf,02_PDF_Raw/A/A-R-01_2020_Li_Review_HPDI_NaturalGas_CombustionEmissionsPerformance.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
A028,A-R-02,A,,retained,Numerical investigations on pilot ignited high pressure direct injection natural gas engines: A review,Menghan Li,Li,2021,,,,,10.1016/j.rser.2021.111390,verified,,,,,,,,tier1,,keep,,,,,,,downloaded,A-R-02_2021_Li_NumericalReview_HPDI_NaturalGas_Engines.pdf,02_PDF_Raw/A/A-R-02_2021_Li_NumericalReview_HPDI_NaturalGas_Engines.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,Phase 7 Tier 1 full-text processing complete; per-paper candidate evidence only.
A029,A-R-03,A,,retained,Dual-fuel dual-direct injection: An efficient and clean combustion technology for diesel engines,Tao Li,Li,2025,Journal of the Energy Institute,,,,10.1016/j.joei.2025.102006,verified,,,,,,,,tier1,,keep,,,,,,,downloaded,A-R-03_2025_Li_DualFuel_DualDirectInjection_Review.pdf,02_PDF_Raw/A/A-R-03_2025_Li_DualFuel_DualDirectInjection_Review.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,Phase 7 Tier 1 full-text processing complete; per-paper candidate evidence only.
A030,A-R-04,A,,retained,A Review of the Fundamental Understanding of Hydrogen−Diesel Direct Injection Combustion: Recent Advances and Future Outlook,"Patrick Rorimpandey, Kirtan Aryal, Guanxiong Zhai, Shijie Xu, Kar Mun Pang, Guan Heng Yeoh,",Rorimpandey,2025,,,,,10.1021/acs.energyfuels.5c02216,verified,,,,,,,,tier1,,keep,,,,,,,downloaded,A-R-04_2025_Rorimpandey_HydrogenDiesel_DI_Combustion_Review.pdf,02_PDF_Raw/A/A-R-04_2025_Rorimpandey_HydrogenDiesel_DI_Combustion_Review.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,Phase 7 Tier 1 full-text processing complete; per-paper candidate evidence only. PDF identity confirmed; canonical title corrected from verified PDF first-page publisher front matter in Phase 7.1.
B001,B-T-01,B,,retained,Numerical study of the near-field of highly underexpanded turbulent gas jets,Alexey Velikorodny,Velikorodny,2012,International Journal of Hydrogen Energy,,,,10.1016/j.ijhydene.2012.05.142,verified,,,,,,,,tier3,,keep,,,,,,,downloaded,B-T-01_2012_Velikorodny_NearField_HighlyUnderexpanded_TurbulentGasJets.pdf,02_PDF_Raw/B/B-T-01_2012_Velikorodny_NearField_HighlyUnderexpanded_TurbulentGasJets.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
B002,B-T-02,B,,retained,Evaluation of notional nozzle approaches for CFD simulations of free-shear under-expanded hydrogen jets,"E. Papanikolaou a, D. Baraldi a,*, M. Kuznetsov b, A. Venetsanos c",Papanikolaou,2012,,,,,10.1016/j.ijhydene.2012.09.135,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,B-T-02_2012_Papanikolaou_NotionalNozzle_Underexpanded_HydrogenJets.pdf,02_PDF_Raw/B/B-T-02_2012_Papanikolaou_NotionalNozzle_Underexpanded_HydrogenJets.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,
B003,B-T-03,B,,retained,RESEARCH ARTICLE | JANUARY 08 2013 Large-eddy simulation of highly underexpanded transient gas jets,V. Vuorinen; J. Yu; S. Tirunagari; O. Kaario; M. Larmi; C. Duwig; B. J. Boersma,Vuorinen,2013,,,,,10.1063/1.4772192,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,B-T-03_2013_Vuorinen_LES_HighlyUnderexpanded_TransientGasJets.pdf,02_PDF_Raw/B/B-T-03_2013_Vuorinen_LES_HighlyUnderexpanded_TransientGasJets.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,
B004,B-T-04,B,,retained,Free underexpanded jets in a quiescent medium: A review,"Erwin Franquet a,b,n, Vincent Perrier b,c, Stéphane Gibout a, Pascal Bruel d,b",Franquet,2015,,,,,10.1016/j.paerosci.2015.06.006,verified,,,,,,,,tier1,,keep,,,,,,,downloaded,B-T-04_2015_Franquet_FreeUnderexpanded_Jets_Review.pdf,02_PDF_Raw/B/B-T-04_2015_Franquet_FreeUnderexpanded_Jets_Review.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,Phase 7 Tier 1 full-text processing complete; per-paper candidate evidence only.
B005,B-T-05,B,,retained,Under-Expanded Jets in Advanced Propulsion Systems—A Review of Latest Theoretical and Experimental Research Activities,"Francesco Duronio, Carlo Villante and Angelo De Vita",Duronio,2023,,,,,10.3390/en16186471,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,B-T-05_2023_Duronio_UnderexpandedJets_AdvancedPropulsion_Review.pdf,02_PDF_Raw/B/B-T-05_2023_Duronio_UnderexpandedJets_AdvancedPropulsion_Review.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,
B006,B-H2-01,B,,retained,Transient High-Pressure Hydrogen Jet Measurements,B. R. Petersen; J. B. Ghandhi,Petersen,2006,SAE Technical Paper,,,,10.4271/2006-01-0652,unverified,,,,,,,,tier3,,keep,,,,,,,downloaded,B-H2-01_2006_Petersen_Transient_HighPressure_HydrogenJet.pdf,02_PDF_Raw/B/B-H2-01_2006_Petersen_Transient_HighPressure_HydrogenJet.pdf,matched,processed,complete,complete,partial,unverified,,,,local_pdf_identity_verified,2026-08-30,2026-09-01,User-supplied DOI/title retained as unverified metadata. Phase 9.1 late PDF recovered and identity-verified from the local original PDF.; Phase 9.1 late-PDF tier-conformant processing complete; candidate evidence not globally consolidated.
B007,B-H2-02,B,,retained,Ignitability and mixing of underexpanded hydrogen jets,"A.J. Ruggles* , I.W. Ekoto",Ruggles,2012,,,,,10.1016/j.ijhydene.2012.03.063,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,B-H2-02_2012_Ruggles_Ignitability_Mixing_Underexpanded_HydrogenJets.pdf,02_PDF_Raw/B/B-H2-02_2012_Ruggles_Ignitability_Mixing_Underexpanded_HydrogenJets.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,
B008,B-H2-03,B,,retained,A Numerical Analysis of Hydrogen Underexpanded Jets Under Real Gas Assumption,Francesco Bonelli; Annarita Viggiano; Vinicio Magi,Bonelli,2013,Journal of Fluids Engineering,,,,10.1115/1.4025253,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,B-H2-03_2013_Bonelli_Hydrogen_UnderexpandedJets_RealGas.pdf,02_PDF_Raw/B/B-H2-03_2013_Bonelli_Hydrogen_UnderexpandedJets_RealGas.pdf,matched,processed,complete,complete,partial,unverified,,,,local_pdf_identity_verified,2026-08-30,2026-09-01,User-supplied DOI/title retained as unverified metadata. Phase 9.1 late PDF recovered and identity-verified from the local original PDF.; Phase 9.1 late-PDF tier-conformant processing complete; candidate evidence not globally consolidated.
B009,B-H2-04,B,,retained,Large eddy simulation of highly turbulent under-expanded hydrogen and methane jets for gaseous-fuelled internal combustion engines,A. Hamzehloo,Hamzehloo,2014,International Journal of Hydrogen Energy,,,,10.1016/j.ijhydene.2014.10.016,verified,,,,,,,,tier1,,keep,,,,,,,downloaded,B-H2-04_2014_Hamzehloo_LES_Underexpanded_Hydrogen_MethaneJets.pdf,02_PDF_Raw/B/B-H2-04_2014_Hamzehloo_LES_Underexpanded_Hydrogen_MethaneJets.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,Phase 7 Tier 1 full-text processing complete; per-paper candidate evidence only.
B010,B-H2-05,B,,retained,A comparative study of highly underexpanded nitrogen and hydrogen jets using large eddy simulation,Xiaopeng Li,Li,2016,International Journal of Hydrogen Energy,,,,10.1016/j.ijhydene.2016.01.120,verified,,,,,,,,tier3,,keep,,,,,,,downloaded,B-H2-05_2016_Li_LES_Underexpanded_Nitrogen_HydrogenJets.pdf,02_PDF_Raw/B/B-H2-05_2016_Li_LES_Underexpanded_Nitrogen_HydrogenJets.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
B011,B-H2-06,B,,retained,Gas dynamics and flow characteristics of highly turbulent under-expanded hydrogen and methane jets under various nozzle pressure ratios and ambient pressures,A. Hamzehloo,Hamzehloo,2016,International Journal of Hydrogen Energy,,,,10.1016/j.ijhydene.2016.02.017,verified,,,,,,,,tier1,,keep,,,,,,,downloaded,B-H2-06_2016_Hamzehloo_GasDynamics_Hydrogen_MethaneJets_NPR.pdf,02_PDF_Raw/B/B-H2-06_2016_Hamzehloo_GasDynamics_Hydrogen_MethaneJets_NPR.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
B012,B-H2-07,B,,retained,Numerical modelling of transient under-expanded jets under different ambient thermodynamic conditions with adaptive mesh refinement,A. Hamzehloo,Hamzehloo,2016,International Journal of Heat and Fluid Flow,,,,10.1016/j.ijheatfluidflow.2016.07.015,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,B-H2-07_2016_Hamzehloo_Transient_UnderexpandedJets_AMR.pdf,02_PDF_Raw/B/B-H2-07_2016_Hamzehloo_Transient_UnderexpandedJets_AMR.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-31,
