mechanism_edge_id,source_node,relation_type,target_node,global_claim_id,candidate_claim_id,paper_id,reading_tier,support_type,evidence_grade,condition_domain,source_locator_id,boundary_conditions,status,notes
GME-0011,post_shock_freestream_Mach,other,We_reference_velocity_and_density,GC-0017,PILOT-C014-C02,C014,pilot,direct_observation,strong,post-shock and supersonic-flow droplet loading,LOC-C014-0004,"Incident-shock Mach, post-shock freestream Mach, velocity and density references, and loading histories must remain distinct.",directly_supported,Source mechanism relation MECH-C014-002; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0012,early_wave_dynamics,precedes,airflow_driven_breakup,GC-0016,PILOT-C016-C01,C016,pilot,author_interpretation,supporting,canonical shock-droplet and short-pulse loading,LOC-C016-0005,"Shock-front passage, shocked-state exposure, expansion-wave-limited loading, and total forcing are not equivalent intervals.",indirectly_supported,Source mechanism relation MECH-C016-001; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0013,droplet_size_and_We,correlates_with,RTP_or_SIE_regime,GC-0039,PILOT-C016-C02,C016,pilot,direct_observation,strong,C-library source condition,LOC-C016-0004,Mode boundaries depend on the tested droplet sizes and shock conditions.,directly_supported,Source mechanism relation MECH-C016-002; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0014,evaporative_vapor_layer,suppresses,KH_wave_growth,GC-0025,PILOT-C031-C01,C031,pilot,author_interpretation,supporting,modelled shock/aerodynamic droplet phase change,LOC-C031-0008,"Evidence is model-resolved and phase-change coefficients, thermal states, and liquids vary.",indirectly_supported,Source mechanism relation MECH-C031-001; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0015,incident_shock_Mach,modifies,net_phase_change_direction,GC-0025,PILOT-C031-C02,C031,pilot,direct_observation,supporting,modelled shock/aerodynamic droplet phase change,LOC-C031-0009,"Evidence is model-resolved and phase-change coefficients, thermal states, and liquids vary.",directly_supported,Source mechanism relation MECH-C031-002; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0016,expansion_wave,suppresses,effective_shocked_state_duration,GC-0016,PILOT-D003-C01,D003,pilot,model_based,supporting,canonical shock-droplet and short-pulse loading,LOC-D003-0006,"Shock-front passage, shocked-state exposure, expansion-wave-limited loading, and total forcing are not equivalent intervals.",indirectly_supported,Source mechanism relation MECH-D003-001; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0017,droplet_size_relative_to_forcing,modifies,droplet_response,GC-0016,PILOT-D003-C02,D003,pilot,direct_observation,supporting,canonical shock-droplet and short-pulse loading,LOC-D003-0007,"Shock-front passage, shocked-state exposure, expansion-wave-limited loading, and total forcing are not equivalent intervals.",directly_supported,Source mechanism relation MECH-D003-002; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0018,evaporation_length,other,detonation_characteristic_length_ratio,GC-0032,PILOT-D009-C01,D009,pilot,direct_observation,supporting,liquid-fuel rotating-detonation simulations and experiments,LOC-D009-0008,"Fuel, chemistry, geometry, pre-vaporized fraction, scale definitions, and wave number vary; this is not direct HPDI-engine evidence.",directly_supported,Source mechanism relation MECH-D009-001; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0019,increasing_scale_ratio,correlates_with,shock_flame_decoupling,GC-0032,PILOT-D009-C02,D009,pilot,direct_observation,supporting,liquid-fuel rotating-detonation simulations and experiments,LOC-D009-0009,"Fuel, chemistry, geometry, pre-vaporized fraction, scale definitions, and wave number vary; this is not direct HPDI-engine evidence.",directly_supported,Source mechanism relation MECH-D009-002; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0020,breakup,couples_with,evaporation,GC-0024,PILOT-D017-C01,D017,pilot,model_based,supporting,small-droplet shock and detonation loading,LOC-D017-0007,"Droplet size, liquid, optical detection threshold, and assumed post-wave gas history differ.",indirectly_supported,Source mechanism relation MECH-D017-001; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0021,variable_acceleration,modifies,canonical_breakup_model_transferability,GC-0034,PILOT-D017-C02,D017,pilot,author_interpretation,supporting,water and hydrocarbon droplets under detonation waves,LOC-D017-0008,Detonation and inert-shock post-wave histories differ; correlations remain liquid- and facility-specific.,indirectly_supported,Source mechanism relation MECH-D017-002; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0022,pressure_ratio,correlates_with,Mach_disk_position,GC-0015,T1-B004-C01,B004,tier1,author_interpretation,contextual,reviewed underexpanded-jet literature,LOC-B004-0004,Secondary synthesis across heterogeneous definitions; C004 is unrelated and does not affect this jet-specific limitation.,indirectly_supported,Source mechanism relation MECH-B004-001; Review-secondary synthesis.
GME-0023,near_field_shock_pattern,precedes,far_field_self_similarity,GC-0012,T1-B004-C02,B004,tier1,author_interpretation,contextual,free and high-pressure underexpanded jets,LOC-B004-0008,"Universal decay constants and notional-nozzle choices remain unresolved, especially for supersonic exits.",indirectly_supported,Source mechanism relation MECH-B004-002; Conceptual zone framework.
GME-0024,NPR,correlates_with,Mach_disk_dimensions,GC-0006,T1-B009-C01,B009,tier1,simulation_resolved,moderate,nonreacting underexpanded gas jets,LOC-B009-0007,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.",directly_supported,Source mechanism relation MECH-B009-001; Case-specific sweep.
GME-0025,Gortler_vortices,author_attributes_to,pre_disk_mixing,GC-0008,T1-B009-C02,B009,tier1,author_interpretation,supporting,"underexpanded hydrogen, methane, and nitrogen jets",LOC-B009-0007,"Species effects remain coupled to nozzle-exit turbulence, density, thermodynamics, and numerical treatment.",indirectly_supported,"Source mechanism relation MECH-B009-002; Author attribution, not promoted to direct causality."
GME-0026,NPR,correlates_with,non_monotonic_penetration,GC-0009,T1-B009-C03,B009,tier1,simulation_resolved,moderate,transient and quasi-steady underexpanded gas jets,LOC-B009-0007,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",directly_supported,Source mechanism relation MECH-B009-003; Geometry-specific.
GME-0027,NPR,promotes,shock_strength_and_entrainment,GC-0009,T1-B028-C01,B028,tier1,simulation_resolved,moderate,transient and quasi-steady underexpanded gas jets,LOC-B028-0009,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",directly_supported,Source mechanism relation MECH-B028-001; Primary factor ranking.
GME-0028,nozzle_hole_diameter,promotes,shear_layer_growth,GC-0011,T1-B028-C02,B028,tier1,experimental_correlation,moderate,single- and multi-jet underexpanded gas injection,LOC-B028-0009,"Diameter, shape, spacing, and pressure ratio were not varied in a common factorial design.",directly_supported,Source mechanism relation MECH-B028-002; Nonlinear saturation noted.
GME-0029,ambient_temperature,promotes,lateral_expansion,GC-0010,T1-B028-C03,B028,tier1,experimental_correlation,moderate,underexpanded hydrogen and methane jets,LOC-B028-0009,Fixed-NPR and fixed-injection-pressure comparisons are not interchangeable; gas species and chamber states vary.,directly_supported,Source mechanism relation MECH-B028-003; Secondary effect.
GME-0030,forcing_scale_compatibility,modifies,droplet_response,GC-0016,T1-C007-C01,C007,tier1,author_interpretation,contextual,canonical shock-droplet and short-pulse loading,LOC-C007-0006,"Shock-front passage, shocked-state exposure, expansion-wave-limited loading, and total forcing are not equivalent intervals.",indirectly_supported,Source mechanism relation MECH-C007-001; Review synthesis.
GME-0031,supersonic_compressibility,suppresses,breakup_intensity,GC-0018,T1-C007-C02,C007,tier1,author_interpretation,contextual,supersonic/post-shock droplet loading,LOC-C007-0005,"The sources address different physical stages, geometries, Weber ranges, and response metrics.",indirectly_supported,Source mechanism relation MECH-C007-002; Secondary evidence.
GME-0032,wave_cascade,precedes,ligament_fragmentation,GC-0019,T1-C007-C03,C007,tier1,author_interpretation,contextual,high-Weber-number aerobreakup,LOC-C007-0006,First and later shedding events can have different Weber sensitivity; broad taxonomy is limited by missing Tier 1 source C004.,indirectly_supported,Source mechanism relation MECH-C007-003; Review mechanism.
GME-0033,reflected_expansion_focus,correlates_with,NPP_location_at_low_n,GC-0020,T1-C018-C01,C018,tier1,simulation_resolved,moderate,shock-droplet interaction including supercritical states,LOC-C018-0006,"Two-dimensional models, omitted cavitation or phase transition, and different wave-speed ratios limit direct transfer.",directly_supported,Source mechanism relation MECH-C018-001; Correlation is not universal at high n.
GME-0034,Mach_stem_motion,modifies,internal_wave_focus,GC-0020,T1-C018-C02,C018,tier1,model_based,supporting,shock-droplet interaction including supercritical states,LOC-C018-0007,"Two-dimensional models, omitted cavitation or phase transition, and different wave-speed ratios limit direct transfer.",indirectly_supported,Source mechanism relation MECH-C018-002; Improved model relation.
GME-0035,four_pressure_effects,couples_with,negative_peak_pressure,GC-0020,T1-C018-C03,C018,tier1,simulation_resolved,moderate,shock-droplet interaction including supercritical states,LOC-C018-0008,"Two-dimensional models, omitted cavitation or phase transition, and different wave-speed ratios limit direct transfer.",directly_supported,Source mechanism relation MECH-C018-003; No single-factor causality claim.
GME-0036,shock_curvature,modifies,droplet_surface_loading_and_ligament_deformation,GC-0042,T1-C019-C01,C019,tier1,simulation_resolved,moderate,C-library source condition,LOC-C019-0008,"Two-dimensional cylindrical droplet; viscosity, capillarity and phase transition omitted.",directly_supported,Source mechanism relation MECH-C019-001; Primary numerical evidence.
GME-0037,external_internal_wave_impingement,promotes,fixed_point_and_KH_inception,GC-0021,T1-C019-C02,C019,tier1,model_based,supporting,shock-driven and continuous-flow aerobreakup,LOC-C019-0007,"Instability labels, forcing histories, geometry, and terminal-regime definitions vary; C004 is missing.",indirectly_supported,Source mechanism relation MECH-C019-002; Author theoretical interpretation.
GME-0038,parent_droplet_size,correlates_with,cloud_survival_time,GC-0024,T1-C024-C01,C024,tier1,direct_observation,strong,small-droplet shock and detonation loading,LOC-C024-0005,"Droplet size, liquid, optical detection threshold, and assumed post-wave gas history differ.",directly_supported,Source mechanism relation MECH-C024-001; Primary experiment.
GME-0039,rapid_acceleration,promotes,RT_growth_and_breakup,GC-0029,T1-C024-C02,C024,tier1,model_based,supporting,shock-driven droplet modelling,LOC-C024-0007,Model comparisons use different validation observables and condition ranges; C004 is missing.,indirectly_supported,Source mechanism relation MECH-C024-002; Author model interpretation.
GME-0040,windward_piercing,promotes,secondary_atomization_mass_transfer,GC-0017,T1-C025-C01,C025,tier1,simulation_resolved,moderate,post-shock and supersonic-flow droplet loading,LOC-C025-0005,"Incident-shock Mach, post-shock freestream Mach, velocity and density references, and loading histories must remain distinct.",directly_supported,Source mechanism relation MECH-C025-001; Primary numerical evidence.
GME-0041,secondary_breakup_cascade,promotes,bimodal_size_distribution,GC-0023,T1-C025-C02,C025,tier1,author_interpretation,moderate,shock-driven secondary breakup,LOC-C025-0004,"Diagnostics, sampling time, and fragment definitions differ and are sparse.",indirectly_supported,Source mechanism relation MECH-C025-002; Distribution interpretation.
GME-0042,lead_droplet_wake_shielding,suppresses,trailing_droplet_breakup_intensity,GC-0022,T1-C035-C01,C035,tier1,direct_observation,strong,ordered multi-droplet shock interaction,LOC-C035-0006,Tandem and parallel configurations produce different mechanisms and cannot share a single critical spacing.,directly_supported,Source mechanism relation MECH-C035-001; Primary experiment.
GME-0043,Weber_number,correlates_with,critical_tandem_spacing,GC-0022,T1-C035-C02,C035,tier1,experimental_correlation,moderate,ordered multi-droplet shock interaction,LOC-C035-0004,Tandem and parallel configurations produce different mechanisms and cannot share a single critical spacing.,directly_supported,Source mechanism relation MECH-C035-002; Endpoint values preserved.
GME-0044,KHI_mass_stripping,precedes,KHI_RTI_piercing_catastrophic_breakup,GC-0034,T1-D018-C01,D018,tier1,direct_observation,strong,water and hydrocarbon droplets under detonation waves,LOC-D018-0005,Detonation and inert-shock post-wave histories differ; correlations remain liquid- and facility-specific.,directly_supported,Source mechanism relation MECH-D018-001; Primary experiment.
GME-0045,adverse_post_detonation_pressure_gradient,suppresses,droplet_acceleration_and_cross_stream_growth,GC-0035,T1-D018-C02,D018,tier1,author_interpretation,supporting,matched-leading-Mach detonation and inert-shock comparisons,LOC-D018-0006,Post-wave thermochemistry and adverse pressure gradients prevent direct transfer of shock-derived correlations.,indirectly_supported,Source mechanism relation MECH-D018-002; Author interpretation informed by ZND calculation.
GME-0046,surface_tension,modifies,nondimensional_breakup_time,GC-0034,T1-D018-C03,D018,tier1,experimental_correlation,moderate,water and hydrocarbon droplets under detonation waves,LOC-D018-0008,Detonation and inert-shock post-wave histories differ; correlations remain liquid- and facility-specific.,directly_supported,Source mechanism relation MECH-D018-003; Water/RP-3 comparison.
GME-0047,diesel_pilot_energy,promotes,initial_H2_reaction_intensity,GC-0040,T1-A026-C01,A026,tier1,direct_observation,strong,A-library source condition,LOC-A026-0004,Natural-luminosity thresholds and two imaging arrangements limit quantitative cross-sweep intensity comparison.,directly_supported,Source mechanism relation MECH-A026-001; Primary optical-engine evidence.
GME-0048,advanced_H2_SOI,promotes,premixed_H2_fraction,GC-0041,T1-A026-C02,A026,tier1,experimental_correlation,moderate,A-library source condition,LOC-A026-0005,Fuel distributions before ignition were not directly visualized; dilution is author interpretation.,directly_supported,Source mechanism relation MECH-A026-002; Timing sweep.
GME-0049,H2_pilot_preignition_overlap,author_attributes_to,longer_diesel_ignition_delay,GC-0041,T1-A026-C02,A026,tier1,author_interpretation,moderate,A-library source condition,LOC-A026-0005,Fuel distributions before ignition were not directly visualized; dilution is author interpretation.,indirectly_supported,Source mechanism relation MECH-A026-003; Dilution mechanism remains qualified.
GME-0050,nozzle_geometry_and_pressure_definition,modifies,Mach_disk_model_validity,GC-0013,T1-A028-C01,A028,tier1,author_interpretation,contextual,high-pressure gas-jet simulation,LOC-A028-0004,"Model sensitivity is not a universal ranking of RANS, LES, DNS, or equations of state.",indirectly_supported,Source mechanism relation MECH-A028-001; Review-secondary.
GME-0051,numerical_fidelity,correlates_with,computational_cost,GC-0013,T1-A028-C02,A028,tier1,author_interpretation,contextual,high-pressure gas-jet simulation,LOC-A028-0003,"Model sensitivity is not a universal ranking of RANS, LES, DNS, or equations of state.",indirectly_supported,Source mechanism relation MECH-A028-002; Review-secondary.
GME-0052,two_fuel_injection_control,modifies,mixture_reactivity_stratification,GC-0005,T1-A029-C01,A029,tier1,author_interpretation,contextual,cross-fuel dual-fuel direct injection literature,LOC-A029-0003,This claim is review-secondary and does not substitute for primary confirmation under a single standardized condition set.,indirectly_supported,Source mechanism relation MECH-A029-001; Review-secondary.
GME-0053,oxygen_and_injection_sequence,modifies,pilot_H2_ignition_interaction,GC-0005,T1-A029-C02,A029,tier1,author_interpretation,contextual,cross-fuel dual-fuel direct injection literature,LOC-A029-0002,This claim is review-secondary and does not substitute for primary confirmation under a single standardized condition set.,indirectly_supported,Source mechanism relation MECH-A029-002; Review-secondary.
GME-0054,relative_injection_duration,modifies,pilot_product_entrainment_and_flame_stabilization,GC-0004,T1-A030-C02,A030,tier1,author_interpretation,contextual,pilot-ignited gaseous direct injection,LOC-A030-0002,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,indirectly_supported,Source mechanism relation MECH-A030-001; Review-secondary.
GME-0055,jet_convergence,correlates_with,ignition_delay_and_reaction_front_transfer,GC-0004,T1-A030-C02,A030,tier1,author_interpretation,contextual,pilot-ignited gaseous direct injection,LOC-A030-0005,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,indirectly_supported,Source mechanism relation MECH-A030-002; Review-secondary; not universal causality.
GME-0056,ambient_temperature_and_oxygen,modifies,ignition_and_flame_stabilization,GC-0001,T1-A030-C01,A030,tier1,author_interpretation,contextual,"HPDI/H2DDI engine, vessel, and validated-model conditions",LOC-A030-0005,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",indirectly_supported,Source mechanism relation MECH-A030-003; Review-secondary.
GME-0057,jet_overlap,suppresses,pilot_ignition,GC-0002,T1-A007-C01,A007,tier1,direct_observation,moderate,pilot-ignited gaseous direct injection,LOC-A007-0005,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",directly_supported,Source mechanism relation MECH-A007-001; Observed operability/ignition-delay relation.
GME-0058,pilot_gas_overlap,promotes,gas_ignition,GC-0002,T1-A007-C01,A007,tier1,experimental_correlation,moderate,pilot-ignited gaseous direct injection,LOC-A007-0005,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",directly_supported,Source mechanism relation MECH-A007-002; Opposing pilot/gas response.
GME-0059,gas_ignition_timing,correlates_with,heat_release_shape,GC-0001,T1-A007-C02,A007,tier1,experimental_correlation,moderate,"HPDI/H2DDI engine, vessel, and validated-model conditions",LOC-A007-0006,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",directly_supported,Source mechanism relation MECH-A007-003; Premixing descriptor.
GME-0060,contextual_NPR,correlates_with,Mach_disk_size_and_position,GC-0006,T1-B021-C01,B021,tier1,simulation_resolved,moderate,nonreacting underexpanded gas jets,LOC-B021-0004,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.",directly_supported,Source mechanism relation MECH-B021-001; Nozzle/configuration specific.
GME-0061,ambient_temperature,promotes,hydrogen_diffusion,GC-0010,T1-B021-C03,B021,tier1,simulation_resolved,moderate,underexpanded hydrogen and methane jets,LOC-B021-0007,Fixed-NPR and fixed-injection-pressure comparisons are not interchangeable; gas species and chamber states vary.,directly_supported,Source mechanism relation MECH-B021-002; Soret-enabled transport model.
GME-0062,interjet_expansion_waves,author_attributes_to,jet_coalescence_tendency,GC-0010,T1-B021-C03,B021,tier1,author_interpretation,moderate,underexpanded hydrogen and methane jets,LOC-B021-0008,Fixed-NPR and fixed-injection-pressure comparisons are not interchangeable; gas species and chamber states vary.,indirectly_supported,Source mechanism relation MECH-B021-003; Preliminary mechanism.
GME-0063,transcritical_thermodynamic_state,modifies,refracted_shock_topology,GC-0020,T1-C029-C01,C029,tier1,simulation_resolved,moderate,shock-droplet interaction including supercritical states,LOC-C029-0006,"Two-dimensional models, omitted cavitation or phase transition, and different wave-speed ratios limit direct transfer.",directly_supported,Source mechanism relation MECH-C029-001; Mediated by speed-of-sound ratio.
GME-0064,shock_convergence,promotes,focal_pressure_and_axial_jet,GC-0020,T1-C029-C02,C029,tier1,simulation_resolved,moderate,shock-droplet interaction including supercritical states,LOC-C029-0008,"Two-dimensional models, omitted cavitation or phase transition, and different wave-speed ratios limit direct transfer.",directly_supported,Source mechanism relation MECH-C029-002; Strong convergence.
GME-0065,shock_strength,modifies,circulation_and_deformation,GC-0020,T1-C029-C03,C029,tier1,simulation_resolved,moderate,shock-droplet interaction including supercritical states,LOC-C029-0009,"Two-dimensional models, omitted cavitation or phase transition, and different wave-speed ratios limit direct transfer.",directly_supported,Source mechanism relation MECH-C029-003; Fixed n=1.8.
GME-0066,reaction_heat_release,promotes,reflected_shock_speed,GC-0035,T1-D019-C01,D019,tier1,model_based,supporting,matched-leading-Mach detonation and inert-shock comparisons,LOC-D019-0006,Post-wave thermochemistry and adverse pressure gradients prevent direct transfer of shock-derived correlations.,indirectly_supported,Source mechanism relation MECH-D019-001; Postwave state mediation.
GME-0067,shorter_low_pressure_persistence,promotes,earlier_cavitation_collapse,GC-0035,T1-D019-C02,D019,tier1,simulation_resolved,moderate,matched-leading-Mach detonation and inert-shock comparisons,LOC-D019-0007,Post-wave thermochemistry and adverse pressure gradients prevent direct transfer of shock-derived correlations.,directly_supported,Source mechanism relation MECH-D019-002; Detonation vs inert shock.
GME-0068,postwave_velocity,modifies,breakup_morphology,GC-0035,T1-D019-C03,D019,tier1,simulation_resolved,moderate,matched-leading-Mach detonation and inert-shock comparisons,LOC-D019-0008,Post-wave thermochemistry and adverse pressure gradients prevent direct transfer of shock-derived correlations.,directly_supported,Source mechanism relation MECH-D019-003; Project transfer inference remains separate.
GME-0069,injection_timing_or_sequence,correlates_with,mixing_and_ignition,GC-0044,T2-A013-C01,A013,tier2,author_interpretation,supporting,A-library source condition,LOC-A013-0002,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,indirectly_supported,Source mechanism relation MECH-A013-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0070,injection_timing_or_sequence,correlates_with,mixing_and_ignition,GC-0045,T2-A014-C01,A014,tier2,author_interpretation,supporting,A-library source condition,LOC-A014-0002,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,indirectly_supported,Source mechanism relation MECH-A014-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0071,injection_timing_or_sequence,correlates_with,mixing_and_ignition,GC-0002,T2-A014-C02,A014,tier2,author_interpretation,supporting,pilot-ignited gaseous direct injection,LOC-A014-0002,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",indirectly_supported,Source mechanism relation MECH-A014-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0072,injection_timing_or_sequence,correlates_with,mixing_and_ignition,GC-0002,T2-A014-C03,A014,tier2,author_interpretation,supporting,pilot-ignited gaseous direct injection,LOC-A014-0002,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",indirectly_supported,Source mechanism relation MECH-A014-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0073,injection_timing_or_sequence,correlates_with,mixing_and_ignition,GC-0046,T2-A018-C01,A018,tier2,author_interpretation,supporting,A-library source condition,LOC-A018-0002,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,indirectly_supported,Source mechanism relation MECH-A018-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0074,injection_timing_or_sequence,correlates_with,mixing_and_ignition,GC-0001,T2-A018-C02,A018,tier2,direct_observation,strong,"HPDI/H2DDI engine, vessel, and validated-model conditions",LOC-A018-0002,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",directly_supported,Source mechanism relation MECH-A018-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0075,injection_timing_or_sequence,correlates_with,mixing_and_ignition,GC-0001,T2-A018-C03,A018,tier2,author_interpretation,supporting,"HPDI/H2DDI engine, vessel, and validated-model conditions",LOC-A018-0002,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",indirectly_supported,Source mechanism relation MECH-A018-003; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0076,injection_timing_or_sequence,correlates_with,mixing_and_ignition,GC-0047,T2-A021-C01,A021,tier2,author_interpretation,supporting,A-library source condition,LOC-A021-0002,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,indirectly_supported,Source mechanism relation MECH-A021-001; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0077,injection_timing_or_sequence,correlates_with,mixing_and_ignition,GC-0048,T2-A021-C02,A021,tier2,author_interpretation,supporting,A-library source condition,LOC-A021-0002,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,indirectly_supported,Source mechanism relation MECH-A021-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
GME-0078,injection_timing_or_sequence,correlates_with,mixing_and_ignition,GC-0049,T2-A024-C02,A024,tier2,model_based,supporting,A-library source condition,LOC-A024-0002,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,indirectly_supported,Source mechanism relation MECH-A024-002; Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
