global_claim_id,normalized_claim,claim_scope,review_mainline_role,physical_subject,relation_or_direction,response,condition_domain,boundary_conditions,claim_status,normalization_confidence,normalization_status,evidence_strength,primary_evidence_count,secondary_evidence_count,supporting_paper_count,contradiction_status,coverage_limitation,notes
GC-0021,"Breakup morphology emerges from condition-dependent competition among Rayleigh-Taylor growth, Kelvin-Helmholtz or shear stripping, capillary retraction, sheet rupture, and wake dynamics rather than from Weber number alone.",cross-paper mechanism claim,M04;M05,interfacial instability competition,organizes,breakup regime and morphology,shock-driven and continuous-flow aerobreakup,"Instability labels, forcing histories, geometry, and terminal-regime definitions vary; C004 is missing.",active,high,normalized,moderate,9,0,6,none_identified,missing Tier 1 source C004,High-confidence conservative merge of compatible candidate claims.
GC-0022,"Neighboring droplets alter shock-driven breakup through wake shielding, squeeze flow, and channel closure; spacing effects depend on tandem versus parallel geometry and Weber number.",cross-paper qualified mechanism claim,M03;M04;M05;M06,multi-droplet spacing and arrangement,modifies,"loading, deformation, and breakup topology",ordered multi-droplet shock interaction,Tandem and parallel configurations produce different mechanisms and cannot share a single critical spacing.,active,high,normalized,strong,6,0,3,apparent_differences_adjudicated,,High-confidence conservative merge of compatible candidate claims.
GC-0023,"After shock-driven breakup, fragment-size distributions and inter-fragment spacing evolve with breakup stage and acceleration, linking parent deformation to downstream cloud transport.",cross-paper transport claim,M05;M06,secondary fragments,evolve with,"size distribution, spacing, and cloud transport",shock-driven secondary breakup,"Diagnostics, sampling time, and fragment definitions differ and are sparse.",active,medium,normalized,moderate,2,0,2,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0024,"For sufficiently small droplets or strong-wave conditions, breakup, cloud growth, and evaporation can occur on overlapping time scales, so evaporation-only models may not reproduce observed droplet survival.",cross-paper coupled-process claim,M05;M07;M10,breakup and evaporation time scales,overlap and jointly control,droplet survival and cloud evolution,small-droplet shock and detonation loading,"Droplet size, liquid, optical detection threshold, and assumed post-wave gas history differ.",active,high,normalized,strong,2,0,2,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0025,"Under selected phase-change conditions, vaporization or a vapor layer can reduce interfacial shear and oppose deformation or bag development, but the direction depends on Stefan number, density ratio, volatility, and model coefficients.",cross-paper qualified mechanism claim,M04;M05;M07,vaporization and Stefan flow,can suppress,"interfacial wave growth, deformation, and bag breakup",modelled shock/aerodynamic droplet phase change,"Evidence is model-resolved and phase-change coefficients, thermal states, and liquids vary.",active,high,normalized,limited,4,0,2,apparent_differences_adjudicated,,High-confidence conservative merge of compatible candidate claims.
GC-0026,"In the modelled non-isothermal hydrocarbon cases, heating-induced surface-tension reduction promoted breakup, especially at lower Weber number and higher gas temperature.",condition-specific claim,M04;M05;M07,droplet heating and surface tension,promotes,breakup susceptibility,modelled n-decane/n-heptane droplets at We 15-90 and 600-1000 K,Single numerical framework and fuel-property comparison; not directly equivalent to Stefan-flow suppression cases.,active,high,normalized,limited,1,0,1,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0027,"For the tested droplets larger than 100 micrometres, evaporation had negligible influence on the measured deformation process over the observation interval.",condition-specific claim,M04;M07,evaporation of larger droplets,had negligible effect on,early deformation,experimental high-Weber-number droplets above 100 micrometres,"The statement is limited to deformation and the reported observation interval, not later breakup or smaller droplets.",active,high,normalized,strong,1,0,1,apparent_differences_adjudicated,,High-confidence conservative merge of compatible candidate claims.
GC-0028,"Shock propagation through a dilute droplet cloud is attenuated by exchange area, volume fraction, droplet size, shock strength, and breakup; neglecting fragmentation can overpredict transmitted pressure.",cross-paper mechanism claim,M03;M05;M06,shock propagation through droplet clouds,is attenuated by,transmitted overpressure and impulse,planar shock interaction with dilute droplet clouds,"Cloud statistics, breakup closure, and transmitted-pressure definitions must be aligned.",active,high,normalized,strong,5,0,2,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0029,"No single reduced breakup model is yet demonstrated to predict deformation history, morphology, fragment sizes, cloud length, evaporation time, and phase-change coupling across the full shock-droplet condition space.",cross-paper methodological limitation,M04;M05;M06;M07,droplet-breakup modelling,has incomplete predictive coverage for,multistage breakup and phase-change observables,shock-driven droplet modelling,Model comparisons use different validation observables and condition ranges; C004 is missing.,active,high,normalized,moderate,5,0,3,none_identified,missing Tier 1 source C004,High-confidence conservative merge of compatible candidate claims.
GC-0030,"Aerobreakup regimes organize morphology and downstream cloud properties, but critical Weber boundaries are meaningful only with explicit velocity, density, length, surface-tension, Mach, and forcing definitions.",cross-paper definition and regime claim,M04;M05;M06,aerobreakup regime classification,depends on explicitly defined,critical Weber boundaries and cloud properties,secondary atomization literature,Review-secondary and paper-specific definitions; broad coverage is limited by missing Tier 1 source C004.,active,high,normalized,limited,4,1,3,none_identified,missing Tier 1 source C004,High-confidence conservative merge of compatible candidate claims.
GC-0031,"Locally supersonic droplet vaporization is bounded by relative Mach number, bow-shock pressure rise, and liquid vapor pressure; weaker shock pressure rise and higher volatility favor superheating effects.",condition-specific mechanism claim,M03;M07,bow-shock-bounded vaporization,is bounded by,superheating and vaporization behavior,locally supersonic droplet experiments,Test liquids and shock pressure rises differ from higher-pressure and engine conditions.,active,high,normalized,limited,1,0,1,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0032,"In two-phase rotating-detonation studies, droplet size and evaporation scale relative to refill, reaction, or wave scales govern vaporization completeness, unburned pockets, wave structure, multiplicity, speed deficit, and extinction or stabilization.",cross-paper strong-wave application claim,M07;M10,droplet and evaporation characteristic scales,control,RDE wave propagation and stability,liquid-fuel rotating-detonation simulations and experiments,"Fuel, chemistry, geometry, pre-vaporized fraction, scale definitions, and wave number vary; this is not direct HPDI-engine evidence.",active,high,normalized,limited,13,0,9,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0033,"Droplet proximity and longitudinal position relative to a detonation wave set the temperature impulse, kinematics, and evaporation rate, while some downstream droplets are weakly affected by the wave.",condition-specific mechanism claim,M07;M10,droplet position relative to detonation wave,controls,"heating, kinematics, and evaporation",modelled two-phase detonation flow,Single modelling framework and wave-relative coordinate system.,active,high,normalized,limited,3,0,1,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0034,"Under detonation-wave loading, smaller droplets and stronger waves accelerate instability and breakup, while liquid properties and the transition from stripping to coupled KHI-RTI piercing alter the collapsed breakup time.",cross-paper strong-wave breakup claim,M04;M05;M10,detonation-driven droplet breakup,accelerates and changes,"instability development, breakup mode, and breakup time",water and hydrocarbon droplets under detonation waves,Detonation and inert-shock post-wave histories differ; correlations remain liquid- and facility-specific.,active,high,normalized,strong,4,0,3,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0035,"At equal leading-shock Mach, detonation and inert-shock cases can share early wave topology yet diverge in later cavitation, deformation, drag, and breakup because heat release changes post-wave velocity, sound speed, pressure gradients, and loading duration.",cross-paper scale-and-stage qualification,M03;M04;M05;M10,detonation versus inert-shock loading,produces similar early but different later,droplet wave and aerodynamic response,matched-leading-Mach detonation and inert-shock comparisons,Post-wave thermochemistry and adverse pressure gradients prevent direct transfer of shock-derived correlations.,active,high,normalized,moderate,4,0,2,apparent_differences_adjudicated,,High-confidence conservative merge of compatible candidate claims.
GC-0036,"Spray-generated shocks depend on nozzle-exit velocity, injection-rate ramp, ambient sound speed and density, and injection timing; when present they can change spray penetration and angle, but typical hot dense engine conditions may suppress their formation.",cross-paper qualified application claim,M01;M02;M03;M06,injector-generated spray shocks,form conditionally and modify,spray penetration and angle,high-pressure diesel spray and vessel/engine-relevant conditions,Nozzle-exit velocity is not spray-tip velocity; injector and ambient conditions are highly facility-specific.,active,high,normalized,strong,6,0,3,apparent_differences_adjudicated,,High-confidence conservative merge of compatible candidate claims.
GC-0037,"In the tested schlieren experiments, reflected shocks suppressed radial spray growth, cone angle, volume, and entrainment while leaving spray-tip penetration comparatively unchanged.",condition-specific application claim,M03;M06,reflected-shock interaction with spray,suppresses,radial spray growth and entrainment,reflected-shock diesel-spray experiments,Wave origin and interaction stage differ from injector-generated shock cases.,active,high,normalized,strong,1,0,1,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0038,Ignition after H2 end of injection produces slower propagation and persistent lean unburned zones.,paper-conditioned claim,M08;M09,pilot-ignited dual-fuel injection,reports a condition-dependent relationship with,"mixing, ignition, or combustion response",A-library source condition,Depends on the tested injection duration and ambient state.,active,high,normalized,strong,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0039,"RTP can persist to We near 800 for small droplets, while SIE can occur near We 200 for larger droplets.",paper-conditioned claim,M04;M05,shock-loaded droplet or droplet cloud,reports a condition-dependent relationship with,"deformation, breakup, transport, or phase change",C-library source condition,Mode boundaries depend on the tested droplet sizes and shock conditions.,active,high,normalized,strong,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0040,"Increasing diesel energy share strengthens and spreads the pilot flame, accelerating the initial H2 reaction, while the late mixing-controlled phase remains similar across energy shares.",paper-conditioned claim,M08;M09,pilot-ignited dual-fuel injection,reports a condition-dependent relationship with,"mixing, ignition, or combustion response",A-library source condition,Natural-luminosity thresholds and two imaging arrangements limit quantitative cross-sweep intensity comparison.,active,high,normalized,strong,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0041,"Advancing H2 injection changes the premixed/mixing-controlled balance and the 30 CA bTDC case significantly delays diesel pilot ignition, attributed to preignition dilution.",paper-conditioned claim,M08;M09,pilot-ignited dual-fuel injection,reports a condition-dependent relationship with,"mixing, ignition, or combustion response",A-library source condition,Fuel distributions before ignition were not directly visualized; dilution is author interpretation.,active,high,normalized,moderate,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0042,"For the modeled divergent shock, curvature shifts ligament formation upstream and sustains greater spanwise extension relative to the planar comparison.",paper-conditioned claim,M04;M05,shock-loaded droplet or droplet cloud,reports a condition-dependent relationship with,"deformation, breakup, transport, or phase change",C-library source condition,"Two-dimensional cylindrical droplet; viscosity, capillarity and phase transition omitted.",active,high,normalized,moderate,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0043,"In the homogeneous-reactor analysis, temperature dominated methane ignition above about 1100 K, while realistic H/OH radicals shortened ignition delay mainly in the 950–1100 K interval.",paper-conditioned claim,M08;M09,pilot-ignited dual-fuel injection,reports a condition-dependent relationship with,"mixing, ignition, or combustion response",A-library source condition,Zero-dimensional chemistry isolates kinetics and omits turbulent transport.,active,medium,normalized,limited,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0044,"Regimes of PIDING combustion were identified as domains of RIT (representing NG stratification) where pilot and NG combustion AHRR, and emissions behaved consistently with respect to variation of f g, Pinj, and RIT.",paper-conditioned claim,M08;M09,pilot-ignited dual-fuel injection,reports a condition-dependent relationship with,"mixing, ignition, or combustion response",A-library source condition,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,active,medium,normalized,limited,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0045,"NG mixture evolution: Regardless of the operating condition or RIT, NG premixing takes place near the piston bowl wall prior to ignition, including operation where the gaseous fuel is injected after the pilot combustion.",paper-conditioned claim,M08;M09,pilot-ignited dual-fuel injection,reports a condition-dependent relationship with,"mixing, ignition, or combustion response",A-library source condition,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,active,medium,normalized,limited,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0046,H2DDI combustion at controlled CA50 and up to 50% hydrogen energy fraction is feasible at all injection timings of hydrogen without pre-ignition or knocking.,paper-conditioned claim,M08;M09,pilot-ignited dual-fuel injection,reports a condition-dependent relationship with,"mixing, ignition, or combustion response",A-library source condition,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,active,medium,normalized,limited,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0047,"When the injection and combustion periods of H 2 are longer than that of the diesel surrogate, peak AHRR occurs immediately after H 2 jet ignition, followed by a steady AHRR period until end of H 2 injection, unless the diesel surrogate injection and combustion duration surpasses premixed combustion, at which the AHRR profile becomes transient.",paper-conditioned claim,M08;M09,pilot-ignited dual-fuel injection,reports a condition-dependent relationship with,"mixing, ignition, or combustion response",A-library source condition,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,active,medium,normalized,limited,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0048,The apparent heat release-rate (AHRR) in the dual-fuel case is mainly influenced by H 2 combustion.,paper-conditioned claim,M08;M09,pilot-ignited dual-fuel injection,reports a condition-dependent relationship with,"mixing, ignition, or combustion response",A-library source condition,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,active,medium,normalized,limited,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0049,"For the most part hydrogen stays at a higher HRR than methane due to a smaller quenching distance, greater jet momentum and higher rich flammability limit. The late combustion phase begins after the injection event has ended and HRR begins to fall off rapidly.",paper-conditioned claim,M08;M09,pilot-ignited dual-fuel injection,reports a condition-dependent relationship with,"mixing, ignition, or combustion response",A-library source condition,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,active,medium,normalized,limited,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0050,"For releases where the storage pressure is above the critical ratio (w1.9 for hydrogen), however, the exit flow chokes and an underexpanded jet forms that is characterized by a complex shock structure and a non-uniform velocity distribution.",paper-conditioned claim,M01;M02,underexpanded gas jet,reports a condition-dependent relationship with,"jet, shock, penetration, or mixing response",B-library source condition,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,active,medium,normalized,limited,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0051,"This deformation has been successfully predicted using the Taylor Analogy Breakup (TAB) model (O’Rourke and Amsden, 1986), which treats the droplet as a spring, mass, and damper system.",paper-conditioned claim,M04;M05,shock-loaded droplet or droplet cloud,reports a condition-dependent relationship with,"deformation, breakup, transport, or phase change",C-library source condition,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,active,medium,normalized,limited,1,0,1,none_identified,,Conservatively retained as a separate paper-conditioned Global Claim.
GC-0052,"The corpus independently supports NPR-to-shock-structure and loading-to-droplet-response relations, but it does not directly establish the full underexpanded-jet shock-structure to actual HPDI pilot-spray local-loading link.",cross-scale evidence-boundary claim,M03;M11,underexpanded-jet shock to HPDI pilot-spray transfer,is supported only through component relations for,local pilot-droplet aerodynamic loading,cross-library B-to-C-to-HPDI transfer,No direct spatially and temporally resolved HPDI measurement links the gas-jet shock field to pilot-droplet forcing in the current corpus.,active,high,normalized,limited,3,1,4,none_identified,,Agent synthesis of evidence connectivity; component evidence is source-linked and direct transfer is not asserted.
GC-0053,"The corpus supports breakup/phase-change coupling and mixture-controlled ignition as separate relations, but direct evidence for a continuous shock-induced breakup to evaporation to HPDI ignition chain is insufficient.",cross-scale evidence-boundary claim,M07;M08;M09;M11,shock-breakup to HPDI ignition transfer,is supported only through separate-domain evidence for,"evaporation, mixture preparation, and ignition",cross-library C-to-A transfer,"Canonical droplets, spray clouds, vessel studies, engines, and RDEs use incompatible scales and loading histories.",active,high,normalized,limited,4,0,4,none_identified,,Agent synthesis of evidence connectivity; component evidence is source-linked and direct transfer is not asserted.
