candidate_claim_id,paper_id,source_record_id,reading_tier,library,claim_text,support_type,evidence_contribution_type,review_mainline_role,source_locator_id,relevant_parameter_ids,relevant_event_ids,relevant_process_relation_ids,existing_core_link,retained_for_global_consolidation,candidate_status,notes
PILOT-B029-C01,B029,B-E-09,pilot,B,Injector pressure-building history controls the timing of Mach-disk and potential-core evolution.,direct,simulation_resolved,"Demonstrates the need for pressure role, time series, and stage fields.",LOC-B029-0008,,,,,yes,active_candidate,Evidence summary: Three pressure histories shift turning times from immediate to ~0.4 or ~1.1 ms. | Limitations: Curves were not digitized; only explicitly stated times and stable averages were extracted.
PILOT-B029-C02,B029,B-E-09,pilot,B,A steady NPR scalar cannot preserve the pressure-history information required by this experiment.,project_inference,project_inference,"Demonstrates the need for pressure role, time series, and stage fields.",LOC-B029-0009,,,,,no,inventory_only_schema_observation_only,"Evidence summary: NPR is defined from p_in(t)/p_b, and distinct p_in(t) histories yield different transients despite the same final level. | Limitations: Schema-level conclusion only. | Phase 10 inventory-only reason: schema_observation_only; original candidate is unchanged."
PILOT-C014-C01,C014,C-SD-07,pilot,C,"At We near 1100, breakup morphology and timing still change substantially with post-shock freestream Mach number.",direct,direct_observation,Establishes that Mach context and We reference scales must be explicit.,LOC-C014-0003,,,,,yes,active_candidate,"Evidence summary: Matched-We experiments show distinct peripheral-mist, multiple-bag, and leeward-ligament responses across M∞. | Limitations: Other variables, especially Re and gas identity, are not perfectly fixed."
PILOT-C014-C02,C014,C-SD-07,pilot,C,"The paper's Mach number is the post-shock freestream-flow Mach, whereas We uses post-shock gas density and velocity.",direct,direct_observation,Establishes that Mach context and We reference scales must be explicit.,LOC-C014-0004,,,,,yes,active_candidate,Evidence summary: Definitions explicitly separate M∞ from the shock and define We with ρg and ug. | Limitations: This definition is paper-specific and should not be merged with M_s.
PILOT-C016-C01,C016,C-SD-09,pilot,C,Shock-induced aerobreakup is described in two stages: early wave dynamics followed by airflow-driven breakup.,author_interpretation,author_interpretation,Supplies the canonical wave → loading → instability → breakup sequence.,LOC-C016-0005,,,,,yes,active_candidate,"Evidence summary: Wave imaging resolves reflected/transmitted/internal structures before induced-airflow deformation and fragmentation. | Limitations: Stage boundaries are mechanistic, not a universal fixed time."
PILOT-C016-C02,C016,C-SD-09,pilot,C,"RTP can persist to We near 800 for small droplets, while SIE can occur near We 200 for larger droplets.",direct,direct_observation,Supplies the canonical wave → loading → instability → breakup sequence.,LOC-C016-0004,,,,,yes,active_candidate,Evidence summary: Reported cases demonstrate breakup-mode overlap in We and motivate the D_i/λ_KH criterion. | Limitations: Mode boundaries depend on the tested droplet sizes and shock conditions.
PILOT-C031-C01,C031,C-PC-05,pilot,C,Evaporation can suppress KH-wave growth through a low-temperature vapor layer that reduces interfacial shear.,author_interpretation,simulation_resolved,"Shows that breakup and phase change require coupled state and support-type fields, while preserving model inputs separately.",LOC-C031-0008,,,,,yes,active_candidate,"Evidence summary: Temperature, vorticity and interface morphology are mutually consistent across no-phase-change and evaporation cases. | Limitations: Depends on manually selected phase-change coefficients."
PILOT-C031-C02,C031,C-PC-05,pilot,C,"For the modeled condensation-dominated family, reducing shock Mach from 1.47 to 1.27–1.37 shifts net phase change toward evaporation.",direct,simulation_resolved,"Shows that breakup and phase change require coupled state and support-type fields, while preserving model inputs separately.",LOC-C031-0009,,,,,yes,active_candidate,Evidence summary: Total mass flux and normalized droplet mass show overall evaporation at the two lower Mach numbers. | Limitations: Single-component n-dodecane vapor and specified model coefficients.
PILOT-D003-C01,D003,D-IC-03,pilot,D,"A jet-induced shock can create a push-away impulse, but the effective shocked-state duration is shortened by a following expansion wave.",indirect,model_based,Directly determines the loading-duration taxonomy required before bulk extraction.,LOC-D003-0006,,,,,yes,active_candidate,Evidence summary: Measured waves and the 1D model show a thin shocked region and finite momentum-transfer interval. | Limitations: Breakup and evaporation were not modeled.
PILOT-D003-C02,D003,D-IC-03,pilot,D,Droplet response depends strongly on particle size relative to the short forcing interval.,direct,simulation_resolved,Directly determines the loading-duration taxonomy required before bulk extraction.,LOC-D003-0007,,,,,yes,active_candidate,Evidence summary: Small droplets approach the gas response; 50 μm droplets have a response time much longer than the shocked-state exposure. | Limitations: Stokes comparison is model-context specific.
PILOT-D009-C01,D009,D-RDE-04,pilot,D,The paper defines Δ=L_E/L_D to compare droplet evaporation distance with detonation-front height.,direct,model_based,Tests explicit characteristic-scale definitions and state-dependent RDE stability.,LOC-D009-0008,,,,,yes,active_candidate,Evidence summary: Analytical derivation links Δ to d0² under the stated assumptions. | Limitations: Definition depends on the paper's idealized refill-zone model.
PILOT-D009-C02,D009,D-RDE-04,pilot,D,"For the simulated no-pre-evaporation family, increasing Δ produces larger unburned pockets and eventual shock–flame decoupling.",direct,simulation_resolved,Tests explicit characteristic-scale definitions and state-dependent RDE stability.,LOC-D009-0009,,,,,yes,active_candidate,Evidence summary: Cases B2–B5 progress from stable propagation to failure as d0 and Δ rise. | Limitations: Critical values are specific to the selected inlet and chemistry.
PILOT-D017-C01,D017,D-DW-02,pilot,D,Evaporation alone cannot explain the observed ~10.9 mm droplet-survival region; concurrent breakup is required in the model interpretation.,indirect,model_based,"Tests joint storage of breakup, evaporation, variable acceleration, cloud morphology and model validity.",LOC-D017-0007,,,,,yes,active_candidate,"Evidence summary: No-breakup calculations exceed observations by orders of magnitude, whereas breakup models shorten survival into the observed range. | Limitations: Reduced models assume constant post-shock gas conditions."
PILOT-D017-C02,D017,D-DW-02,pilot,D,Existing shock-driven breakup models predict faster extinction than some observed droplets under the detonation's variable acceleration.,author_interpretation,author_interpretation,"Tests joint storage of breakup, evaporation, variable acceleration, cloud morphology and model validity.",LOC-D017-0008,,,,,yes,active_candidate,Evidence summary: Clouds persist beyond 15 mm while the largest WERT49 modeled case is ~11 mm. | Limitations: Mie scattering has a detection threshold and snapshots are ensemble-based.
T1-A007-C01,A007,A-NG-07,tier1,A,"Stronger temporal and spatial overlap can delay or suppress diesel-pilot ignition while promoting faster natural-gas ignition, producing an interaction-dependent trade-off.",experimental_correlation,primary_experimental,Pilot-main-gas chronology and interaction mechanism.,LOC-A007-0005,PAR-A007-0009;PAR-A007-0006;PAR-A007-0005,INT-A007-001,PROC-A007-001;PROC-A007-002,,yes,active_candidate,"Evidence summary: Shadowgraph operability and ignition-delay maps show opposing pilot and gas responses across timing and angle. | Limitations: Single RCEM operating point, two separate single-hole injectors, no swirl or neighboring jets."
T1-A007-C02,A007,A-NG-07,tier1,A,The time of natural-gas ignition relative to gas SOI organizes heat-release shape because it represents the achieved level of premixing.,experimental_correlation,primary_experimental,Temporal control of premixing and combustion phasing.,LOC-A007-0006,PAR-A007-0008;PAR-A007-0010,HIST-A007-001,PROC-A007-003,,yes,active_candidate,Evidence summary: Peak and mean HRR plus combustion-duration trends collapse by ignition time relative to gas SOI. | Limitations: HRR is model-derived and hot-product heat losses are neglected; curves were not digitized.
T1-A007-C03,A007,A-NG-07,tier1,A,Slightly diverging jets (+10 to +20 deg) retain local overlap for gas ignition while leaving part of the diesel spray able to ignite without strong disturbance.,author_interpretation,author_interpretation,Injector-geometry design implication.,LOC-A007-0007,PAR-A007-0009,,PROC-A007-001;PROC-A007-002,,yes,active_candidate,"Evidence summary: Conclusion synthesizes the operability map into a proposed robust injector arrangement. | Limitations: Design transfer to engines remains contingent on swirl, walls, and adjacent jets."
T1-A026-C01,A026,A-H2-09,tier1,A,"Increasing diesel energy share strengthens and spreads the pilot flame, accelerating the initial H2 reaction, while the late mixing-controlled phase remains similar across energy shares.",direct_observation,primary_experimental,Pilot-energy control of H2 ignition.,LOC-A026-0006,PAR-A026-0006;PAR-A026-0009;PAR-A026-0022,,PROC-A026-001,,yes,active_candidate,Evidence summary: Pressure/aHRR and flame images show a larger pilot and faster early H2 flame development as H2 share decreases from 95% to 70%. | Limitations: Natural-luminosity thresholds and two imaging arrangements limit quantitative cross-sweep intensity comparison.
T1-A026-C02,A026,A-H2-09,tier1,A,"Advancing H2 injection changes the premixed/mixing-controlled balance and the 30 CA bTDC case significantly delays diesel pilot ignition, attributed to preignition dilution.",experimental_correlation,primary_experimental,Injection-event chain and pilot coupling.,LOC-A026-0005,PAR-A026-0018;PAR-A026-0021;PAR-A026-0023,,PROC-A026-002;PROC-A026-003,,yes,active_candidate,"Evidence summary: aHRR and flame images separate timing-dependent interaction, premixing and delayed pilot ignition. | Limitations: Fuel distributions before ignition were not directly visualized; dilution is author interpretation."
T1-A028-C01,A028,A-R-02,tier1,A,"Mach-disk correlations are strongly conditional on total versus exit pressure ratio, nozzle geometry, Mach number and gas properties.",author_interpretation,review_synthesis,HPDI underexpanded-jet model selection.,LOC-A028-0002,PAR-A028-0003;PAR-A028-0004,,PROC-A028-001,,yes,active_candidate,Evidence summary: Tables 2-3 and the conclusions sort correlation families by their validated parameter and nozzle ranges. | Limitations: Secondary synthesis of heterogeneous primary studies.
T1-A028-C02,A028,A-R-02,tier1,A,"RANS, LES and DNS choices involve a persistent near-field/transient-fidelity versus computational-cost tradeoff in coupled HPDI engine simulations.",author_interpretation,review_synthesis,Numerical-method limitations.,LOC-A028-0003,PAR-A028-0002;PAR-A028-0005,,PROC-A028-002,,yes,active_candidate,Evidence summary: The review identifies near-field deficiencies of many RANS models and the cost burden of LES/DNS plus chemistry and soot. | Limitations: Model recommendations are condition-specific and not universal rankings.
T1-A029-C01,A029,A-R-03,tier1,A,"DFDI's central control advantage is independent adjustment of two fuels' timing, quantity and interval to shape mixture and reactivity stratification.",author_interpretation,review_synthesis,Cross-fuel DFDI taxonomy.,LOC-A029-0003,PAR-A029-0002,,PROC-A029-001,,yes,active_candidate,Evidence summary: The conclusion generalizes across five fuel-pair families. | Limitations: Broad review; fuel pairs and facilities are heterogeneous.
T1-A029-C02,A029,A-R-03,tier1,A,"For hydrogen-diesel DFDI, ignition and flame development depend on which fuel pilots, injection interval, oxygen level and injector arrangement.",author_interpretation,review_synthesis,Hydrogen-diesel interaction framework.,LOC-A029-0002,PAR-A029-0003,,PROC-A029-002,,yes,active_candidate,Evidence summary: Section 5 organizes reported mechanisms and identifies macro-engine versus controlled-facility evidence gaps. | Limitations: Secondary synthesis; numerical values from cited papers are not entered as primary records.
T1-A030-C01,A030,A-R-04,tier1,A,"Hydrogen injection timing and sequence shift dual-fuel DI between premixed and mixing-controlled behavior, with stability and pressure-rise tradeoffs.",author_interpretation,review_synthesis,Hydrogen-diesel combustion-mode framework.,LOC-A030-0005,PAR-A030-0002,,PROC-A030-003,,yes,active_candidate,"Evidence summary: The conclusion integrates timing, sequence and energy-share evidence across controlled studies. | Limitations: Secondary synthesis; study conditions and definitions vary."
T1-A030-C02,A030,A-R-04,tier1,A,"Relative injection duration and jet geometry modify preignition interaction, pilot-product entrainment, flame stabilization and heat release.",author_interpretation,review_synthesis,Pilot/main-jet interaction mechanism.,LOC-A030-0002,PAR-A030-0003;PAR-A030-0004,,PROC-A030-001;PROC-A030-002,,yes,active_candidate,Evidence summary: Sections 3.2-3.3 organize momentum-duration and diverging/parallel/converging interaction mechanisms. | Limitations: Limited primary literature and line-of-sight diagnostics constrain generality.
T1-A030-C03,A030,A-R-04,tier1,A,"Advancing the field requires quantitative multispecies diagnostics and validated high-fidelity models under realistic pressure, swirl and turbulence conditions.",author_interpretation,review_gap_synthesis,Methods and knowledge-gap framing.,LOC-A030-0004,PAR-A030-0006,,,,no,inventory_only_knowledge_gap_statement,"Evidence summary: Section 4 explicitly links present line-of-sight and quasi-steady limitations to validation and application gaps. | Limitations: Research agenda, not an established mechanistic result. | Phase 10 inventory-only reason: knowledge_gap_statement; original candidate is unchanged."
T1-B004-C01,B004,B-T-04,tier1,B,"The review finds Mach-disk position substantially better constrained than Mach-disk diameter, curvature, appearance threshold, cell wavelength, or potential-core length.",author_interpretation,review_synthesis,Underexpanded-jet framework and uncertainty map.,LOC-B004-0008,PAR-B004-0006;PAR-B004-0007;PAR-B004-0008,,PROC-B004-001,,yes,active_candidate,Evidence summary: Cross-study comparison retains a position correlation but identifies large scatter and missing controls for other quantities. | Limitations: Secondary synthesis of heterogeneous sources and definitions; not primary data.
T1-B004-C02,B004,B-T-04,tier1,B,"In the far field, underexpanded jets exhibit hyperbolic decay and can be approximated by an equivalent jet, but the best notional-nozzle model and universal decay constants remain unresolved.",author_interpretation,review_synthesis,Far-field scaling and model-selection limitations.,LOC-B004-0007,PAR-B004-0009,,PROC-B004-002,,yes,active_candidate,Evidence summary: Section 5.3 separates a robust qualitative behavior from uncertain quantitative normalization. | Limitations: Primarily sonic-exit studies; limited coverage of supersonic-exit Mach-number effects.
T1-B009-C01,B009,B-H2-04,tier1,B,"Mach-disk height and width increase strongly with NPR, but the transient values overshoot their semi-steady values and therefore state qualification is essential.",simulation_resolved,simulation_resolved,Transient versus quasi-steady Mach-disk scaling.,LOC-B009-0007,PAR-B009-0018;PAR-B009-0023;PAR-B009-0019;PAR-B009-0024,EVT-B009-002;EVT-B009-003;HIST-B009-001,PROC-B009-001,,yes,active_candidate,"Evidence summary: Table 3 gives case-specific semi-steady dimensions; Fig. 7 documents early overshoot and formation/stabilization chronology. | Limitations: LES, one nozzle geometry, ambient conditions below many engine conditions."
T1-B009-C02,B009,B-H2-04,tier1,B,"At matched NPR=8.5, hydrogen and methane differ in Mach-disk geometry and pre-disk mixing; the authors attribute hydrogen pre-disk mixing to stronger nozzle-exit turbulence and Gortler vortices.",author_interpretation,simulation_resolved,Gas-property control of shock/mixing structure.,LOC-B009-0007,PAR-B009-0017;PAR-B009-0021;PAR-B009-0022;PAR-B009-0026,,PROC-B009-002;PROC-B009-003,,yes,active_candidate,Evidence summary: Matched-gas cases quantify disk geometry and show mixing-location differences. | Limitations: Attribution is model-based and gas-property effects are coupled.
T1-B009-C03,B009,B-H2-04,tier1,B,Increasing NPR did not monotonically increase hydrogen jet penetration in this geometry.,simulation_resolved,simulation_resolved,Limits of pressure-only jet-penetration scaling.,LOC-B009-0007,PAR-B009-0012;PAR-B009-0014;PAR-B009-0015,,PROC-B009-004,,yes,active_candidate,"Evidence summary: After the initial transient, NPR 70 approached NPR 8.5 penetration and NPR 30 was about 8% lower. | Limitations: The proposed optimum near NPR 100 is explicitly tentative and geometry-specific."
T1-B021-C01,B021,B-E-01,tier1,B,"At fixed nozzle geometry, increasing contextual NPR shifts the Mach disk downstream and increases its diameter; NPR-dependent correlations reduce error relative to constant-coefficient forms.",simulation_resolved,primary_numerical,Contextual NPR to near-field shock scaling.,LOC-B021-0004,PAR-B021-0004;PAR-B021-0006;PAR-B021-0007;PAR-B021-0008;PAR-B021-0009,,PROC-B021-001,,yes,active_candidate,"Evidence summary: NPR 2.5-60 sweep and Tables 2-3 quantify Mach-disk dimensions and correlation error. | Limitations: RANS, convergent nozzle, selected gas/EoS and steady axisymmetric configuration."
T1-B021-C02,B021,B-E-01,tier1,B,"For the modeled ICE pressure history, the slow NPR variation produces no practically significant difference between steady and unsteady Mach-disk position or hydrogen distribution.",simulation_resolved,primary_numerical,Transient versus quasi-steady ICE applicability boundary.,LOC-B021-0006,PAR-B021-0010;PAR-B021-0011;PAR-B021-0012,HIST-B021-001;HIST-B021-002;INT-B021-001,,,yes,active_candidate,Evidence summary: URANS versus steady comparisons show at most about 2% Mach-disk-position difference for the stated variation rate. | Limitations: Result depends on the modeled NPR variation rate and should not be generalized to faster transients.
T1-B021-C03,B021,B-E-01,tier1,B,"Higher chamber temperature enhances hydrogen diffusion without changing Mach-disk position at fixed NPR, while closely spaced parallel jets develop an expansion-wave-linked low-pressure region that bends jets together.",simulation_resolved,primary_numerical,ICE temperature and multi-hole interaction effects.,LOC-B021-0008,PAR-B021-0013;PAR-B021-0014;PAR-B021-0015;PAR-B021-0016,,PROC-B021-002;PROC-B021-003,,yes,active_candidate,Evidence summary: Temperature comparison and 1/2 mm inter-axis simulations separate gas-dynamic structure from diffusion and multi-jet interaction. | Limitations: Multi-jet analysis is preliminary; parallel geometry and NPR 10 only.
T1-B028-C01,B028,B-E-08,tier1,B,"NPR is the dominant tested control of hydrogen-jet momentum, shock structure, penetration, and entrainment across the dual-scale framework.",simulation_resolved,mixed_experimental_numerical,Near-field to far-field coupling under NPR control.,LOC-B028-0009,PAR-B028-0006;PAR-B028-0011;PAR-B028-0035;PAR-B028-0036;PAR-B028-0037,HIST-B028-001,PROC-B028-001;PROC-B028-004,,yes,active_candidate,"Evidence summary: Six case-specific pressure pairs span NPR 5-100; high NPR produces stronger internal shocks, larger penetration, and broader mixing. | Limitations: Axisymmetric/nonreacting models and late-stage 3D limitations."
T1-B028-C02,B028,B-E-08,tier1,B,"Nozzle-hole diameter controls shear-layer growth and dispersion scale, with nonlinear saturation at larger diameters.",experimental_correlation,mixed_experimental_numerical,Injector-geometry influence on mixing.,LOC-B028-0009,PAR-B028-0024;PAR-B028-0028,,PROC-B028-002,,yes,active_candidate,Evidence summary: Five nozzle diameters are compared at fixed NPR=10 and 300 K. | Limitations: One fixed pressure ratio and temperature for the diameter sweep.
T1-B028-C03,B028,B-E-08,tier1,B,Ambient temperature modifies boundary instability and lateral expansion but has a weaker effect on jet momentum than NPR or nozzle diameter.,experimental_correlation,mixed_experimental_numerical,Thermodynamic modulation of underexpanded-jet mixing.,LOC-B028-0009,PAR-B028-0029;PAR-B028-0034,,PROC-B028-003,,yes,active_candidate,"Evidence summary: 300-800 K sweep at fixed NPR=10 and D=1 mm. | Limitations: Nonreacting hydrogen; source uses an external property database within its own model, not the project extraction."
T1-C007-C01,C007,C-F-07,tier1,C,Nonuniform or unsteady forcing alters breakup only when its length or time scales are compatible with global droplet deformation or local wave scales.,author_interpretation,review_synthesis,Typed loading histories and response-scale framework.,LOC-C007-0006,PAR-C007-0007,,PROC-C007-001;PROC-C007-004,,yes,active_candidate,"Evidence summary: The review uses scale compatibility to unify shear, wake, turbulence, shock, and blast cases. | Limitations: Conceptual synthesis; quantitative closure remains an open issue."
T1-C007-C02,C007,C-F-07,tier1,C,"At supersonic Mach numbers, compressibility can suppress breakup intensity and transverse spread while promoting streamwise elongation.",author_interpretation,review_synthesis,Compressibility correction to breakup-regime interpretation.,LOC-C007-0005,PAR-C007-0005;PAR-C007-0008,,PROC-C007-002,,yes,active_candidate,"Evidence summary: Section 5 distinguishes subsonic destabilization from supersonic stabilization and connects it to KHI/RTI damping and bow-shock-modified loading. | Limitations: Secondary synthesis; behavior also depends on We, thermodynamics, and morphology."
T1-C007-C03,C007,C-F-07,tier1,C,Extreme aerobreakup is organized as a recurrent multiscale wave cascade that terminates through ligament-mediated fragmentation.,author_interpretation,review_synthesis,Mechanistic hierarchy of secondary atomization.,LOC-C007-0006,PAR-C007-0006,,PROC-C007-003,,yes,active_candidate,Evidence summary: KHI/RTI initiate progressively local deformations and Rayleigh-Plateau breakup terminates ligaments. | Limitations: Nonlinear theory and high-resolution validation remain incomplete.
T1-C018-C01,C018,C-SD-11,tier1,C,Focus-point and negative-peak-pressure locations align at low gas-liquid wave-speed ratio but diverge at high ratio.,simulation_resolved,simulation_resolved,Internal-wave mechanism and cavitation-location caution.,LOC-C018-0009,PAR-C018-0015;PAR-C018-0063;PAR-C018-0019;PAR-C018-0055,HIST-C018-002,PROC-C018-001,,yes,active_candidate,"Evidence summary: Complete Ms/liquid case matrix shows NPP location becoming approximately constant at high n while the theoretical focus continues its decreasing trend. | Limitations: Five-equation model has no phase transition, so cavitation itself is not resolved."
T1-C018-C02,C018,C-SD-11,tier1,C,Including Mach-stem motion improves the theoretical internal-wave envelope for high wave-speed-ratio cases.,model_based,model_based,High-ratio correction to internal-wave models.,LOC-C018-0007,PAR-C018-0019;PAR-C018-0055,,PROC-C018-002,,yes,active_candidate,Evidence summary: Ray-tracing model switches the disturbance initiator from incident shock to Mach stem where appropriate. | Limitations: Two-dimensional cylindrical geometry and fitted Mach-stem trajectory.
T1-C018-C03,C018,C-SD-11,tier1,C,"The negative peak pressure results from the combined shock, relaxation, fluctuation, and expansion-wave effects rather than expansion-wave focusing alone.",simulation_resolved,simulation_resolved,Multi-contribution pressure mechanism in early shock-droplet interaction.,LOC-C018-0009,PAR-C018-0007;PAR-C018-0008,EVT-C018-002;HIST-C018-001,PROC-C018-003,,yes,active_candidate,"Evidence summary: Pressure histories and wave-count comparison show the focus maximizes the expansion-wave contribution, while NPP has the largest total pressure drop. | Limitations: No cavitation phase transition; pressure-factor decomposition requires further validation."
T1-C019-C01,C019,C-SD-12,tier1,C,"For the modeled divergent shock, curvature shifts ligament formation upstream and sustains greater spanwise extension relative to the planar comparison.",simulation_resolved,primary_numerical,Curved-shock loading and deformation.,LOC-C019-0008,PAR-C019-0015;PAR-C019-0007,,PROC-C019-001,,yes,active_candidate,"Evidence summary: Full-field comparisons resolve altered normal and tangential loading and associated ligament morphology. | Limitations: Two-dimensional cylindrical droplet; viscosity, capillarity and phase transition omitted."
T1-C019-C02,C019,C-SD-12,tier1,C,The windward K-H inception site nearly coincides with a migrating fixed point created by combined external and internal wave loading.,model_based,numerical_plus_model,Instability inception mechanism.,LOC-C019-0007,PAR-C019-0023,EVT-C019-002,PROC-C019-002,,yes,active_candidate,Evidence summary: Table 1 and the theoretical construction connect the critical transmitted-shock contact point to the final fixed point and K-H onset. | Limitations: Mechanism is developed for the simplified two-dimensional configuration.
T1-C024-C01,C024,C-ST-04,tier1,C,"At M about 2.09, 14.16-37.3 um acetone parent droplets experience breakup, cloud growth, and evaporation on overlapping microsecond scales.",direct_observation,primary_experimental,Small-droplet breakup/evaporation timescale overlap.,LOC-C024-0005,PAR-C024-0007;PAR-C024-0008;PAR-C024-0009;PAR-C024-0010;PAR-C024-0015,EVT-C024-001;EVT-C024-002;EVT-C024-003,,,yes,active_candidate,"Evidence summary: Table 1 fixes We/Re by size statistic, while the image sequence separates breakup, cloud growth and late evaporation intervals. | Limitations: Droplet curtain is dilute but polydisperse; deformation of individual parent droplets was below optical resolution."
T1-C024-C02,C024,C-ST-04,tier1,C,The simplified CDC comparison favors empirical breakup models over KHRT for cloud length and evaporation time under these conditions.,model_based,experiment_model_comparison,Breakup-model applicability.,LOC-C024-0007,PAR-C024-0015,,PROC-C024-002,,yes,active_candidate,Evidence summary: Wert49 most closely matches the measured cloud trajectory and disappearance time; KHRT predicts rapid small KH droplets and the shortest clouds. | Limitations: Model discrepancies may reflect parent-drag underprediction or unrepresented larger child droplets.
T1-C025-C01,C025,C-ST-05,tier1,C,Mach 2 and 3 cases show similar nondimensional deformation timing but different piercing morphology and subsequent atomized-mass transfer.,simulation_resolved,primary_numerical,Breakup chronology and Mach-sensitive morphology.,LOC-C025-0006,PAR-C025-0006;PAR-C025-0007;PAR-C025-0008;PAR-C025-0009;PAR-C025-0011;PAR-C025-0012,,PROC-C025-001,,yes,active_candidate,"Evidence summary: Surface instabilities appear by tau about 0.275, ligaments shed near 0.38, piercing occurs after tau about 1, and substantial mass transfer follows. | Limitations: Only two shock strengths and one initial diameter; thermomechanical equilibration is quasi-instantaneous."
T1-C025-C02,C025,C-ST-05,tier1,C,"At tau=2, secondary-droplet Sauter-mean-diameter PDFs are bimodal log-normal with peaks near d/d0=0.004 and 0.01.",simulation_resolved,primary_numerical,Secondary-droplet statistics.,LOC-C025-0004,PAR-C025-0010,HIST-C025-001;HIST-C025-002,,,yes,active_candidate,Evidence summary: Connected-component statistics resolve small and medium secondary-droplet modes. | Limitations: Grid resolution truncates the smallest sizes and simulations end before possible late unimodal evolution.
