global_claim_id,candidate_claim_id,paper_id,reading_tier,library,relation_to_claim,support_type,evidence_grade,evidence_directness,method_type,quantitative_level,condition_compatibility,source_locator_id,boundary_conditions,limitations,review_mainline_role,verification_status,notes
GC-0004,T2-A005-C01,A005,tier2,A,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,partial,LOC-A005-0002,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,Specific paired geometries and engine operating range.,M08;M09,verified,Candidate contribution: reported result; normalization=cluster.
GC-0004,T2-A005-C02,A005,tier2,A,supports,author_interpretation,supporting,indirect,not_specified,directional_qualitative,partial,LOC-A005-0002,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,Soot mechanism is inferred from mixture-state residence rather than directly resolved particulate chemistry.,M08;M09,verified,Candidate contribution: author interpretation; normalization=cluster.
GC-0004,T1-A030-C02,A030,tier1,A,secondary_support,author_interpretation,contextual,secondary,review,quantitative_or_parameterized,partial,LOC-A030-0002,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,Limited primary literature and line-of-sight diagnostics constrain generality.,M08;M09,verified,Candidate contribution: review_synthesis; normalization=cluster.
GC-0004,T3-A017-C01,A017,tier3,A,supports,experimental_correlation,moderate,direct,experimental,directional_qualitative,partial,LOC-A017-0001,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,One medium-to-high-load engine condition; design variables are coupled.,M08;M09,verified,Candidate contribution: additional_scale; normalization=cluster.
GC-0005,T1-A029-C01,A029,tier1,A,secondary_support,author_interpretation,contextual,secondary,review,directional_qualitative,partial,LOC-A029-0003,This claim is review-secondary and does not substitute for primary confirmation under a single standardized condition set.,Broad review; fuel pairs and facilities are heterogeneous.,M08;M09,verified,Candidate contribution: review_synthesis; normalization=cluster.
GC-0005,T1-A029-C02,A029,tier1,A,secondary_support,author_interpretation,contextual,secondary,review,directional_qualitative,partial,LOC-A029-0002,This claim is review-secondary and does not substitute for primary confirmation under a single standardized condition set.,Secondary synthesis; numerical values from cited papers are not entered as primary records.,M08;M09,verified,Candidate contribution: review_synthesis; normalization=cluster.
GC-0005,T3-A027-C01,A027,tier3,A,secondary_support,review_secondary,contextual,secondary,review,qualitative,partial,LOC-A027-0001,This claim is review-secondary and does not substitute for primary confirmation under a single standardized condition set.,Secondary evidence only; heterogeneous cited definitions and conditions must be checked against primary papers before quantitative use.,M08;M09,verified,Candidate contribution: review_secondary; normalization=cluster.
GC-0006,T1-B009-C01,B009,tier1,B,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,high,LOC-B009-0007,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.","LES, one nozzle geometry, ambient conditions below many engine conditions.",M02,verified,Candidate contribution: simulation_resolved; normalization=cluster.
GC-0006,T1-B021-C01,B021,tier1,B,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,high,LOC-B021-0004,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.","RANS, convergent nozzle, selected gas/EoS and steady axisymmetric configuration.",M02,verified,Candidate contribution: primary_numerical; normalization=cluster.
GC-0006,T2-B003-C01,B003,tier2,B,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,high,LOC-B003-0002,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M02,verified,Candidate contribution: simulation_resolved; normalization=cluster.
GC-0006,T2-B030-C01,B030,tier2,B,supports,author_interpretation,supporting,indirect,not_specified,quantitative_or_parameterized,high,LOC-B030-0002,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M02,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0006,T2-B030-C02,B030,tier2,B,supports,author_interpretation,supporting,indirect,not_specified,quantitative_or_parameterized,high,LOC-B030-0002,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M02,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0006,T3-B025-C01,B025,tier3,B,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,high,LOC-B025-0001,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.",CFD method and transitional regime; quantitative comparison requires compatible pressure definitions and geometry.,M02,verified,Candidate contribution: additional_method; normalization=cluster.
GC-0007,PILOT-B013-C01,B013,pilot,B,supports,direct,supporting,direct,numerical,quantitative_or_parameterized,partial,LOC-B013-0006,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",Exact time symbols in extracted text were visually checked against the μs-scale figure context.,M01;M02,verified,Candidate contribution: simulation_resolved; normalization=cluster.
GC-0007,PILOT-B029-C01,B029,pilot,B,supports,direct,supporting,direct,numerical,quantitative_or_parameterized,partial,LOC-B029-0008,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",Curves were not digitized; only explicitly stated times and stable averages were extracted.,M01;M02,verified,Candidate contribution: simulation_resolved; normalization=cluster.
GC-0007,T1-B021-C02,B021,tier1,B,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,partial,LOC-B021-0006,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",Result depends on the modeled NPR variation rate and should not be generalized to faster transients.,M01;M02,verified,Candidate contribution: primary_numerical; normalization=cluster.
GC-0007,T2-B017-C01,B017,tier2,B,supports,author_interpretation,supporting,indirect,not_specified,quantitative_or_parameterized,partial,LOC-B017-0002,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M01;M02,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0007,T2-B017-C02,B017,tier2,B,supports,author_interpretation,supporting,indirect,not_specified,quantitative_or_parameterized,partial,LOC-B017-0002,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M01;M02,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0007,T2-B017-C03,B017,tier2,B,supports,author_interpretation,supporting,indirect,not_specified,quantitative_or_parameterized,partial,LOC-B017-0003,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M01;M02,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0007,T3-B014-C01,B014,tier3,B,supports,direct_observation,strong,direct,experimental,quantitative_or_parameterized,partial,LOC-B014-0001,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",Optical concentration inference and injector-specific geometry; no direct Mach-disk measurement is used for the claim.,M01;M02,verified,Candidate contribution: additional_condition; normalization=cluster.
GC-0007,T3-B018-C01,B018,tier3,B,supports,direct_observation,strong,direct,experimental,quantitative_or_parameterized,partial,LOC-B018-0002,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",Single injector and low absolute injection-pressure range; LES opening transient uncertain.,M01;M02,verified,Candidate contribution: reported result; normalization=cluster.
GC-0008,PILOT-B011-C02,B011,pilot,B,supports,author_interpretation,supporting,indirect,not_specified,qualitative,partial,LOC-B011-0007,"Species effects remain coupled to nozzle-exit turbulence, density, thermodynamics, and numerical treatment.",Gas properties and modeled conditions are coupled.,M02;M08,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0008,T1-B009-C02,B009,tier1,B,supports,author_interpretation,supporting,indirect,numerical,quantitative_or_parameterized,partial,LOC-B009-0007,"Species effects remain coupled to nozzle-exit turbulence, density, thermodynamics, and numerical treatment.",Attribution is model-based and gas-property effects are coupled.,M02;M08,verified,Candidate contribution: simulation_resolved; normalization=cluster.
GC-0008,T3-B010-C01,B010,tier3,B,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,partial,LOC-B010-0001,"Species effects remain coupled to nozzle-exit turbulence, density, thermodynamics, and numerical treatment.",One matched NPR and Reynolds-number range; gas properties remain coupled.,M02;M08,verified,Candidate contribution: additional_fuel_or_species; normalization=cluster.
GC-0009,T1-B009-C03,B009,tier1,B,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,partial,LOC-B009-0007,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",The proposed optimum near NPR 100 is explicitly tentative and geometry-specific.,M01;M06;M08,verified,Candidate contribution: simulation_resolved; normalization=cluster.
GC-0009,T1-B028-C01,B028,tier1,B,supports,simulation_resolved,moderate,direct,mixed,quantitative_or_parameterized,partial,LOC-B028-0009,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",Axisymmetric/nonreacting models and late-stage 3D limitations.,M01;M06;M08,verified,Candidate contribution: mixed_experimental_numerical; normalization=cluster.
GC-0009,T2-B003-C03,B003,tier2,B,supports,model_based,supporting,indirect,numerical,quantitative_or_parameterized,partial,LOC-B003-0002,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M01;M06;M08,verified,Candidate contribution: model_based; normalization=cluster.
GC-0009,T2-B024-C02,B024,tier2,B,supports,author_interpretation,supporting,indirect,not_specified,quantitative_or_parameterized,partial,LOC-B024-0002,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M01;M06;M08,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0009,T2-B024-C03,B024,tier2,B,supports,author_interpretation,supporting,indirect,not_specified,directional_qualitative,partial,LOC-B024-0002,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M01;M06;M08,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0009,T3-B006-C01,B006,tier3,B,supports,direct_observation,strong,direct,experimental,quantitative_or_parameterized,partial,LOC-B006-0002,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",Quiescent chamber and far-field similarity treatment; virtual-origin/near-field corrections remained uncertain.,M01;M06;M08,verified,Candidate contribution: reported result; normalization=cluster.
GC-0009,T3-B015-C01,B015,tier3,B,supports,experimental_correlation,moderate,direct,experimental,quantitative_or_parameterized,partial,LOC-B015-0001,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",Outward-opening injector only; pressure-ratio definition and evolving chamber pressure limit direct comparison with steady round jets.,M01;M06;M08,verified,Candidate contribution: additional_condition; normalization=cluster.
GC-0010,PILOT-B011-C01,B011,pilot,B,supports,direct,supporting,direct,numerical,qualitative,partial,LOC-B011-0007,Fixed-NPR and fixed-injection-pressure comparisons are not interchangeable; gas species and chamber states vary.,Applies to the simulated H2 NPR-10 cases.,M01;M02;M08,verified,Candidate contribution: simulation_resolved; normalization=cluster.
GC-0010,T1-B021-C03,B021,tier1,B,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,partial,LOC-B021-0008,Fixed-NPR and fixed-injection-pressure comparisons are not interchangeable; gas species and chamber states vary.,Multi-jet analysis is preliminary; parallel geometry and NPR 10 only.,M01;M02;M08,verified,Candidate contribution: primary_numerical; normalization=cluster.
GC-0010,T1-B028-C03,B028,tier1,B,supports,experimental_correlation,moderate,direct,mixed,quantitative_or_parameterized,partial,LOC-B028-0009,Fixed-NPR and fixed-injection-pressure comparisons are not interchangeable; gas species and chamber states vary.,"Nonreacting hydrogen; source uses an external property database within its own model, not the project extraction.",M01;M02;M08,verified,Candidate contribution: mixed_experimental_numerical; normalization=cluster.
GC-0011,T1-B028-C02,B028,tier1,B,supports,experimental_correlation,moderate,direct,mixed,quantitative_or_parameterized,partial,LOC-B028-0009,"Diameter, shape, spacing, and pressure ratio were not varied in a common factorial design.",One fixed pressure ratio and temperature for the diameter sweep.,M01;M02;M08,verified,Candidate contribution: mixed_experimental_numerical; normalization=cluster.
GC-0011,T3-B022-C01,B022,tier3,B,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,partial,LOC-B022-0001,"Diameter, shape, spacing, and pressure ratio were not varied in a common factorial design.",Numerical free-jet configurations; shape and aspect-ratio effects are coupled.,M01;M02;M08,verified,Candidate contribution: additional_condition; normalization=cluster.
GC-0012,T1-B004-C02,B004,tier1,B,secondary_support,author_interpretation,contextual,secondary,review,qualitative,partial,LOC-B004-0007,"Universal decay constants and notional-nozzle choices remain unresolved, especially for supersonic exits.",Primarily sonic-exit studies; limited coverage of supersonic-exit Mach-number effects.,M02;M03;M08,verified,Candidate contribution: review_synthesis; normalization=cluster.
GC-0012,T3-B001-C01,B001,tier3,B,supports,model_based,supporting,indirect,numerical,quantitative_or_parameterized,partial,LOC-B001-0001,"Universal decay constants and notional-nozzle choices remain unresolved, especially for supersonic exits.",Safety-release configurations and model validation ranges; not an engine-transient experiment.,M02;M03;M08,verified,Candidate contribution: additional_method; normalization=cluster.
GC-0012,T3-B020-C01,B020,tier3,B,qualifies,direct_observation,strong,direct,experimental,qualitative,partial,LOC-B020-0001,"Universal decay constants and notional-nozzle choices remain unresolved, especially for supersonic exits.",Single-hole methane injector and force-based zone definition; not directly equivalent to hydrogen optical-zone metrics.,M02;M03;M08,verified,Candidate contribution: boundary_evidence; normalization=cluster.
GC-0012,T2-B019-C03,B019,tier2,B,supports,model_based,supporting,indirect,numerical,qualitative,partial,LOC-B019-0003,"Universal decay constants and notional-nozzle choices remain unresolved, especially for supersonic exits.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M02;M03;M08,verified,Candidate contribution: model_based; normalization=cluster.
GC-0013,T1-A028-C01,A028,tier1,A,secondary_support,author_interpretation,contextual,secondary,review,quantitative_or_parameterized,partial,LOC-A028-0002,"Model sensitivity is not a universal ranking of RANS, LES, DNS, or equations of state.",Secondary synthesis of heterogeneous primary studies.,M01;M02;M03,verified,Candidate contribution: review_synthesis; normalization=cluster.
GC-0013,T1-A028-C02,A028,tier1,A,secondary_support,author_interpretation,contextual,secondary,review,qualitative,partial,LOC-A028-0003,"Model sensitivity is not a universal ranking of RANS, LES, DNS, or equations of state.",Model recommendations are condition-specific and not universal rankings.,M01;M02;M03,verified,Candidate contribution: review_synthesis; normalization=cluster.
GC-0013,T2-B008-C01,B008,tier2,B,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,partial,LOC-B008-0002,"Model sensitivity is not a universal ranking of RANS, LES, DNS, or equations of state.",EoS comparison is numerical and tied to this high-pressure state/nozzle model.,M01;M02;M03,verified,Candidate contribution: reported result; normalization=cluster.
GC-0013,T2-B008-C02,B008,tier2,B,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,partial,LOC-B008-0003,"Model sensitivity is not a universal ranking of RANS, LES, DNS, or equations of state.",Axisymmetric RANS and classical cubic EoS choices.,M01;M02;M03,verified,Candidate contribution: reported result; normalization=cluster.
GC-0014,T2-B016-C01,B016,tier2,B,supports,author_interpretation,supporting,indirect,not_specified,quantitative_or_parameterized,partial,LOC-B016-0002,Evidence is numerical or correlation-based and does not directly measure pilot-spray loading.,Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M02;M03;M08,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0014,T3-B027-C01,B027,tier3,B,supports,simulation_resolved,moderate,direct,numerical,quantitative_or_parameterized,partial,LOC-B027-0001,Evidence is numerical or correlation-based and does not directly measure pilot-spray loading.,Free nonreacting jets; baroclinic attribution is simulation-based and configuration-dependent.,M02;M03;M08,verified,Candidate contribution: mechanism_support; normalization=cluster.
GC-0015,T1-B004-C01,B004,tier1,B,secondary_support,author_interpretation,contextual,secondary,review,quantitative_or_parameterized,not_applicable,LOC-B004-0008,Secondary synthesis across heterogeneous definitions; C004 is unrelated and does not affect this jet-specific limitation.,Secondary synthesis of heterogeneous sources and definitions; not primary data.,M02,verified,Candidate contribution: review_synthesis; normalization=cluster.
GC-0016,T1-C007-C01,C007,tier1,C,secondary_support,author_interpretation,contextual,secondary,review,quantitative_or_parameterized,partial,LOC-C007-0006,"Shock-front passage, shocked-state exposure, expansion-wave-limited loading, and total forcing are not equivalent intervals.",Conceptual synthesis; quantitative closure remains an open issue.,M03;M04;M05,verified,Candidate contribution: review_synthesis; normalization=cluster.
GC-0016,PILOT-C016-C01,C016,pilot,C,supports,author_interpretation,supporting,indirect,not_specified,qualitative,partial,LOC-C016-0005,"Shock-front passage, shocked-state exposure, expansion-wave-limited loading, and total forcing are not equivalent intervals.","Stage boundaries are mechanistic, not a universal fixed time.",M03;M04;M05,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0016,PILOT-D003-C01,D003,pilot,D,supports,indirect,supporting,direct,numerical,quantitative_or_parameterized,partial,LOC-D003-0006,"Shock-front passage, shocked-state exposure, expansion-wave-limited loading, and total forcing are not equivalent intervals.",Breakup and evaporation were not modeled.,M03;M04;M05,verified,Candidate contribution: model_based; normalization=cluster.
GC-0016,PILOT-D003-C02,D003,pilot,D,supports,direct,supporting,direct,numerical,directional_qualitative,partial,LOC-D003-0007,"Shock-front passage, shocked-state exposure, expansion-wave-limited loading, and total forcing are not equivalent intervals.",Stokes comparison is model-context specific.,M03;M04;M05,verified,Candidate contribution: simulation_resolved; normalization=cluster.
GC-0017,PILOT-C014-C01,C014,pilot,C,supports,direct,strong,direct,experimental,quantitative_or_parameterized,partial,LOC-C014-0003,"Incident-shock Mach, post-shock freestream Mach, velocity and density references, and loading histories must remain distinct.","Other variables, especially Re and gas identity, are not perfectly fixed.",M04;M05,verified,Candidate contribution: direct_observation; normalization=cluster.
