mechanism_relation_id,paper_id,case_id,source_node,relation_type,target_node,support_type,candidate_claim_id,source_locator_id,verification_status,notes
MECH-B012-003,B012,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,model_based,T2-B012-C03,LOC-B012-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B016-001,B016,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B016-C01,LOC-B016-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B016-002,B016,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B016-C02,LOC-B016-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B016-003,B016,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B016-C03,LOC-B016-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B017-001,B017,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B017-C01,LOC-B017-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B017-002,B017,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B017-C02,LOC-B017-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B017-003,B017,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B017-C03,LOC-B017-0003,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B019-001,B019,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,simulation_resolved,T2-B019-C01,LOC-B019-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B019-002,B019,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,model_based,T2-B019-C02,LOC-B019-0003,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B019-003,B019,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,model_based,T2-B019-C03,LOC-B019-0003,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B023-001,B023,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,model_based,T2-B023-C01,LOC-B023-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B023-002,B023,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,model_based,T2-B023-C02,LOC-B023-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B023-003,B023,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,model_based,T2-B023-C03,LOC-B023-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B024-001,B024,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B024-C01,LOC-B024-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B024-002,B024,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B024-C02,LOC-B024-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B024-003,B024,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B024-C03,LOC-B024-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B030-001,B030,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B030-C01,LOC-B030-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B030-002,B030,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B030-C02,LOC-B030-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B030-003,B030,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B030-C03,LOC-B030-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C001-001,C001,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C001-C01,LOC-C001-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C001-002,C001,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C001-C02,LOC-C001-0003,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C001-003,C001,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C001-C03,LOC-C001-0003,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C002-001,C002,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C002-C01,LOC-C002-0001,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C002-002,C002,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C002-C02,LOC-C002-0001,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C002-003,C002,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C002-C03,LOC-C002-0001,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C006-001,C006,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C006-C01,LOC-C006-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C006-002,C006,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C006-C02,LOC-C006-0003,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C006-003,C006,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,experimental_correlation,T2-C006-C03,LOC-C006-0003,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C010-001,C010,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,model_based,T2-C010-C01,LOC-C010-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C010-002,C010,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,model_based,T2-C010-C02,LOC-C010-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C010-003,C010,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,model_based,T2-C010-C03,LOC-C010-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C015-001,C015,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C015-C01,LOC-C015-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C015-002,C015,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C015-C02,LOC-C015-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C015-003,C015,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C015-C03,LOC-C015-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C017-001,C017,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C017-C01,LOC-C017-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C017-002,C017,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,model_based,T2-C017-C02,LOC-C017-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C017-003,C017,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C017-C03,LOC-C017-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C020-001,C020,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C020-C01,LOC-C020-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C020-002,C020,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C020-C02,LOC-C020-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C020-003,C020,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C020-C03,LOC-C020-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C022-001,C022,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C022-C01,LOC-C022-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C022-002,C022,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,direct_observation,T2-C022-C02,LOC-C022-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C022-003,C022,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C022-C03,LOC-C022-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C023-001,C023,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,model_based,T2-C023-C01,LOC-C023-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C023-002,C023,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,model_based,T2-C023-C02,LOC-C023-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C023-003,C023,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,model_based,T2-C023-C03,LOC-C023-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C026-001,C026,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C026-C01,LOC-C026-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C026-002,C026,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,direct_observation,T2-C026-C02,LOC-C026-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C026-003,C026,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,author_interpretation,T2-C026-C03,LOC-C026-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C030-001,C030,CORE,vaporization_and_Stefan_flow,modifies,drop_deformation_breakup_and_drag,model_based,T2-C030-C01,LOC-C030-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C030-002,C030,CORE,vaporization_and_Stefan_flow,modifies,drop_deformation_breakup_and_drag,author_interpretation,T2-C030-C02,LOC-C030-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C030-003,C030,CORE,vaporization_and_Stefan_flow,modifies,drop_deformation_breakup_and_drag,model_based,T2-C030-C03,LOC-C030-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C033-001,C033,CORE,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,direct_observation,T2-C033-C01,LOC-C033-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C033-002,C033,CORE,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,author_interpretation,T2-C033-C02,LOC-C033-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C033-003,C033,CORE,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,direct_observation,T2-C033-C03,LOC-C033-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C034-001,C034,CORE,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,experimental_correlation,T2-C034-C01,LOC-C034-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C034-002,C034,CORE,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,experimental_correlation,T2-C034-C02,LOC-C034-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-C034-003,C034,CORE,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,author_interpretation,T2-C034-C03,LOC-C034-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D002-001,D002,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D002-C01,LOC-D002-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D002-002,D002,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D002-C02,LOC-D002-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D002-003,D002,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D002-C03,LOC-D002-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D005-001,D005,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D005-C01,LOC-D005-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D005-002,D005,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D005-C02,LOC-D005-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D005-003,D005,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D005-C03,LOC-D005-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D007-001,D007,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D007-C01,LOC-D007-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D007-002,D007,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D007-C02,LOC-D007-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D007-003,D007,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D007-C03,LOC-D007-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D010-001,D010,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D010-C01,LOC-D010-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D010-002,D010,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D010-C02,LOC-D010-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D010-003,D010,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D010-C03,LOC-D010-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D011-001,D011,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D011-C01,LOC-D011-0001,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D011-002,D011,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D011-C02,LOC-D011-0001,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D011-003,D011,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D011-C03,LOC-D011-0001,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D013-001,D013,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D013-C01,LOC-D013-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D013-002,D013,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D013-C02,LOC-D013-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D013-003,D013,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D013-C03,LOC-D013-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D014-001,D014,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D014-C01,LOC-D014-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D014-002,D014,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D014-C02,LOC-D014-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D014-003,D014,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,model_based,T2-D014-C03,LOC-D014-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D015-001,D015,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D015-C01,LOC-D015-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D015-002,D015,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D015-C02,LOC-D015-0003,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D015-003,D015,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D015-C03,LOC-D015-0003,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D016-001,D016,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D016-C01,LOC-D016-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D016-002,D016,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D016-C02,LOC-D016-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-D016-003,D016,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,author_interpretation,T2-D016-C03,LOC-D016-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A002-001,A002,A002-HPDI,higher gas-rail pressure,promotes,mixing after injection,simulation_resolved,T2-A002-C01,LOC-A002-0002,verified,Mechanistic link is supported by reacting-CFD comparison.
MECH-A002-002,A002,A002-HPDI,improved mixing,promotes,efficiency and PM benefit,author_interpretation,T2-A002-C02,LOC-A002-0003,verified,Outcome is load-dependent and accompanied by noise/NOx tradeoffs.
MECH-A005-001,A005,A005-NOZZLES,paired-hole interaction,promotes,early entrainment,simulation_resolved,T2-A005-C01,LOC-A005-0002,verified,At equal penetration.
MECH-A005-002,A005,A005-NOZZLES,longer residence at 2<phi_g<6,promotes,soot formation and engine-out PM,author_interpretation,T2-A005-C02,LOC-A005-0002,verified,Mechanism reconciles increased entrainment with increased PM.
MECH-A009-001,A009,A009-RCM,ambient pressure and temperature,modifies,pilot chemical ignition delay and overlap sensitivity,direct_observation,T2-A009-C01,LOC-A009-0002,verified,Low reactivity gives adjacent gas more time to disturb pilot mixture formation.
MECH-A009-002,A009,A009-RCM,gas ignition timing relative to gas SOI,correlates_with,premixing degree and HRR shape,experimental_correlation,T2-A009-C02,LOC-A009-0002,verified,Used as a cross-condition organizing variable.
MECH-A011-001,A011,A011-OPTICAL,relative injection timing,modifies,premixing degree and combustion regime,direct_observation,T2-A011-C01,LOC-A011-0002,verified,Transition spans non-premixed to flame-propagation regimes.
MECH-A011-002,A011,A011-OPTICAL,injection pressure,promotes,mixing-controlled HRR after ignition,direct_observation,T2-A011-C02,LOC-A011-0002,verified,Separates ignition control from later mixing control.
MECH-A012-001,A012,A012-HPDI,pilot-derived heat and radicals,promotes,NG ignition,simulation_resolved,T2-A012-C01,LOC-A012-0003,verified,Pilot trigger is necessary for the simulated operating point.
