dimensionless_definition_id,paper_id,case_id,condition_id,parameter_record_id,dimensionless_name,symbol,formula_reported,definition_status,reference_velocity_parameter_id,reference_density_parameter_id,reference_length_parameter_id,reference_viscosity_parameter_id,reference_surface_tension_parameter_id,other_component_ids,parameter_context,reference_frame,source_locator_id,verification_status,notes
DIM-C014-020,C014,C014-C05,C014-C05,PAR-C014-0030,Mach,M,M∞: uniform post-shock freestream gas velocity/speed of sound,complete_reported,,,,,,,post_shock_freestream,NV,LOC-C014-0002,verified,All available definition components are linked.
DIM-C014-021,C014,C014-C06,C014-C06,PAR-C014-0033,We_reported,We,ρg ug²d0/σ; post-shock gas density and velocity,incomplete_reported,PAR-C014-0071,PAR-C014-0072,PAR-C014-0073,,PAR-C014-0074,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-022,C014,C014-C06,C014-C06,PAR-C014-0034,Oh_reported,Oh,μd/√(ρd d0 σ),incomplete_reported,,,PAR-C014-0073,,PAR-C014-0074,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-023,C014,C014-C06,C014-C06,PAR-C014-0035,Re_reported,Re,ρg ug d0/μg; post-shock gas properties,incomplete_reported,PAR-C014-0071,PAR-C014-0072,PAR-C014-0073,,,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-024,C014,C014-C06,C014-C06,PAR-C014-0036,Mach,M,M∞: uniform post-shock freestream gas velocity/speed of sound,complete_reported,,,,,,,post_shock_freestream,NV,LOC-C014-0002,verified,All available definition components are linked.
DIM-C014-025,C014,C014-C07,C014-C07,PAR-C014-0039,We_reported,We,ρg ug²d0/σ; post-shock gas density and velocity,incomplete_reported,PAR-C014-0075,PAR-C014-0076,PAR-C014-0077,,PAR-C014-0078,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-026,C014,C014-C07,C014-C07,PAR-C014-0040,Oh_reported,Oh,μd/√(ρd d0 σ),incomplete_reported,,,PAR-C014-0077,,PAR-C014-0078,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-027,C014,C014-C07,C014-C07,PAR-C014-0041,Re_reported,Re,ρg ug d0/μg; post-shock gas properties,incomplete_reported,PAR-C014-0075,PAR-C014-0076,PAR-C014-0077,,,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-028,C014,C014-C07,C014-C07,PAR-C014-0042,Mach,M,M∞: uniform post-shock freestream gas velocity/speed of sound,complete_reported,,,,,,,post_shock_freestream,NV,LOC-C014-0002,verified,All available definition components are linked.
DIM-C014-029,C014,C014-C08,C014-C08,PAR-C014-0045,We_reported,We,ρg ug²d0/σ; post-shock gas density and velocity,incomplete_reported,PAR-C014-0079,PAR-C014-0080,PAR-C014-0081,,PAR-C014-0082,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-030,C014,C014-C08,C014-C08,PAR-C014-0046,Oh_reported,Oh,μd/√(ρd d0 σ),incomplete_reported,,,PAR-C014-0081,,PAR-C014-0082,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-031,C014,C014-C08,C014-C08,PAR-C014-0047,Re_reported,Re,ρg ug d0/μg; post-shock gas properties,incomplete_reported,PAR-C014-0079,PAR-C014-0080,PAR-C014-0081,,,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-032,C014,C014-C08,C014-C08,PAR-C014-0048,Mach,M,M∞: uniform post-shock freestream gas velocity/speed of sound,complete_reported,,,,,,,post_shock_freestream,NV,LOC-C014-0002,verified,All available definition components are linked.
DIM-C016-001,C016,C016-C01,C016-C01,PAR-C016-0003,M_s,M_s,Incident shock velocity divided by sound speed ahead of shock,complete_reported,,,,,,,incident_shock,NV,LOC-C016-0002,verified,All available definition components are linked.
DIM-C016-002,C016,C016-C01,C016-C01,PAR-C016-0004,We_reported,We,ρa Vi²Di/σ with post-shock induced airflow,incomplete_reported,PAR-C016-0023,PAR-C016-0024,PAR-C016-0006,,PAR-C016-0025,,shock_droplet_loading,,LOC-C016-0003,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C016-003,C016,C016-C01,C016-C01,PAR-C016-0005,Re_reported,Re,ρa ViDi/μa with post-shock induced airflow,incomplete_reported,PAR-C016-0023,PAR-C016-0024,PAR-C016-0006,,,,shock_droplet_loading,,LOC-C016-0003,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C016-004,C016,C016-C02,C016-C02,PAR-C016-0008,M_s,M_s,Incident shock velocity divided by sound speed ahead of shock,complete_reported,,,,,,,incident_shock,NV,LOC-C016-0002,verified,All available definition components are linked.
DIM-C016-005,C016,C016-C02,C016-C02,PAR-C016-0009,We_reported,We,ρa Vi²Di/σ with post-shock induced airflow,incomplete_reported,PAR-C016-0026,PAR-C016-0027,PAR-C016-0011,,PAR-C016-0028,,shock_droplet_loading,,LOC-C016-0003,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C016-006,C016,C016-C02,C016-C02,PAR-C016-0010,Re_reported,Re,ρa ViDi/μa with post-shock induced airflow,incomplete_reported,PAR-C016-0026,PAR-C016-0027,PAR-C016-0011,,,,shock_droplet_loading,,LOC-C016-0003,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C016-007,C016,C016-C03,C016-C03,PAR-C016-0013,M_s,M_s,Incident shock velocity divided by sound speed ahead of shock,complete_reported,,,,,,,incident_shock,NV,LOC-C016-0002,verified,All available definition components are linked.
DIM-C016-008,C016,C016-C03,C016-C03,PAR-C016-0014,We_reported,We,ρa Vi²Di/σ with post-shock induced airflow,incomplete_reported,PAR-C016-0029,PAR-C016-0030,PAR-C016-0016,,PAR-C016-0031,,shock_droplet_loading,,LOC-C016-0003,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C016-009,C016,C016-C03,C016-C03,PAR-C016-0015,Re_reported,Re,ρa ViDi/μa with post-shock induced airflow,incomplete_reported,PAR-C016-0029,PAR-C016-0030,PAR-C016-0016,,,,shock_droplet_loading,,LOC-C016-0003,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C016-010,C016,C016-C04,C016-C04,PAR-C016-0018,M_s,M_s,Incident shock velocity divided by sound speed ahead of shock,complete_reported,,,,,,,incident_shock,NV,LOC-C016-0002,verified,All available definition components are linked.
DIM-C016-011,C016,C016-C04,C016-C04,PAR-C016-0019,We_reported,We,ρa Vi²Di/σ with post-shock induced airflow,incomplete_reported,PAR-C016-0032,PAR-C016-0033,PAR-C016-0021,,PAR-C016-0034,,shock_droplet_loading,,LOC-C016-0003,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C016-012,C016,C016-C04,C016-C04,PAR-C016-0020,Re_reported,Re,ρa ViDi/μa with post-shock induced airflow,incomplete_reported,PAR-C016-0032,PAR-C016-0033,PAR-C016-0021,,,,shock_droplet_loading,,LOC-C016-0003,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-D003-001,D003,D003-M01,D003-M01,PAR-D003-0005,shock_Mach_number,M_s,Inferred in paper from measured pressure amplitude using shock relation,complete_reported,,,,,,,incident_shock,NV,LOC-D003-0003,verified,All available definition components are linked.
DIM-C031-001,C031,ALL,ALL,PAR-C031-0009,We_reported,We,ρgug²D0/σ using post-shock gas,incomplete_reported,PAR-C031-0023,PAR-C031-0024,PAR-C031-0004,,PAR-C031-0008,,shock_droplet_loading,,LOC-C031-0004,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C031-002,C031,ALL,ALL,PAR-C031-0010,Oh_reported,Oh,μl/√(ρlD0σ),complete_reported,,PAR-C031-0006,PAR-C031-0004,PAR-C031-0007,PAR-C031-0008,,shock_droplet_loading,,LOC-C031-0004,verified,All available definition components are linked.
DIM-C031-003,C031,C031-C01,C031-C01,PAR-C031-0013,incident_shock_Mach,M_s,Incident planar shock Mach,complete_reported,,,,,,,incident_shock,NV,LOC-C031-0006,verified,All available definition components are linked.
DIM-C031-004,C031,C031-C02,C031-C02,PAR-C031-0015,incident_shock_Mach,M_s,Incident planar shock Mach,complete_reported,,,,,,,incident_shock,NV,LOC-C031-0006,verified,All available definition components are linked.
DIM-C031-005,C031,C031-C03,C031-C03,PAR-C031-0017,incident_shock_Mach,M_s,Incident planar shock Mach,complete_reported,,,,,,,incident_shock,NV,LOC-C031-0006,verified,All available definition components are linked.
DIM-C031-006,C031,C031-C04,C031-C04,PAR-C031-0019,incident_shock_Mach,M_s,Incident planar shock Mach,complete_reported,,,,,,,incident_shock,NV,LOC-C031-0007,verified,All available definition components are linked.
DIM-C031-007,C031,C031-C05,C031-C05,PAR-C031-0021,incident_shock_Mach,M_s,Incident planar shock Mach,complete_reported,,,,,,,incident_shock,NV,LOC-C031-0007,verified,All available definition components are linked.
DIM-D017-001,D017,ALL,ALL,PAR-D017-0009,We_reported,We,ρg u_rel² d_p/σ at nominal post-shock conditions,incomplete_reported,PAR-D017-0038,PAR-D017-0039,PAR-D017-0040,,PAR-D017-0041,,shock_droplet_loading,,LOC-D017-0001,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-A020-001,A020,ALL,ALL,PAR-A020-0008,shock_Mach_number,M_s,No imposed shock,complete_reported,,,,,,,unknown,NV,LOC-A020-0005,verified,All available definition components are linked.
DIM-A022-001,A022,ALL,ALL,PAR-A022-0007,shock_Mach_number,M_s,No imposed shock,complete_reported,,,,,,,unknown,NV,LOC-A022-0005,verified,All available definition components are linked.
DIM-A016-001,A016,ALL,ALL,PAR-A016-0006,shock_Mach_number,M_s,No imposed shock,complete_reported,,,,,,,unknown,NV,LOC-A016-0005,verified,All available definition components are linked.
DIM-B009-001,B009,,,PAR-B009-0031,Mach,Ma,local flow velocity / local speed of sound,complete_reported,,,,,,,jet_exit,injector_fixed,LOC-B009-0007,verified,Jet-exit context.
DIM-B009-002,B009,,,PAR-B009-0032,Mach,Ma,local flow velocity / local speed of sound,complete_reported,,,,,,,local_jet,injector_fixed,LOC-B009-0007,verified,In-nozzle maximum context.
DIM-C018-001,C018,,,PAR-C018-0007,We,We,rho_post*u_post^2*D0/sigma,complete_reported,PAR-C018-0009,PAR-C018-0010,PAR-C018-0011,,PAR-C018-0012,,post_shock_aerodynamic,droplet_fixed,LOC-C018-0003,verified,Component meanings linked; standalone numeric components remain source-limited NV.
DIM-C018-002,C018,,,PAR-C018-0008,Re,Re,rho_post*u_post*D0/mu,complete_reported,PAR-C018-0009,PAR-C018-0010,PAR-C018-0011,PAR-C018-0013,,,post_shock_aerodynamic,droplet_fixed,LOC-C018-0003,verified,Component meanings linked.
DIM-C018-003,C018,,,PAR-C018-0014,Mach,M_s,incident shock speed / pre-shock air speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C018-0003,verified,Incident shock propagation Mach; not local jet or detonation Mach.
DIM-C018-004,C018,,,PAR-C018-0015,Mach,M_s,incident shock speed / pre-shock air speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C018-0003,verified,Incident shock propagation Mach; not local jet or detonation Mach.
DIM-C018-005,C018,,,PAR-C018-0016,Mach,M_s,incident shock speed / pre-shock air speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C018-0003,verified,Incident shock propagation Mach; not local jet or detonation Mach.
DIM-C018-006,C018,,,PAR-C018-0017,Mach,M_s,incident shock speed / pre-shock air speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C018-0003,verified,Incident shock propagation Mach; not local jet or detonation Mach.
DIM-C018-007,C018,,,PAR-C018-0018,Mach,M_s,incident shock speed / pre-shock air speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C018-0003,verified,Incident shock propagation Mach; not local jet or detonation Mach.
DIM-C018-008,C018,,,PAR-C018-0019,Mach,M_s,incident shock speed / pre-shock air speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C018-0003,verified,Incident shock propagation Mach; not local jet or detonation Mach.
DIM-C018-009,C018,,,PAR-C018-0020,Mach,M_s,incident shock speed / pre-shock air speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C018-0003,verified,Incident shock propagation Mach; not local jet or detonation Mach.
DIM-C018-010,C018,,,PAR-C018-0021,Mach,M_s,incident shock speed / pre-shock air speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C018-0003,verified,Incident shock propagation Mach; not local jet or detonation Mach.
DIM-C018-011,C018,,,PAR-C018-0022,Mach,M_s,incident shock speed / pre-shock air speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C018-0003,verified,Incident shock propagation Mach; not local jet or detonation Mach.
DIM-C018-012,C018,,,PAR-C018-0023,Mach,M_s,incident shock speed / pre-shock air speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C018-0003,verified,Incident shock propagation Mach; not local jet or detonation Mach.
DIM-C018-013,C018,,,PAR-C018-0024,Mach,M_s,incident shock speed / pre-shock air speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C018-0003,verified,Incident shock propagation Mach; not local jet or detonation Mach.
DIM-C018-014,C018,,,PAR-C018-0025,Mach,M_s,incident shock speed / pre-shock air speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C018-0003,verified,Incident shock propagation Mach; not local jet or detonation Mach.
DIM-C024-001,C024,,,PAR-C024-0009,Weber number,We,rho_g v^2 d_p / sigma,complete_reported,PAR-C024-0003,PAR-C024-0004,PAR-C024-0007,,PAR-C024-0005,,post_shock_freestream,laboratory,LOC-C024-0002,verified,Numeric density and surface tension components remain NV; formula is explicit.
DIM-C024-002,C024,,,PAR-C024-0010,Weber number,We,rho_g v^2 d_p / sigma,complete_reported,PAR-C024-0003,PAR-C024-0004,PAR-C024-0008,,PAR-C024-0005,,post_shock_freestream,laboratory,LOC-C024-0002,verified,Numeric density and surface tension components remain NV; formula is explicit.
DIM-C025-001,C025,,,PAR-C025-0008,Weber number,We,post-shock rho_g Ur^2 d0 / sigma,incomplete_reported,PAR-C025-0003,PAR-C025-0004,PAR-C025-0002,,PAR-C025-0005,,post_shock_freestream,droplet_fixed,LOC-C025-0002,verified,Reference roles are explicit; numeric components remain NV.
DIM-C025-002,C025,,,PAR-C025-0009,Weber number,We,post-shock rho_g Ur^2 d0 / sigma,incomplete_reported,PAR-C025-0003,PAR-C025-0004,PAR-C025-0002,,PAR-C025-0005,,post_shock_freestream,droplet_fixed,LOC-C025-0002,verified,Reference roles are explicit; numeric components remain NV.
DIM-C015-001,C015,CORE,CORE,PAR-C015-0004,We,We,Experimental and numerical study of the behavior of water drops in a ﬂow behind incident shock wave at Weber num- ber We = 208–2260 was carried out to verify the mathemati- cal model of process and obtain new data based on two ap- proaches.,incomplete_reported,PAR-C015-0005,PAR-C015-0006,PAR-C015-0007,,PAR-C015-0008,,droplet_relative,droplet_fixed,LOC-C015-0002,verified,Reported Weber context retained; unverified atomic components are explicit NV records and no external properties were supplied.
DIM-C026-001,C026,CORE,CORE,PAR-C026-0004,We,We,"Droplet sizes ranged from 50 < 𝑑 0 < 200 [μm] using water, acetone, and dodecane, and shock wave Mach numbers between 1.3 < 𝑀 𝑖 < 2.1 generated Weber numbers in the range of 100 < 𝑊 𝑒 < 6000.",incomplete_reported,PAR-C026-0005,PAR-C026-0006,PAR-C026-0007,,PAR-C026-0008,,droplet_relative,droplet_fixed,LOC-C026-0002,verified,Reported Weber context retained; unverified atomic components are explicit NV records and no external properties were supplied.
DIM-C029-001,C029,,,PAR-C029-0009,Mach,M_s,shock propagation speed / preshock nitrogen speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C029-0010,verified,Incident shock.
DIM-C029-002,C029,,,PAR-C029-0014,We,We,rho_post*u_post^2*D0/sigma,complete_reported,PAR-C029-0012,PAR-C029-0011,PAR-C029-0004,,PAR-C029-0013,,post_shock_aerodynamic,droplet_fixed,LOC-C029-0007,verified,All component meanings linked; surface tension and We are approximate as reported.
DIM-C029-003,C029,,,PAR-C029-0016,Mach,M_s,shock propagation speed / preshock nitrogen speed of sound,complete_reported,,,,,,,incident_shock,laboratory,LOC-C029-0010,verified,Incident shock.
DIM-D019-001,D019,,,PAR-D019-0005,Mach,Ma,incident leading-shock propagation speed / preshock sound speed,complete_reported,,,,,,,incident_shock,laboratory,LOC-D019-0006,verified,Matched leading-shock strength.
DIM-D019-002,D019,,,PAR-D019-0006,We,We,,not_verified,PAR-D019-0011,PAR-D019-0010,PAR-D019-0002,,PAR-D019-0012,,post_wave_aerodynamic,droplet_fixed,LOC-D019-0002,verified,Value reported; formula/components not atomized by source.
DIM-D019-003,D019,,,PAR-D019-0007,We,We,,not_verified,PAR-D019-0011,PAR-D019-0010,PAR-D019-0002,,PAR-D019-0012,,post_wave_aerodynamic,droplet_fixed,LOC-D019-0002,verified,Value reported; formula/components not atomized by source.
DIM-D019-004,D019,,,PAR-D019-0008,Re,Re,,not_verified,PAR-D019-0011,PAR-D019-0010,PAR-D019-0002,PAR-D019-0013,,,post_wave_aerodynamic,droplet_fixed,LOC-D019-0002,verified,Value reported; formula/components not atomized by source.
DIM-D019-005,D019,,,PAR-D019-0009,Re,Re,,not_verified,PAR-D019-0011,PAR-D019-0010,PAR-D019-0002,PAR-D019-0013,,,post_wave_aerodynamic,droplet_fixed,LOC-D019-0002,verified,Value reported; formula/components not atomized by source.
DIM-C036-001,C036,C036-PARALLEL,C036-PARALLEL,PAR-C036-0005,We_reported,We,rho_g U_g^2 D / sigma_l,incomplete_reported,,,,,,,post_shock_aerodynamic,droplet_fixed,LOC-C036-0002,verified,The complete author formula and scale definitions are preserved; component IDs are omitted because this record summarizes multiple experimental cases.
DIM-C005-001,C005,C005-BREAKUP,C005-BREAKUP,PAR-C005-0001,We_reported,We,rho_g U_infinity^2 D0 / gamma,incomplete_reported,,,,,,,continuous_air_jet,droplet_fixed,LOC-C005-0002,verified,Author formula and scale meanings are verified; component records are omitted under Tier 3 scope.
