process_relation_id,paper_id,case_id,condition_id,source_process,relation_type,target_process,support_type,source_locator_id,verification_status,notes
PROC-B004-002,B004,B004-REV,B004-REV,near_field_underexpansion,precedes,far_field_self_similarity,author_interpretation,LOC-B004-0008,verified,Review framework preserves near/transition/far-field distinction.
PROC-B009-001,B009,ALL,ALL,NPR_increase,correlates_with,Mach_disk_dimension_increase,simulation_resolved,LOC-B009-0007,verified,Width sensitivity exceeded height sensitivity in the reported sweep.
PROC-B009-002,B009,B009-H2-NPR8.5;B009-CH4-NPR8.5,matched_NPR8.5,gas_specific_heat_ratio_difference,correlates_with,Mach_disk_geometry_difference,model_based,LOC-B009-0007,verified,Methane disk larger than hydrogen at matched NPR.
PROC-B009-003,B009,B009-H2-NPR8.5,B009-H2-NPR8.5,nozzle_exit_turbulence_and_Gortler_vortices,author_attributes_to,pre_Mach_disk_hydrogen_air_mixing,author_interpretation,LOC-B009-0007,verified,Causal wording retained as author attribution.
PROC-B009-004,B009,ALL,ALL,NPR_increase,correlates_with,non_monotonic_hydrogen_penetration,simulation_resolved,LOC-B009-0007,verified,Higher NPR did not necessarily increase penetration.
PROC-B028-001,B028,ALL,NPR_sweep,NPR_increase,promotes,shock_strength_momentum_and_entrainment,simulation_resolved,LOC-B028-0009,verified,Primary factor in this study; engine impingement caveat retained.
PROC-B028-002,B028,B028-NHD,NPR10_AT300,nozzle_hole_diameter_increase,promotes,shear_layer_growth_and_dispersion,experimental_correlation,LOC-B028-0009,verified,Saturation tendency at larger diameters.
PROC-B028-003,B028,B028-AT,NPR10_NHD1mm,ambient_temperature_increase,promotes,boundary_instability_and_lateral_expansion,experimental_correlation,LOC-B028-0009,verified,Secondary effect relative to NPR/NHD.
PROC-B028-004,B028,ALL,ALL,shock_vortex_interactions,couples_with,far_field_dispersion,model_based,LOC-B028-0001,verified,Dual-scale framework.
PROC-C007-001,C007,C007-REV,C007-REV,forcing_length_and_time_scale_compatibility,modifies,global_or_local_droplet_deformation,author_interpretation,LOC-C007-0006,verified,Review framework for nonuniform/unsteady flows.
PROC-C007-002,C007,C007-REV,C007-REV,supersonic_compressibility,suppresses,breakup_intensity_and_transverse_spread,author_interpretation,LOC-C007-0005,verified,Review synthesis; subsonic and supersonic effects are distinguished.
PROC-C007-003,C007,C007-REV,C007-REV,KHI_RTI_wave_cascade,precedes,ligament_mediated_fragmentation,author_interpretation,LOC-C007-0006,verified,Nonlinear multiscale mechanism.
PROC-C007-004,C007,C007-REV,C007-REV,ideal_shock_impulse,precedes,post_shock_aerodynamic_exposure,author_interpretation,LOC-C007-0004,verified,Review states the very short shock impulse alone barely deforms the interface; induced flow governs aerobreakup.
PROC-C018-001,C018,ALL,n_less_than_1,reflected_expansion_wave_convergence,correlates_with,negative_peak_pressure_location,simulation_resolved,LOC-C018-0006,verified,Alignment holds primarily at low gas-liquid wave-speed ratio.
PROC-C018-002,C018,ALL,high_n,Mach_stem_boundary_motion,modifies,internal_transmitted_wave_envelope_and_focus,model_based,LOC-C018-0007,verified,Improved theoretical model.
PROC-C018-003,C018,ALL,ALL,shock_relaxation_fluctuation_and_expansion_effects,couples_with,total_internal_pressure_drop_and_NPP,simulation_resolved,LOC-C018-0008,verified,Expansion-wave focusing is only one contribution.
PROC-C019-001,C019,C019-M24-W6,C019-M24-W6,divergent_shock_curvature,modifies,surface_normal_and_tangential_loading,simulation_resolved,LOC-C019-0006,verified,Divergent geometry weakens normal impingement and strengthens tangential loading relative to planar case.
PROC-C019-002,C019,C019-M24-W6,C019-M24-W6,combined_external_and_internal_wave_impingement,promotes,windward_fixed_point_and_KH_inception,model_based,LOC-C019-0007,verified,Authors' theoretical analysis connects fixed-point inception to transmitted-shock contact.
PROC-C024-001,C024,ALL,ALL,larger_parent_droplet_size,correlates_with,longer_child_cloud_survival,direct_observation,LOC-C024-0005,verified,Textual experimental trend.
PROC-C024-002,C024,ALL,ALL,rapid_small_droplet_acceleration,promotes,Rayleigh_Taylor_dominated_breakup,model_based,LOC-C024-0007,verified,CDC/KHRT interpretation; empirical models fit observations better.
PROC-C025-001,C025,ALL,ALL,windward_surface_piercing,promotes,rapid_mass_transfer_to_secondary_droplets,simulation_resolved,LOC-C025-0005,verified,Substantial mass transfer follows piercing after the induction interval.
PROC-C025-002,C025,ALL,ALL,instability_mode_difference,correlates_with,Mach_dependent_atomization_fraction,author_interpretation,LOC-C025-0006,verified,Authors state additional cases are required to establish a general trend.
PROC-C035-001,C035,ALL,ALL,lead_droplet_wake_shielding,suppresses,trailing_droplet_deformation_drag_and_breakup,direct_observation,LOC-C035-0006,verified,Effect strengthens with smaller spacing and lower We.
PROC-C035-002,C035,ALL,ALL,Weber_number_increase,correlates_with,smaller_critical_interaction_spacing,experimental_correlation,LOC-C035-0004,verified,Critical S halves from 10.8 to 5.4 across stated endpoints.
PROC-D018-001,D018,ALL,ALL,KHI_dominated_mass_stripping,precedes,coupled_KHI_RTI_piercing_and_catastrophic_breakup,direct_observation,LOC-D018-0005,verified,Two-stage breakup observed for both liquids.
PROC-D018-002,D018,ALL,ALL,post_detonation_adverse_pressure_gradient,suppresses,convection_shear_acceleration_and_deformation_rate,author_interpretation,LOC-D018-0006,verified,ZND/post-shock comparison supports interpretation.
PROC-D018-003,D018,ALL,ALL,higher_surface_tension,suppresses,interfacial_instability_growth_and_breakup_rate,experimental_correlation,LOC-D018-0008,verified,Water t*b is 27% above RP-3; cross-stream slope changes little.
PROC-A026-001,A026,ALL,energy_share_sweep,diesel_pilot_energy_and_spatial_extent_increase,promotes,initial_H2_ignition_volume_and_reaction_intensity,direct_observation,LOC-A026-0004,verified,Lower H2 share means a larger/more robust pilot.
PROC-A026-002,A026,ALL,timing_sweep,advanced_H2_injection,promotes,premixing_and_initial_heat_release,experimental_correlation,LOC-A026-0005,verified,Earlier timing reduces mixing-controlled duration.
PROC-A026-003,A026,A026-T30,A026-T30,preignition_H2_diesel_overlap_and_dilution,suppresses,diesel_pilot_autoignition_rate,author_interpretation,LOC-A026-0005,verified,Author uses likely/local dilution language; causality not upgraded beyond interpretation.
PROC-A028-001,A028,A028-REV,A028-REV,nozzle_geometry_and_pressure_ratio_definition,modifies,Mach_disk_correlation_applicability,author_interpretation,LOC-A028-0004,verified,Review-secondary synthesis.
PROC-A028-002,A028,A028-REV,A028-REV,higher_fidelity_turbulence_resolution,correlates_with,higher_computational_cost,author_interpretation,LOC-A028-0003,verified,Review assessment.
PROC-A029-001,A029,A029-REV,A029-REV,independent_two_fuel_injection_control,modifies,mixture_and_reactivity_stratification,author_interpretation,LOC-A029-0003,verified,Review-level framework.
PROC-A029-002,A029,A029-REV,A029-REV,ambient_oxygen_reduction,correlates_with,longer_H2_diesel_interaction_and_ignition_delay,author_interpretation,LOC-A029-0002,verified,"Secondary synthesis, not primary data."
PROC-A030-001,A030,A030-REV,A030-REV,relative_injection_duration_and_jet_momentum_balance,modifies,pilot_product_entrainment_flame_stabilization_and_heat_release,author_interpretation,LOC-A030-0002,verified,Review synthesis.
PROC-A030-002,A030,A030-REV,A030-REV,greater_jet_convergence_and_preignition_interaction,correlates_with,longer_ignition_delay_and_faster_postignition_front_transfer,author_interpretation,LOC-A030-0005,verified,Correlation/interpretation preserved without upgrading to universal causality.
PROC-A030-003,A030,A030-REV,A030-REV,lower_ambient_temperature,correlates_with,longer_main_fuel_ignition_delay_and_more_premixing,author_interpretation,LOC-A030-0005,verified,Review-level synthesis.
PROC-A013-001,A013,CORE,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,experimental_correlation,LOC-A013-0002,verified,"Regimes of PIDING combustion were identified as domains of RIT (repre- senting NG stratification) where pilot and NG combus- tion AHRR, and emissions behaved consistently with respect to variation of f g, Pinj, and RIT."
PROC-A014-001,A014,CORE,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,experimental_correlation,LOC-A014-0002,verified,"NG mixture evolution: Regardless of the operating condition or RIT, NG premixing takes place near the piston bowl wall prior to ignition, including operation where the gaseous fuel is injected after the pilot combustion."
PROC-A018-001,A018,CORE,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,experimental_correlation,LOC-A018-0002,verified,H2DDI combustion at controlled CA50 and up to 50% hydrogen energy fraction is feasible at all injection timings of hydrogen without pre-ignition or knocking.
PROC-A021-001,A021,CORE,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,experimental_correlation,LOC-A021-0002,verified,"When the injection and combustion periods of H 2 are longer than that of the diesel surrogate, peak AHRR occurs immediately after H 2 jet igni- tion, followed by a steady AHRR period until end of H 2 in- jection, unless the diesel surrogate injection and combustion duration surpasses premixed combustion, at which the AHRR profile becomes transient."
PROC-A024-001,A024,CORE,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,simulation_resolved,LOC-A024-0002,verified,A numerical study using three-dimensional computational ﬂuid dynamics is performed to investigate a diesel pilot ignited late high pressure direct gaseous hydrogen injection engine targeting non-premixed combustion and comparisons are made with the same engine running on methane.
PROC-A025-001,A025,CORE,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,simulation_resolved,LOC-A025-0002,verified,Computed results show that the proposed CFD methodology can also be used for diagnostic purposes since the flame index parameter could help understanding the nature of the H2DDI combustion process and how it shifts from diffusive to partially premixed by increasing the dwell time between main and pilot injection events.
PROC-B002-001,B002,CORE,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,simulation_resolved,LOC-B002-0002,verified,"An evaluation of selected notional nozzle approaches (Birch1984, Birch1987, Ewan, Schefer and Harstad) for CFD simulations of free-shear under-expanded round jets was presented."
PROC-B003-001,B003,CORE,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,simulation_resolved,LOC-B003-0002,verified,"It is observed how the nozzle pressure ratio inﬂuences the Mach disk width, and thereby the slip line separation, which leads to co-annular jets with inner and outer shear layers at higher pressure ratios."
PROC-B005-001,B005,CORE,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,LOC-B005-0002,verified,Understanding the behaviour of under-expanded jets is now becoming crucial to develop clean and efﬁcient combustion systems.
PROC-B007-001,B007,CORE,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,experimental_correlation,LOC-B007-0001,verified,"Jet exit shock structure was imaged by Schlieren photography, while quantitative Planar Laser Rayleigh Scatter imaging was used to measure instantaneous hydrogen mole fractions downstream of the Mach disk."
PROC-B012-001,B012,CORE,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,simulation_resolved,LOC-B012-0002,verified,"Additionally, direct comparison was performed between the mixing characteristics and vortical structures of hydrogen and methane jets issued into a ﬁxed volume air-ﬁlled ambient with P ∞ ≈ 10bar and T ∞ =600 K."
PROC-B016-001,B016,CORE,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,experimental_correlation,LOC-B016-0002,verified,The increase of Mach disk width promotes gas jet near-ﬁeld cone angle which has positive effect on mixing effect.
PROC-B017-001,B017,CORE,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,experimental_correlation,LOC-B017-0002,verified,"Stage I is a dynamic stage: the methane penetration velocity declines sharply, and both the methane tip penetration and the jet cone cover area rise."
PROC-B019-001,B019,CORE,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,simulation_resolved,LOC-B019-0002,verified,A varying degree of agreement was observed for the jet penetration length.
PROC-B023-001,B023,CORE,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,simulation_resolved,LOC-B023-0002,verified,"In the present paper, the suitability of a pressure-based PIMPLE-solver for large-eddy simulation of non-reactive, under-expanded, highly turbulent H 2 jets for engine applica- tions has been investigated for the ﬁrst time."
PROC-B024-001,B024,CORE,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,experimental_correlation,LOC-B024-0002,verified,The investigation was centred on the effect of above parameters on: - jet axial penetration; - development of jet area; - the impact of jet axial development to the jet area; - the shock waves transient.
PROC-B030-001,B030,CORE,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,experimental_correlation,LOC-B030-0002,verified,(4) The shock wave topology of extremely under-expanded jet is fundamentally dictated by the pressure ratio.
PROC-C001-001,C001,CORE,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,experimental_correlation,LOC-C001-0002,verified,"The general eﬀect is planar or centripetal squeeze (deformation), depending on the geometry of the obstacle and the magnitude of We."
PROC-C002-001,C002,CORE,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,experimental_correlation,LOC-C002-0001,verified,"This progression is known to be marked by transitions in morphology, the so-called breakup regimes, and correspondingly by /H20849critical/H20850Weber numbers that are intended to quantify the onsets of these transitions."
PROC-C006-001,C006,CORE,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,experimental_correlation,LOC-C006-0002,verified,"By comparison, past models have only been able to validate against very limited deformation data in the initiation phase, child droplet sizes and/or breakup morphology transitions with no comparison to the intermediate stages."
PROC-C010-001,C010,CORE,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,simulation_resolved,LOC-C010-0002,verified,"RT instability waves on the upstream side of the droplet are noticeably absent, providing support for SIE as the terminal breakup regime."
PROC-C015-001,C015,CORE,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,experimental_correlation,LOC-C015-0002,verified,Experimental and numerical study of the behavior of water drops in a ﬂow behind incident shock wave at Weber num- ber We = 208–2260 was carried out to verify the mathemati- cal model of process and obtain new data based on two ap- proaches.
PROC-C017-001,C017,CORE,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,simulation_resolved,LOC-C017-0002,verified,"Curiously enough, the question whether the shock wave itself may have any effect on the deformation and breakup process has not received much attention."
PROC-C020-001,C020,CORE,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,experimental_correlation,LOC-C020-0002,verified,"This deformation has been successfully predicted using the Taylor Analogy Breakup (TAB) model (O’Rourke and Amsden, 1986), which treats the droplet as a spring, mass, and damper system."
PROC-C022-001,C022,CORE,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,experimental_correlation,LOC-C022-0002,verified,"To investigate the spatial and droplet size distributions of the liquid- mist field, droplet breakup experiments were carried out on a horizontal shock tube."
PROC-C023-001,C023,CORE,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,simulation_resolved,LOC-C023-0002,verified,"The current study is mainly motivated by an interest in liquid-fueled detonation engines, including rotating detonation engines (RDEs), 14,15 pulse deto- nation engines (PDEs),16,17 and oblique detonation engines (ODEs),18,19 where the fuel droplet interacts with a shock wave and undergoes defor- mation, breakup, atomization, and vaporization before it mixes with air and subsequently enhances the detonation and deflagration."
PROC-C026-001,C026,CORE,CORE,aerodynamic_or_shock_loading,correlates_with,droplet_deformation_or_breakup,experimental_correlation,LOC-C026-0002,verified,"Experiments were conducted to examine the deformation, accelera- tion, evaporation, and initiation of breakup for small droplets at high Weber numbers."
PROC-C030-001,C030,CORE,CORE,vaporization_and_Stefan_flow,modifies,drop_deformation_breakup_and_drag,simulation_resolved,LOC-C030-0002,verified,"The Weber and Stefan numbers, and the liquid-to-gas density ratio, are varied to systematically study the effect of vaporization on the drop deformation/breakup and drag."
PROC-C033-001,C033,CORE,CORE,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,experimental_correlation,LOC-C033-0002,verified,"The attenuation was found to be dependent on the volume fraction ad, the droplet dimension /d, the exchange surface area Se, the Weber Number We, and the shock wave strength."
PROC-C034-001,C034,CORE,CORE,multidroplet_cloud_interaction,correlates_with,shock_attenuation_and_pressure_history,experimental_correlation,LOC-C034-0002,verified,"When the fragmentation of the droplets is not considered, the pressure induced by the transmitted shock wave was found to be overestimated."
PROC-D002-001,D002,CORE,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,experimental_correlation,LOC-D002-0002,verified,"The following conclusions could be drawn: (1) To predict the generation of shock waves, instead of the spray velocity at the spray tip, the velocity at the nozzle exit should be employed."
PROC-D005-001,D005,CORE,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,experimental_correlation,LOC-D005-0002,verified,Shock-wave generation during fuel injection could increase the spray penetration and reduce the spray angle.
PROC-D007-001,D007,CORE,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,simulation_resolved,LOC-D007-0002,verified,"A fundamental investigation on the stability of kerosene/air two-phase rotating detonation, focusing on the self-sustained propagation and quenching, is performed based on the hybrid Eulerian-Lagrangian two-phase ﬂow model with a simpliﬁed two- step reaction mechanism."
PROC-D010-001,D010,CORE,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,simulation_resolved,LOC-D010-0002,verified,The liquid properties show minimal variation in the azimuthal direction along the detonation wave.
PROC-D011-001,D011,CORE,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,simulation_resolved,LOC-D011-0001,verified,The hydrogen addition is implemented for combustion enhancement of the liquid kerosene and helps to ignite and achieve a self- sustained two-phase rotating detonation wave (RDW).
PROC-D013-001,D013,CORE,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,simulation_resolved,LOC-D013-0002,verified,"When the 20 μ m and 30 μ m droplets are adopted, the rotating detonation waves tend to be divided into two layers and form the λ -shaped shock structure."
PROC-D014-001,D014,CORE,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,simulation_resolved,LOC-D014-0002,verified,"Droplets close to the detonation wave undergo rapid evaporation and experience temperature spikes, while those further downstream encounter gradual temperature increases and slower evaporation rates."
PROC-D015-001,D015,CORE,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,experimental_correlation,LOC-D015-0002,verified,This study conducted experimental study of kerosene/air two-phase rotating detonation.
PROC-D016-001,D016,CORE,CORE,droplet_or_evaporation_condition,correlates_with,detonation_wave_response,experimental_correlation,LOC-D016-0002,verified,The breakup dynamics of water droplets induced by detonation waves under varying diameters and Mach numbers were experimentally investi- gated in the present study.
PROC-A003-001,A003,TARGET,TARGET,shorter_pilot_to_gas_injection_interval,correlates_with,heat_release_and_combustion_stability,experimental_correlation,LOC-A003-0002,verified,"Within the tested pilot-ignited direct-injection natural-gas engine, shorter injection interval and higher injection pressure changed peak heat release, combustion stability, and fuel economy."
PROC-A010-001,A010,TARGET,TARGET,natural_gas_pre_injection,promotes,premixing_and_soot_CO_reduction,model_based,LOC-A010-0002,verified,"In the validated 3D model, natural-gas pre-injection increased premixing and reduced soot and CO, with pressure-rise and NOx tradeoffs dependent on pre-injection proportion, timing, and EGR."
PROC-A017-001,A017,TARGET,TARGET,injector_flow_area_and_dispersion,modifies,mixture_formation_and_wall_impingement,experimental_correlation,LOC-A017-0002,verified,"Commercial-engine tests show that larger injector flow area can strengthen turbulence and mixture formation, but excessive dispersion increases wall impingement and unburned hydrocarbons."
PROC-A019-001,A019,TARGET,TARGET,hydrogen_injection_timing,modifies,premixed_vs_mixing_controlled_combustion,experimental_correlation,LOC-A019-0002,verified,"In the retrofitted H2DDI engine, early hydrogen injection produced predominantly premixed combustion, while late injection produced mixing-controlled hydrogen diffusion combustion with a crossover near the intermediate timing range."
PROC-A023-001,A023,TARGET,TARGET,split_hydrogen_injection_timing_and_energy,modifies,hydrogen_stratification_and_combustion_mode,experimental_correlation,LOC-A023-0002,verified,"In the tested split-injection strategy, early first hydrogen injection promoted a homogeneous premixed mixture, while later or higher-energy second injection increased stratification and mixing-controlled behavior."
PROC-B010-001,B010,TARGET,TARGET,gas_species_at_matched_NPR,modifies,downstream_shock_structure_and_mixing,simulation_resolved,LOC-B010-0002,verified,"At the same NPR, LES predicts similar Mach-barrel size for hydrogen and nitrogen but markedly different downstream shock cells, potential-core length, instability mode, and mixing development."
PROC-B014-001,B014,TARGET,TARGET,injector_valve_opening,precedes,self_similar_jet_development,direct_observation,LOC-B014-0002,verified,"For the outward-opening hydrogen injector, jet asymmetry and penetration constant evolve during valve opening and approach stable ranges, while axial concentration remains nonuniform downstream."
PROC-B015-001,B015,TARGET,TARGET,pressure_ratio_increase,correlates_with,penetration_volume_increase_and_entrainment_decrease,experimental_correlation,LOC-B015-0002,verified,"For the outward-opening injector, increasing pressure ratio increased axial/radial penetration and jet volume, while the reported entrainment rate decreased and spread angle was comparatively insensitive except at low ratios."
PROC-B020-001,B020,TARGET,TARGET,near_nozzle_shock_structure,suppresses,ambient_air_entrainment,direct_observation,LOC-B020-0002,verified,"The measured high-pressure methane jet separates into a near-nozzle shock-affected zone with force/impulse fluctuations and negligible entrainment, followed by a downstream zone with weaker shock influence and conserved impulse."
PROC-B022-001,B022,TARGET,TARGET,non_axisymmetric_exit_shape,modifies,shock_topology_axis_switching_and_mixing,simulation_resolved,LOC-B022-0002,verified,"Non-axisymmetric hydrogen-jet exit shapes generate different shock systems and nonuniform radial expansion, with axis switching and mixing/penetration differences correlated with boundary vorticity."
PROC-B025-001,B025,TARGET,TARGET,pressure_ratio_increase,promotes,Mach_disk_and_jet_volume_growth,simulation_resolved,LOC-B025-0002,verified,"The simulations report larger Mach-disk dimensions and jet volume with increasing pressure ratio, with principal mixing downstream of the Mach disk and along turbulent jet boundaries."
PROC-B027-001,B027,TARGET,TARGET,hydrogen_baroclinic_torque_and_nozzle_geometry,modifies,turbulent_mixing_outside_jet_core,simulation_resolved,LOC-B027-0002,verified,"Validated LES indicates that hydrogen enhances mixing outside the jet core through baroclinic effects, while pressure ratio and round-versus-annular geometry reorganize coherent structures and mixture formation."
PROC-C008-001,C008,TARGET,TARGET,post_shock_sonic_transition,modifies,early_deformation_acceleration_and_drag,simulation_resolved,LOC-C008-0002,verified,"For the simulated early breakup of water cylinders, transition to supersonic post-shock flow did not markedly change scaled drift, acceleration, or drag, and deformed diameter improved the near-constant drag representation."
PROC-C009-001,C009,TARGET,TARGET,Rayleigh_Taylor_instability,promotes,bag_to_multimode_breakup_morphology,simulation_resolved,LOC-C009-0001,verified,"The coupled compressible/incompressible simulations reproduce bag, bag-stamen, and multimode breakup and attribute morphology across the studied Weber range primarily to Rayleigh-Taylor instability."
PROC-C013-001,C013,TARGET,TARGET,azimuthal_sheet_modes_and_rupture,precedes,recurrent_ligament_shedding,simulation_resolved,LOC-C013-0001,verified,"Validated three-dimensional simulations and experiments show recurrent ligament formation after liquid-sheet rupture; the first shedding is weakly Weber-dependent, while later shedding is driven mainly by inertia and wake-vortex dynamics."
PROC-C027-001,C027,TARGET,TARGET,bow_shock_pressure_rise_and_liquid_volatility,modifies,droplet_superheating_and_vaporization,author_interpretation,LOC-C027-0002,verified,"The observed locally supersonic droplet vaporization is bounded by relative Mach number, bow-shock static-pressure rise, and test-liquid vapor pressure; lower shock pressure rise and higher volatility favor superheating effects."
PROC-C032-001,C032,TARGET,TARGET,droplet_heating_and_surface_tension_reduction,promotes,aerodynamic_breakup,model_based,LOC-C032-0002,verified,"For modeled n-decane droplets at We 15-90 and 600-1000 K, heating lowers surface tension and promotes breakup, especially at lower Weber number and higher gas temperature; lower volatility also leaves the liquid more breakup-prone than n-heptane."
PROC-D004-001,D004,TARGET,TARGET,reflected_shock_wave,suppresses,radial_spray_growth_and_air_entrainment,direct_observation,LOC-D004-0002,verified,"Schlieren experiments show that reflected shocks suppress radial spray growth, cone angle, volume, and air entrainment while having little effect on spray-tip penetration."
PROC-D006-001,D006,TARGET,TARGET,droplet_diameter_and_prevaporized_fraction,modifies,fuel_survival_and_detonation_wave_speed,model_based,LOC-D006-0001,verified,"In the two-dimensional RDC model, n-heptane droplet diameter and prevaporized fraction control whether droplets survive beyond the refill zone, the detonated fuel fraction, and a 5-30% detonation-speed deficit, with a non-monotonic minimum near the reported critical diameter."
PROC-D008-001,D008,TARGET,TARGET,bidisperse_small_droplet_fraction,promotes,rotating_detonation_stability,model_based,LOC-D008-0001,verified,"The simulations show complete refill-zone vaporization for very small droplets, destabilization/extinction as larger droplets persist and block replenishment, and stabilization when a small-droplet fraction is present in bidisperse sprays."
PROC-D012-001,D012,TARGET,TARGET,droplet_size_dependent_multistage_evaporation,modifies,reaction_zone_width_and_wave_multiplicity,model_based,LOC-D012-0002,verified,"The ethanol RDE simulations resolve initial refill-zone evaporation followed by droplet-size-dependent secondary/post-detonation evaporation; these stages broaden the reaction zone and participate in extinction, local explosion, shock collision, and changes in wave multiplicity."
PROC-A007-001,A007,A007-RCEM,A007-RCEM,strong_spatial_temporal_jet_interaction,suppresses,diesel_pilot_ignition,direct_observation,LOC-A007-0005,verified,Includes dilution/isolation from air entrainment and local cooling as author-attributed contributors.
PROC-A007-002,A007,A007-RCEM,A007-RCEM,proper_pilot_gas_overlap,promotes,natural_gas_ignition,experimental_correlation,LOC-A007-0005,verified,Trade-off with pilot ignition over much of the tested map.
PROC-A007-003,A007,A007-RCEM,A007-RCEM,gas_ignition_time_relative_to_gas_SOI,correlates_with,premixing_and_heat_release_shape,experimental_correlation,LOC-A007-0006,verified,Correlation is not asserted as universal beyond tested configuration.
