interval_id,paper_id,case_id,condition_id,interval_type,start_event_id,end_event_id,reported_duration,reported_unit,normalized_duration,normalized_unit,value_status,definition,source_locator_id,verification_status,notes
INT-A013-001,A013,CORE,CORE,SOI_separation,EVT-A013-001,EVT-A013-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-A013-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-A014-001,A014,CORE,CORE,SOI_separation,EVT-A014-001,EVT-A014-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-A014-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-A018-001,A018,CORE,CORE,SOI_separation,EVT-A018-001,EVT-A018-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-A018-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-A021-001,A021,CORE,CORE,SOI_separation,EVT-A021-001,EVT-A021-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-A021-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-A024-001,A024,CORE,CORE,SOI_separation,EVT-A024-001,EVT-A024-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-A024-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-A025-001,A025,CORE,CORE,SOI_separation,EVT-A025-001,EVT-A025-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-A025-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C001-001,C001,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C001-001,EVT-C001-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C001-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C002-001,C002,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C002-001,EVT-C002-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C002-0001,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C006-001,C006,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C006-001,EVT-C006-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C006-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C010-001,C010,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C010-001,EVT-C010-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C010-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C015-001,C015,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C015-001,EVT-C015-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C015-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C017-001,C017,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C017-001,EVT-C017-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C017-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C020-001,C020,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C020-001,EVT-C020-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C020-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C022-001,C022,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C022-001,EVT-C022-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C022-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C023-001,C023,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C023-001,EVT-C023-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C023-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C026-001,C026,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C026-001,EVT-C026-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C026-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C030-001,C030,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C030-001,EVT-C030-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C030-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C033-001,C033,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C033-001,EVT-C033-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C033-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-C034-001,C034,CORE,CORE,post_shock_aerodynamic_exposure,EVT-C034-001,EVT-C034-002,NV,,,,NV,Typed interval retained without collapsing distinct physical endpoints.,LOC-C034-0002,verified,A single comparison-ready duration was not safely verified; no value was inferred.
INT-A007-001,A007,A007-RCEM,A007-RCEM,SOI_separation,EVT-A007-002,EVT-A007-003,-2.5 to +1.5,ms,,,reported,Gas SOI minus pilot SOI.,LOC-A007-0002,verified,Signed operating range.
INT-B021-001,B021,B021-ICE,B021-ICE,injection_duration,EVT-B021-001,EVT-B021-002,4.9,ms,0.0049,s,reported,Modeled ICE injection interval.,LOC-B021-0005,verified,
