source_locator_id,paper_id,source_file,pdf_page,printed_page,section,subsection,figure,figure_panel,table,equation,appendix,raw_locator,locator_status,verification_status,notes
LOC-D003-0001,D003,02_PDF_Raw/D/D-IC-03_2018_Tetrault_JetInducedShockWave_UpstreamDropletCloud.pdf,1,64,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D003-0002,D003,02_PDF_Raw/D/D-IC-03_2018_Tetrault_JetInducedShockWave_UpstreamDropletCloud.pdf,3,66,,,,,1,,,"PDF p.3, Table 1",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D003-0003,D003,02_PDF_Raw/D/D-IC-03_2018_Tetrault_JetInducedShockWave_UpstreamDropletCloud.pdf,5,68,pressure analysis,,,,,,,"PDF p.5, pressure analysis",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D003-0004,D003,02_PDF_Raw/D/D-IC-03_2018_Tetrault_JetInducedShockWave_UpstreamDropletCloud.pdf,9,72,response discussion,,,,,,,"PDF p.9, response discussion",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D003-0005,D003,02_PDF_Raw/D/D-IC-03_2018_Tetrault_JetInducedShockWave_UpstreamDropletCloud.pdf,6,69,assumptions,,,,,,,"PDF p.6, model assumptions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B013-0001,B013,02_PDF_Raw/B/B-H2-08_2017_Tang_82MPa_HydrogenJet_AMR_MachDisk.pdf,1,7120,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B013-0002,B013,02_PDF_Raw/B/B-H2-08_2017_Tang_82MPa_HydrogenJet_AMR_MachDisk.pdf,5,7124,,,,,1,,,"PDF p.5, Table 1",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B013-0003,B013,02_PDF_Raw/B/B-H2-08_2017_Tang_82MPa_HydrogenJet_AMR_MachDisk.pdf,14,7133,Conclusions,,,,,,,"PDF p.14, Conclusions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B013-0004,B013,02_PDF_Raw/B/B-H2-08_2017_Tang_82MPa_HydrogenJet_AMR_MachDisk.pdf,11,7130,results,,,,,,,"PDF p.11, transient results",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B013-0005,B013,02_PDF_Raw/B/B-H2-08_2017_Tang_82MPa_HydrogenJet_AMR_MachDisk.pdf,12,7131,,,17–18,,,,,"PDF p.12, Figs. 17–18",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B029-0001,B029,02_PDF_Raw/B/B-E-09_2026_Sang_InjectorPressureBuildUp_Underexpanded_HydrogenJet.pdf,1,24028,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B029-0002,B029,02_PDF_Raw/B/B-E-09_2026_Sang_InjectorPressureBuildUp_Underexpanded_HydrogenJet.pdf,3,24030,,,1,,,,,"PDF p.3, Fig. 1",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B029-0003,B029,02_PDF_Raw/B/B-E-09_2026_Sang_InjectorPressureBuildUp_Underexpanded_HydrogenJet.pdf,3,24030,method,,,,,,,"PDF p.3, method",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B029-0004,B029,02_PDF_Raw/B/B-E-09_2026_Sang_InjectorPressureBuildUp_Underexpanded_HydrogenJet.pdf,3,24030,definition,,,,,,,"PDF p.3, definition",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B029-0005,B029,02_PDF_Raw/B/B-E-09_2026_Sang_InjectorPressureBuildUp_Underexpanded_HydrogenJet.pdf,5,24032,,,,,,,,"PDF p.5, pressure trace",partial,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B029-0006,B029,02_PDF_Raw/B/B-E-09_2026_Sang_InjectorPressureBuildUp_Underexpanded_HydrogenJet.pdf,9,24036,results,,,,,,,"PDF p.9, results",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B029-0007,B029,02_PDF_Raw/B/B-E-09_2026_Sang_InjectorPressureBuildUp_Underexpanded_HydrogenJet.pdf,7,24034,,,,,3,,,"PDF p.7, Table 3",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C031-0001,C031,02_PDF_Raw/C/C-PC-05_2025_Song_3D_PhaseChange_ShockDroplet_Interaction.pdf,1,,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C031-0002,C031,02_PDF_Raw/C/C-PC-05_2025_Song_3D_PhaseChange_ShockDroplet_Interaction.pdf,8,033358-7,,,,,II,,,"PDF p.8, Table II",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C031-0003,C031,02_PDF_Raw/C/C-PC-05_2025_Song_3D_PhaseChange_ShockDroplet_Interaction.pdf,8,033358-7,baseline case,,,,,,,"PDF p.8, baseline case",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C031-0004,C031,02_PDF_Raw/C/C-PC-05_2025_Song_3D_PhaseChange_ShockDroplet_Interaction.pdf,8,033358-7,,,,,,,,"PDF p.8, baseline",partial,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C031-0005,C031,02_PDF_Raw/C/C-PC-05_2025_Song_3D_PhaseChange_ShockDroplet_Interaction.pdf,6,033358-5,model coefficients,,,,,,,"PDF p.6, model coefficients",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C031-0006,C031,02_PDF_Raw/C/C-PC-05_2025_Song_3D_PhaseChange_ShockDroplet_Interaction.pdf,8,033358-7,definition,,,,,,,"PDF p.8, case definition",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C031-0007,C031,02_PDF_Raw/C/C-PC-05_2025_Song_3D_PhaseChange_ShockDroplet_Interaction.pdf,18,033358-17,definition,,,,,,,"PDF p.18, case definition",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D017-0001,D017,02_PDF_Raw/D/D-DW-02_2025_Young_DropletBreakup_Evaporation_LiquidFueledDetonations.pdf,1,1,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D017-0002,D017,02_PDF_Raw/D/D-DW-02_2025_Young_DropletBreakup_Evaporation_LiquidFueledDetonations.pdf,5,5,method,,,,,,,"PDF p.5, methods",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D017-0003,D017,02_PDF_Raw/D/D-DW-02_2025_Young_DropletBreakup_Evaporation_LiquidFueledDetonations.pdf,6,6,results,,,,,,,"PDF p.6, results",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D017-0004,D017,02_PDF_Raw/D/D-DW-02_2025_Young_DropletBreakup_Evaporation_LiquidFueledDetonations.pdf,4,4,,,,,2,,,"PDF p.4, Table 2",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D017-0005,D017,02_PDF_Raw/D/D-DW-02_2025_Young_DropletBreakup_Evaporation_LiquidFueledDetonations.pdf,6,6,,,,,,,,"PDF p.6, image processing",partial,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D017-0006,D017,02_PDF_Raw/D/D-DW-02_2025_Young_DropletBreakup_Evaporation_LiquidFueledDetonations.pdf,8,8,model setup,,,,,,,"PDF p.8, model setup",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D017-0007,D017,02_PDF_Raw/D/D-DW-02_2025_Young_DropletBreakup_Evaporation_LiquidFueledDetonations.pdf,9,9,,,,,4,,,"PDF p.9, Table 4",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A020-0001,A020,02_PDF_Raw/A/A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,1,766,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A020-0002,A020,02_PDF_Raw/A/A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,2,767,,,,,1,,,"PDF p.2, Table 1",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A020-0003,A020,02_PDF_Raw/A/A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,3,768,,,,,2,,,"PDF p.3, Table 2",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A020-0004,A020,02_PDF_Raw/A/A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,4,769,,,,,,,,"PDF p.4, Injection settings",partial,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A020-0005,A020,02_PDF_Raw/A/A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,1,766,study configuration,,,,,,,"PDF p.1, study configuration",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A020-0006,A020,02_PDF_Raw/A/A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,4,769,,,,,3,,,"PDF p.4, Table 3",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A020-0007,A020,02_PDF_Raw/A/A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,7,772,definitions,,,,,,,"PDF p.7, definitions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A022-0001,A022,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,1,172,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A022-0002,A022,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,4,175,,,,,2,,,"PDF p.4, Table 2",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A022-0003,A022,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,4,175,injection conditions,,,,,,,"PDF p.4, injection conditions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A022-0004,A022,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,12,183,3.4,,,,,,,"PDF p.12, Sec. 3.4",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A022-0005,A022,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,1,172,study configuration,,,,,,,"PDF p.1, study configuration",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A022-0006,A022,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,3,174,,,2 and Table 2,,2,,,"PDF p.3, Fig. 2 and Table 2",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A022-0007,A022,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,3,174,,,,,1,,,"PDF p.3, Table 1",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A016-0001,A016,02_PDF_Raw/A/A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,1,1,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A016-0002,A016,02_PDF_Raw/A/A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,4,4,CFD model,,,,,,,"PDF p.4, CFD model",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A016-0003,A016,02_PDF_Raw/A/A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,3,3,,,,,,,,"PDF p.3, model",partial,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A016-0004,A016,02_PDF_Raw/A/A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,4,4,,,,,,,,"PDF p.4, model",partial,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A016-0005,A016,02_PDF_Raw/A/A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,1,1,study configuration,,,,,,,"PDF p.1, study configuration",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A016-0006,A016,02_PDF_Raw/A/A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,9,9,,,,,5,,,"PDF p.9, Table 5",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A016-0007,A016,02_PDF_Raw/A/A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,9,9,,,15–17,,,,,"PDF p.9, Figs. 15–17",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A016-0008,A016,02_PDF_Raw/A/A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,12,12,Conclusions,,,,,,,"PDF p.12, Conclusions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D009-0001,D009,02_PDF_Raw/D/D-RDE-04_2022_Wen_DropletLaden_RotatingDetonation_PropagationStability.pdf,1,1,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D009-0002,D009,02_PDF_Raw/D/D-RDE-04_2022_Wen_DropletLaden_RotatingDetonation_PropagationStability.pdf,3,3,,,,,,6,,"PDF p.3, Eq. 6",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D009-0003,D009,02_PDF_Raw/D/D-RDE-04_2022_Wen_DropletLaden_RotatingDetonation_PropagationStability.pdf,3,3,,,,,,10,,"PDF p.3, Eq. 10",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D009-0004,D009,02_PDF_Raw/D/D-RDE-04_2022_Wen_DropletLaden_RotatingDetonation_PropagationStability.pdf,2,2,assumptions,,,,,,,"PDF p.2, assumptions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D009-0005,D009,02_PDF_Raw/D/D-RDE-04_2022_Wen_DropletLaden_RotatingDetonation_PropagationStability.pdf,10,10,,,,,2,,,"PDF p.10, Table 2",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D009-0006,D009,02_PDF_Raw/D/D-RDE-04_2022_Wen_DropletLaden_RotatingDetonation_PropagationStability.pdf,12,12,,,,,3,,,"PDF p.12, Table 3",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D009-0007,D009,02_PDF_Raw/D/D-RDE-04_2022_Wen_DropletLaden_RotatingDetonation_PropagationStability.pdf,12,12,,,,,3–4,,,"PDF p.12, Tables 3–4",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A016-0009,A016,02_PDF_Raw/A/A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,12,12,Conclusion item 1,,,,,,,"PDF p.12, Conclusion item 1",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A016-0010,A016,02_PDF_Raw/A/A-NG-16_2025_Lian_DieselNG_Interaction_LES_HPDI_DualFuel.pdf,12,12,Conclusion item 2,,,,,,,"PDF p.12, Conclusion item 2",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A020-0008,A020,02_PDF_Raw/A/A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,16,781,Conclusions,,,,,,,"PDF p.16, Conclusions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A020-0009,A020,02_PDF_Raw/A/A-H2-03_2023_Rorimpandey_H2DDI_Combustion_CI_Conditions.pdf,16,781,,,,,,,,"PDF p.16, Conclusion item 4",partial,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-A022-0008,A022,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,14,185,,,,,,,,"PDF p.14, Conclusion item 3",partial,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B011-0007,B011,02_PDF_Raw/B/B-H2-06_2016_Hamzehloo_GasDynamics_Hydrogen_MethaneJets_NPR.pdf,21,6564,Conclusions,,,,,,,"PDF p.21, Conclusions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B013-0006,B013,02_PDF_Raw/B/B-H2-08_2017_Tang_82MPa_HydrogenJet_AMR_MachDisk.pdf,12,7131,discussion,,17–18 and discussion,,,,,"PDF p.12, Figs. 17–18 and discussion",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B029-0008,B029,02_PDF_Raw/B/B-E-09_2026_Sang_InjectorPressureBuildUp_Underexpanded_HydrogenJet.pdf,9,24036,discussion,,8–12 and discussion,,,,,"PDF p.9, Figs. 8–12 and discussion",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B029-0009,B029,02_PDF_Raw/B/B-E-09_2026_Sang_InjectorPressureBuildUp_Underexpanded_HydrogenJet.pdf,7,24034,,,,,3 and pressure histories,,,"PDF p.7, Table 3 and pressure histories",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C014-0003,C014,02_PDF_Raw/C/C-SD-07_2020_Wang_MachNumber_DropletAerobreakup_ShearStripping.pdf,15,15,4 Conclusions,,,,,,,"PDF p.15, Sec. 4 Conclusions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C014-0004,C014,02_PDF_Raw/C/C-SD-07_2020_Wang_MachNumber_DropletAerobreakup_ShearStripping.pdf,5,5,,,,,1 and Eqs. 1–3,1–3,,"PDF p.5, Table 1 and Eqs. 1–3",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C016-0005,C016,02_PDF_Raw/C/C-SD-09_2021_Sharma_ShockInduced_DropletAerobreakup.pdf,29,A27-29,Conclusions,,,,,,,"PDF p.29, Conclusions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C031-0008,C031,02_PDF_Raw/C/C-PC-05_2025_Song_3D_PhaseChange_ShockDroplet_Interaction.pdf,20,033358-19,Conclusions,,,,,,,"PDF p.20, Conclusions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C031-0009,C031,02_PDF_Raw/C/C-PC-05_2025_Song_3D_PhaseChange_ShockDroplet_Interaction.pdf,19,033358-18,,,16,,,,,"PDF p.19, Fig. 16",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D003-0006,D003,02_PDF_Raw/D/D-IC-03_2018_Tetrault_JetInducedShockWave_UpstreamDropletCloud.pdf,10,73,Conclusions,,,,,,,"PDF p.10, Conclusions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D003-0007,D003,02_PDF_Raw/D/D-IC-03_2018_Tetrault_JetInducedShockWave_UpstreamDropletCloud.pdf,9,72,discussion,,12–13 and discussion,,,,,"PDF p.9, Figs. 12–13 and discussion",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D009-0008,D009,02_PDF_Raw/D/D-RDE-04_2022_Wen_DropletLaden_RotatingDetonation_PropagationStability.pdf,3,3,,,,,,6–10,,"PDF p.3, Eqs. 6–10",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D009-0009,D009,02_PDF_Raw/D/D-RDE-04_2022_Wen_DropletLaden_RotatingDetonation_PropagationStability.pdf,12,12,discussion,,,,3 and quench discussion,,,"PDF p.12, Table 3 and quench discussion",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D017-0008,D017,02_PDF_Raw/D/D-DW-02_2025_Young_DropletBreakup_Evaporation_LiquidFueledDetonations.pdf,10,10,Conclusions,,,,,,,"PDF p.10, Conclusions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-D017-0009,D017,02_PDF_Raw/D/D-DW-02_2025_Young_DropletBreakup_Evaporation_LiquidFueledDetonations.pdf,9–10,,,,,,,,,PDF pp.9–10,partial,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C031-0010,C031,02_PDF_Raw/C/C-PC-05_2025_Song_3D_PhaseChange_ShockDroplet_Interaction.pdf,9–20,,,,,,,,,PDF pp.9–20,partial,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B004-0001,B004,02_PDF_Raw/B/B-T-04_2015_Franquet_FreeUnderexpanded_Jets_Review.pdf,1,25,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Review scope.
LOC-B004-0002,B004,02_PDF_Raw/B/B-T-04_2015_Franquet_FreeUnderexpanded_Jets_Review.pdf,3,27,2. Forewords,,,,,1-4,,"PDF p.3, Eqs. (1)-(4)",complete,verified,Definitions of total and exit pressure ratios.
LOC-B004-0003,B004,02_PDF_Raw/B/B-T-04_2015_Franquet_FreeUnderexpanded_Jets_Review.pdf,5,29,3.2 Near field zone,,5-7,,,,,"PDF p.5, Section 3.2, Figs. 5-7",complete,verified,"Moderate, high, and very high underexpansion taxonomy."
LOC-B004-0004,B004,02_PDF_Raw/B/B-T-04_2015_Franquet_FreeUnderexpanded_Jets_Review.pdf,7,31,4.1.1 Position,,8-9,,,5-8,,"PDF p.7, Section 4.1.1, Eqs. (5)-(8)",complete,verified,Review meta-fit for Mach-disk position.
LOC-B004-0005,B004,02_PDF_Raw/B/B-T-04_2015_Franquet_FreeUnderexpanded_Jets_Review.pdf,9,33,4.1.2 Diameter,,10-11,,,9-12,,"PDF p.9, Section 4.1.2, Eqs. (9)-(12)",complete,verified,Review synthesis emphasizes correlation uncertainty.
LOC-B004-0006,B004,02_PDF_Raw/B/B-T-04_2015_Franquet_FreeUnderexpanded_Jets_Review.pdf,11,35,4.1.4 Conclusion,,,,,,,"PDF p.11, Section 4.1.4",complete,verified,Mach-disk knowledge assessment.
LOC-B004-0007,B004,02_PDF_Raw/B/B-T-04_2015_Franquet_FreeUnderexpanded_Jets_Review.pdf,22,46,5.3 Conclusion,,,,,,,"PDF p.22, Section 5.3",complete,verified,Far-field similarity and notional-nozzle assessment.
LOC-B004-0008,B004,02_PDF_Raw/B/B-T-04_2015_Franquet_FreeUnderexpanded_Jets_Review.pdf,24,48,8. Conclusion,,,,,,,"PDF p.24, Section 8",complete,verified,Review-level consensus and gaps.
LOC-B009-0001,B009,02_PDF_Raw/B/B-H2-04_2014_Hamzehloo_LES_Underexpanded_Hydrogen_MethaneJets.pdf,1,21275,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Cases and principal findings.
