history_id,paper_id,case_id,condition_id,variable_name,variable_role,parameter_context,time_reference_event_id,history_type,data_availability,start_time,end_time,time_unit,source_locator_id,reported_or_derived,verification_status,notes
HIST-C018-001,C018,ALL,shock_Mach_sweep,minimum internal pressure,simulated_output,negative_peak_pressure,EVT-C018-001,pressure_history,figure_only,0,,t*,LOC-C018-0005,reported,verified,Figure-only; no digitization.
HIST-C018-002,C018,ALL,shock_Mach_and_liquid_sweep,NPP location versus gas-liquid wave-speed ratio,simulated_output,internal_droplet,EVT-C018-001,other,figure_only,,,,LOC-C018-0006,reported,verified,"Parameter-sweep curve, not a time series; registry preserves figure-only availability."
HIST-C019-001,C019,C019-M24-W6,C019-M24-W6,droplet deformation and global dynamics,simulated_output,divergent_shock_droplet,EVT-C019-001,other,figure_only,0,0.80,t*,LOC-C019-0008,reported,verified,Only explicit labels and textual trends retained; no figure digitization.
HIST-C024-001,C024,ALL,ALL,child droplet cloud dimensions and scattered-light intensity,measured_output,post_breakup_cloud,EVT-C024-001,evaporation_history,figure_only,0,300,us,LOC-C024-0005,reported,verified,No plotted points digitized.
HIST-C025-001,C025,C025-M2,C025-M2,secondary droplet size and mass distributions,simulated_output,secondary_atomization,EVT-C025-001,mass_history,figure_only,0,2,tau,LOC-C025-0005,reported,verified,Only explicit textual percentages and distribution peaks retained.
HIST-C025-002,C025,C025-M3,C025-M3,secondary droplet size and mass distributions,simulated_output,secondary_atomization,EVT-C025-002,mass_history,figure_only,0,2.25,tau,LOC-C025-0005,reported,verified,Only explicit textual percentages and distribution peaks retained.
HIST-C035-001,C035,ALL,ALL,tandem droplet morphology and early-stage metrics versus spacing,measured_output,tandem_breakup,EVT-C035-001,other,figure_only,0,NR,T,LOC-C035-0006,reported,verified,Seven S values; no figure digitization.
HIST-D018-001,D018,ALL,ALL,nondimensional cross-stream diameter and displacement,measured_output,detonation_droplet,EVT-D018-001,other,figure_only,0,NR,t*,LOC-D018-0006,reported,verified,Explicit fit coefficients retained; points not digitized.
HIST-A026-001,A026,ALL,energy_share_sweep,"cylinder pressure, aHRR, flame area and luminosity versus crank angle",measured_output,energy_share_sweep,EVT-A026-001,heat_release_history,figure_only,NR,NR,CA,LOC-A026-0004,reported,verified,Explicit qualitative trends retained; curves not digitized.
HIST-A026-002,A026,ALL,timing_sweep,"cylinder pressure, aHRR, ignition delay and flame development versus crank angle",measured_output,H2_timing_sweep,EVT-A026-001,heat_release_history,figure_only,NR,NR,CA,LOC-A026-0005,reported,verified,No figure digitization.
HIST-A013-001,A013,CORE,CORE,mixing/ignition,reported chapter-core evolution,mixing/ignition,,heat_release_history,qualitative_only,,,,LOC-A013-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-A014-001,A014,CORE,CORE,mixing/ignition,reported chapter-core evolution,mixing/ignition,,heat_release_history,qualitative_only,,,,LOC-A014-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-A018-001,A018,CORE,CORE,mixing/ignition,reported chapter-core evolution,mixing/ignition,,heat_release_history,qualitative_only,,,,LOC-A018-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-A021-001,A021,CORE,CORE,mixing/ignition,reported chapter-core evolution,mixing/ignition,,heat_release_history,qualitative_only,,,,LOC-A021-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-A024-001,A024,CORE,CORE,mixing/ignition,reported chapter-core evolution,mixing/ignition,,heat_release_history,qualitative_only,,,,LOC-A024-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-A025-001,A025,CORE,CORE,mixing/ignition,reported chapter-core evolution,mixing/ignition,,heat_release_history,qualitative_only,,,,LOC-A025-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-B002-001,B002,CORE,CORE,underexpanded jet physics,reported chapter-core evolution,underexpanded jet physics,,Mach_disk_position_history,qualitative_only,,,,LOC-B002-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-B003-001,B003,CORE,CORE,underexpanded jet physics,reported chapter-core evolution,underexpanded jet physics,,Mach_disk_position_history,qualitative_only,,,,LOC-B003-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-B005-001,B005,CORE,CORE,underexpanded jet physics,reported chapter-core evolution,underexpanded jet physics,,Mach_disk_position_history,qualitative_only,,,,LOC-B005-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-B007-001,B007,CORE,CORE,underexpanded jet physics,reported chapter-core evolution,underexpanded jet physics,,Mach_disk_position_history,qualitative_only,,,,LOC-B007-0001,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-B012-001,B012,CORE,CORE,underexpanded jet physics,reported chapter-core evolution,underexpanded jet physics,,Mach_disk_position_history,qualitative_only,,,,LOC-B012-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-B016-001,B016,CORE,CORE,underexpanded jet physics,reported chapter-core evolution,underexpanded jet physics,,Mach_disk_position_history,qualitative_only,,,,LOC-B016-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-B017-001,B017,CORE,CORE,underexpanded jet physics,reported chapter-core evolution,underexpanded jet physics,,Mach_disk_position_history,qualitative_only,,,,LOC-B017-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-B019-001,B019,CORE,CORE,underexpanded jet physics,reported chapter-core evolution,underexpanded jet physics,,Mach_disk_position_history,qualitative_only,,,,LOC-B019-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-B023-001,B023,CORE,CORE,underexpanded jet physics,reported chapter-core evolution,underexpanded jet physics,,Mach_disk_position_history,qualitative_only,,,,LOC-B023-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-B024-001,B024,CORE,CORE,underexpanded jet physics,reported chapter-core evolution,underexpanded jet physics,,Mach_disk_position_history,qualitative_only,,,,LOC-B024-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-B030-001,B030,CORE,CORE,underexpanded jet physics,reported chapter-core evolution,underexpanded jet physics,,Mach_disk_position_history,qualitative_only,,,,LOC-B030-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C001-001,C001,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C001-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C002-001,C002,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C002-0001,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C006-001,C006,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C006-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C010-001,C010,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C010-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C015-001,C015,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C015-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C017-001,C017,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C017-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C020-001,C020,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C020-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C022-001,C022,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C022-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C023-001,C023,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C023-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C026-001,C026,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C026-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C030-001,C030,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C030-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C033-001,C033,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C033-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-C034-001,C034,CORE,CORE,droplet breakup,reported chapter-core evolution,droplet breakup,,other,qualitative_only,,,,LOC-C034-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-D002-001,D002,CORE,CORE,RDE/detonation application,reported chapter-core evolution,RDE/detonation application,,evaporation_history,qualitative_only,,,,LOC-D002-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-D005-001,D005,CORE,CORE,RDE/detonation application,reported chapter-core evolution,RDE/detonation application,,other,qualitative_only,,,,LOC-D005-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-D007-001,D007,CORE,CORE,RDE/detonation application,reported chapter-core evolution,RDE/detonation application,,evaporation_history,qualitative_only,,,,LOC-D007-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-D010-001,D010,CORE,CORE,RDE/detonation application,reported chapter-core evolution,RDE/detonation application,,evaporation_history,qualitative_only,,,,LOC-D010-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-D011-001,D011,CORE,CORE,RDE/detonation application,reported chapter-core evolution,RDE/detonation application,,evaporation_history,qualitative_only,,,,LOC-D011-0001,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-D013-001,D013,CORE,CORE,RDE/detonation application,reported chapter-core evolution,RDE/detonation application,,evaporation_history,qualitative_only,,,,LOC-D013-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-D014-001,D014,CORE,CORE,RDE/detonation application,reported chapter-core evolution,RDE/detonation application,,evaporation_history,qualitative_only,,,,LOC-D014-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-D015-001,D015,CORE,CORE,RDE/detonation application,reported chapter-core evolution,RDE/detonation application,,evaporation_history,qualitative_only,,,,LOC-D015-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-D016-001,D016,CORE,CORE,RDE/detonation application,reported chapter-core evolution,RDE/detonation application,,other,qualitative_only,,,,LOC-D016-0002,reported,verified,Qualitative/time-evolution context registered; no figure-only curve digitized.
HIST-A007-001,A007,A007-RCEM,A007-RCEM,heat release rate,measured_output,pilot_and_natural_gas_combustion,EVT-A007-002,heat_release_history,figure_only,,,,LOC-A007-0006,reported,verified,Paper-reported pressure-derived HRR; curves were not digitized.
HIST-B021-001,B021,B021-ICE,B021-ICE,NPR,operating_condition,ICE_time_varying_pressure_ratio,EVT-B021-001,NPR_history,explicit_text_values,0,4.9,ms,LOC-B021-0005,reported,verified,Explicit endpoints and selected times are stated; full curve not digitized.
HIST-B021-002,B021,B021-ICE,B021-ICE,Mach-disk height,simulated_output,Mach_disk,EVT-B021-001,Mach_disk_position_history,explicit_tabulated,0,4,ms,LOC-B021-0005,reported,verified,Table 4 values registered; no interpolation.
HIST-C029-001,C029,C029-TEMP,C029-TEMP,flow circulation,simulated_output,temperature_sweep,,other,figure_only,,,,LOC-C029-0006,reported,verified,Figure 14; not digitized.
HIST-C029-002,C029,C029-MACH,C029-MACH,flow circulation,simulated_output,shock_strength_sweep,,other,figure_only,,,,LOC-C029-0009,reported,verified,Figure 24; not digitized.
HIST-D019-001,D019,D019-ALL,D019-ALL,droplet vapor volume fraction,simulated_output,cavitation_zone,,evaporation_history,figure_only,,,,LOC-D019-0007,reported,verified,Figure 20; cavitation/condensation history not digitized.
