paper_id,source_record_id,reading_tier,case_id,condition_id,time_or_stage,spatial_location,parameter_group,parameter_name,reported_value,reported_unit,normalized_value,normalized_unit,value_status,definition,source_location,source_type,extraction_status,verification_status,notes,parameter_record_id,context_id,parameter_role,parameter_context,reference_frame,state_qualifier,event_id,interval_id,history_id,ratio_id,dimensionless_definition_id,process_relation_id,source_locator_id,sign_convention,missing_reason,schema_version
C014,C-SD-07,tier1,C014-C02,C014-C02,,,dimensionless_numbers,Re_reported,8600,,,,reported,ρg ug d0/μg; post-shock gas properties,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0011,CTX-C014-C014-C02,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-007,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C02,C014-C02,,,dimensionless_numbers,Mach,0.63,,,,reported,M∞: uniform post-shock freestream gas velocity/speed of sound,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0012,CTX-C014-C014-C02,operating_condition,post_shock_freestream,NV,,,,,,DIM-C014-008,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C02,C014-C02,,,dimensionless_numbers,density_ratio,3600,,,,reported,ρd/ρg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0013,CTX-C014-C014-C02,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C02,C014-C02,,,dimensionless_numbers,viscosity_ratio,697,,,,reported,μd/μg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0014,CTX-C014-C014-C02,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C03,C014-C03,,,dimensionless_numbers,We_reported,1120,,,,reported,ρg ug²d0/σ; post-shock gas density and velocity,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0015,CTX-C014-C014-C03,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-009,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C03,C014-C03,,,dimensionless_numbers,Oh_reported,0.043,,,,reported,μd/√(ρd d0 σ),"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0016,CTX-C014-C014-C03,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-010,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C03,C014-C03,,,dimensionless_numbers,Re_reported,5900,,,,reported,ρg ug d0/μg; post-shock gas properties,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0017,CTX-C014-C014-C03,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-011,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C03,C014-C03,,,dimensionless_numbers,Mach,0.83,,,,reported,M∞: uniform post-shock freestream gas velocity/speed of sound,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0018,CTX-C014-C014-C03,operating_condition,post_shock_freestream,NV,,,,,,DIM-C014-012,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C03,C014-C03,,,dimensionless_numbers,density_ratio,7100,,,,reported,ρd/ρg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0019,CTX-C014-C014-C03,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C03,C014-C03,,,dimensionless_numbers,viscosity_ratio,635,,,,reported,μd/μg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0020,CTX-C014-C014-C03,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C04,C014-C04,,,dimensionless_numbers,We_reported,1050,,,,reported,ρg ug²d0/σ; post-shock gas density and velocity,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0021,CTX-C014-C014-C04,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-013,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C04,C014-C04,,,dimensionless_numbers,Oh_reported,0.044,,,,reported,μd/√(ρd d0 σ),"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0022,CTX-C014-C014-C04,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-014,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C04,C014-C04,,,dimensionless_numbers,Re_reported,2600,,,,reported,ρg ug d0/μg; post-shock gas properties,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0023,CTX-C014-C014-C04,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-015,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C04,C014-C04,,,dimensionless_numbers,Mach,1.19,,,,reported,M∞: uniform post-shock freestream gas velocity/speed of sound,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0024,CTX-C014-C014-C04,operating_condition,post_shock_freestream,NV,,,,,,DIM-C014-016,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C04,C014-C04,,,dimensionless_numbers,density_ratio,21000,,,,reported,ρd/ρg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0025,CTX-C014-C014-C04,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C04,C014-C04,,,dimensionless_numbers,viscosity_ratio,508,,,,reported,μd/μg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0026,CTX-C014-C014-C04,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C05,C014-C05,,,dimensionless_numbers,We_reported,1160,,,,reported,ρg ug²d0/σ; post-shock gas density and velocity,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0027,CTX-C014-C014-C05,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-017,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C05,C014-C05,,,dimensionless_numbers,Oh_reported,0.002,,,,reported,μd/√(ρd d0 σ),"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0028,CTX-C014-C014-C05,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-018,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C05,C014-C05,,,dimensionless_numbers,Re_reported,9500,,,,reported,ρg ug d0/μg; post-shock gas properties,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0029,CTX-C014-C014-C05,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-019,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C05,C014-C05,,,dimensionless_numbers,Mach,0.83,,,,reported,M∞: uniform post-shock freestream gas velocity/speed of sound,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0030,CTX-C014-C014-C05,operating_condition,post_shock_freestream,NV,,,,,,DIM-C014-020,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C05,C014-C05,,,dimensionless_numbers,density_ratio,4500,,,,reported,ρd/ρg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0031,CTX-C014-C014-C05,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C05,C014-C05,,,dimensionless_numbers,viscosity_ratio,35,,,,reported,μd/μg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0032,CTX-C014-C014-C05,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C06,C014-C06,,,dimensionless_numbers,We_reported,1100,,,,reported,ρg ug²d0/σ; post-shock gas density and velocity,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0033,CTX-C014-C014-C06,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-021,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C06,C014-C06,,,dimensionless_numbers,Oh_reported,0.044,,,,reported,μd/√(ρd d0 σ),"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0034,CTX-C014-C014-C06,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-022,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C06,C014-C06,,,dimensionless_numbers,Re_reported,8800,,,,reported,ρg ug d0/μg; post-shock gas properties,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0035,CTX-C014-C014-C06,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-023,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C06,C014-C06,,,dimensionless_numbers,Mach,0.94,,,,reported,M∞: uniform post-shock freestream gas velocity/speed of sound,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0036,CTX-C014-C014-C06,operating_condition,post_shock_freestream,NV,,,,,,DIM-C014-024,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C06,C014-C06,,,dimensionless_numbers,density_ratio,4700,,,,reported,ρd/ρg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0037,CTX-C014-C014-C06,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C06,C014-C06,,,dimensionless_numbers,viscosity_ratio,802,,,,reported,μd/μg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0038,CTX-C014-C014-C06,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C07,C014-C07,,,dimensionless_numbers,We_reported,1120,,,,reported,ρg ug²d0/σ; post-shock gas density and velocity,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0039,CTX-C014-C014-C07,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-025,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C07,C014-C07,,,dimensionless_numbers,Oh_reported,0.043,,,,reported,μd/√(ρd d0 σ),"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0040,CTX-C014-C014-C07,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-026,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C07,C014-C07,,,dimensionless_numbers,Re_reported,5900,,,,reported,ρg ug d0/μg; post-shock gas properties,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0041,CTX-C014-C014-C07,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-027,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C07,C014-C07,,,dimensionless_numbers,Mach,1.19,,,,reported,M∞: uniform post-shock freestream gas velocity/speed of sound,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0042,CTX-C014-C014-C07,operating_condition,post_shock_freestream,NV,,,,,,DIM-C014-028,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C07,C014-C07,,,dimensionless_numbers,density_ratio,9000,,,,reported,ρd/ρg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0043,CTX-C014-C014-C07,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C07,C014-C07,,,dimensionless_numbers,viscosity_ratio,713,,,,reported,μd/μg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0044,CTX-C014-C014-C07,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C08,C014-C08,,,dimensionless_numbers,We_reported,1080,,,,reported,ρg ug²d0/σ; post-shock gas density and velocity,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0045,CTX-C014-C014-C08,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-029,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C08,C014-C08,,,dimensionless_numbers,Oh_reported,0.002,,,,reported,μd/√(ρd d0 σ),"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0046,CTX-C014-C014-C08,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-030,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C08,C014-C08,,,dimensionless_numbers,Re_reported,8600,,,,reported,ρg ug d0/μg; post-shock gas properties,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0047,CTX-C014-C014-C08,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-031,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C08,C014-C08,,,dimensionless_numbers,Mach,1.19,,,,reported,M∞: uniform post-shock freestream gas velocity/speed of sound,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0048,CTX-C014-C014-C08,operating_condition,post_shock_freestream,NV,,,,,,DIM-C014-032,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C08,C014-C08,,,dimensionless_numbers,density_ratio,6100,,,,reported,ρd/ρg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0049,CTX-C014-C014-C08,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C08,C014-C08,,,dimensionless_numbers,viscosity_ratio,39,,,,reported,μd/μg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0050,CTX-C014-C014-C08,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C016,C-SD-09,tier1,ALL,ALL,,,study_context,study_type,experimental,,,,reported,Shock-tube experiments with water droplets; synchronized shadowgraph/schlieren and top-view imaging.,"PDF p.1, Abstract",text,complete,verified,,PAR-C016-0001,CTX-C016-ALL,classification,,,,,,,,,,LOC-C016-0001,,,1.1
C016,C-SD-09,tier1,ALL,ALL,,,study_context,application_context,Core benchmark for the early wave-dominated stage and later aerodynamic breakup stage.,,,,reported,Pilot-role context,"PDF p.1, Abstract",text,complete,verified,,PAR-C016-0002,CTX-C016-ALL,descriptive_state,,,,,,,,,,LOC-C016-0001,,,1.1
C016,C-SD-09,tier1,C016-C01,C016-C01,,,shock_structure,M_s,1.12,,,,reported,Incident shock velocity divided by sound speed ahead of shock,"PDF p.8, definitions",text,complete,verified,,PAR-C016-0003,CTX-C016-C016-C01,operating_condition,incident_shock,NV,,,,,,DIM-C016-001,,LOC-C016-0002,,,1.1
C016,C-SD-09,tier1,C016-C01,C016-C01,,,dimensionless_numbers,We_reported,219,,,,reported,ρa Vi²Di/σ with post-shock induced airflow,"PDF p.13, Fig. 6 labels",figure,complete,verified,,PAR-C016-0004,CTX-C016-C016-C01,operating_condition,shock_droplet_loading,,,,,,,DIM-C016-002,,LOC-C016-0003,,,1.1
C016,C-SD-09,tier1,C016-C01,C016-C01,,,dimensionless_numbers,Re_reported,13000,,,,reported,ρa ViDi/μa with post-shock induced airflow,"PDF p.13, Fig. 6 labels",figure,complete,verified,,PAR-C016-0005,CTX-C016-C016-C01,operating_condition,shock_droplet_loading,,,,,,,DIM-C016-003,,LOC-C016-0003,,,1.1
C016,C-SD-09,tier1,C016-C01,C016-C01,,,droplet_initial,droplet_diameter_initial,2.5,mm,0.0025,m,reported,Initial water-droplet diameter Di,"PDF p.13, Fig. 6 labels",figure,complete,verified,,PAR-C016-0006,CTX-C016-C016-C01,initial_condition,,,,,,,,,,LOC-C016-0003,,,1.1
C016,C-SD-09,tier1,C016-C01,C016-C01,,,droplet_response,breakup_regime,SIE,,,,reported,Author breakup-mode label,"PDF p.13, Fig. 6",figure,complete,verified,,PAR-C016-0007,CTX-C016-C016-C01,descriptive_state,,,,,,,,,PROC-C016-001,LOC-C016-0004,,,1.1
C016,C-SD-09,tier1,C016-C02,C016-C02,,,shock_structure,M_s,1.3,,,,reported,Incident shock velocity divided by sound speed ahead of shock,"PDF p.8, definitions",text,complete,verified,,PAR-C016-0008,CTX-C016-C016-C02,operating_condition,incident_shock,NV,,,,,,DIM-C016-004,,LOC-C016-0002,,,1.1
C016,C-SD-09,tier1,C016-C02,C016-C02,,,dimensionless_numbers,We_reported,1600,,,,reported,ρa Vi²Di/σ with post-shock induced airflow,"PDF p.13, Fig. 6 labels",figure,complete,verified,,PAR-C016-0009,CTX-C016-C016-C02,operating_condition,shock_droplet_loading,,,,,,,DIM-C016-005,,LOC-C016-0003,,,1.1
C016,C-SD-09,tier1,C016-C02,C016-C02,,,dimensionless_numbers,Re_reported,40000,,,,reported,ρa ViDi/μa with post-shock induced airflow,"PDF p.13, Fig. 6 labels",figure,complete,verified,,PAR-C016-0010,CTX-C016-C016-C02,operating_condition,shock_droplet_loading,,,,,,,DIM-C016-006,,LOC-C016-0003,,,1.1
C016,C-SD-09,tier1,C016-C02,C016-C02,,,droplet_initial,droplet_diameter_initial,2.9,mm,0.0029,m,reported,Initial water-droplet diameter Di,"PDF p.13, Fig. 6 labels",figure,complete,verified,,PAR-C016-0011,CTX-C016-C016-C02,initial_condition,,,,,,,,,,LOC-C016-0003,,,1.1
C016,C-SD-09,tier1,C016-C02,C016-C02,,,droplet_response,breakup_regime,SIE,,,,reported,Author breakup-mode label,"PDF p.13, Fig. 6",figure,complete,verified,,PAR-C016-0012,CTX-C016-C016-C02,descriptive_state,,,,,,,,,PROC-C016-001,LOC-C016-0004,,,1.1
C016,C-SD-09,tier1,C016-C03,C016-C03,,,shock_structure,M_s,1.12,,,,reported,Incident shock velocity divided by sound speed ahead of shock,"PDF p.8, definitions",text,complete,verified,,PAR-C016-0013,CTX-C016-C016-C03,operating_condition,incident_shock,NV,,,,,,DIM-C016-007,,LOC-C016-0002,,,1.1
C016,C-SD-09,tier1,C016-C03,C016-C03,,,dimensionless_numbers,We_reported,44,,,,reported,ρa Vi²Di/σ with post-shock induced airflow,"PDF p.13, Fig. 6 labels",figure,complete,verified,,PAR-C016-0014,CTX-C016-C016-C03,operating_condition,shock_droplet_loading,,,,,,,DIM-C016-008,,LOC-C016-0003,,,1.1
C016,C-SD-09,tier1,C016-C03,C016-C03,,,dimensionless_numbers,Re_reported,2500,,,,reported,ρa ViDi/μa with post-shock induced airflow,"PDF p.13, Fig. 6 labels",figure,complete,verified,,PAR-C016-0015,CTX-C016-C016-C03,operating_condition,shock_droplet_loading,,,,,,,DIM-C016-009,,LOC-C016-0003,,,1.1
