ratio_id,paper_id,case_id,condition_id,ratio_name,ratio_symbol,reported_ratio_value,normalized_ratio_value,value_status,numerator_parameter_record_id,numerator_name,numerator_role,numerator_type,numerator_location,numerator_time_basis,denominator_parameter_record_id,denominator_name,denominator_role,denominator_type,denominator_location,denominator_time_basis,ratio_definition,source_locator_id,verification_status,notes,numerator_thermodynamic_pressure_type,numerator_pressure_reference_type,denominator_thermodynamic_pressure_type,denominator_pressure_reference_type
RATIO-B009-002,B009,B009-H2-NPR10,B009-H2-NPR10,nozzle_pressure_ratio,NPR,10,10,reported,,P0,stagnation_pressure,total,high-pressure tank/nozzle supply,initial,,P_infinity,ambient_pressure,static,low-pressure chamber,initial,P0/P_infinity,LOC-B009-0002,verified,Both pressures treated as absolute source pressures.,total,absolute,static,absolute
RATIO-B009-003,B009,B009-H2-NPR30,B009-H2-NPR30,nozzle_pressure_ratio,NPR,30,30,reported,,P0,stagnation_pressure,total,high-pressure tank/nozzle supply,initial,,P_infinity,ambient_pressure,static,low-pressure chamber,initial,P0/P_infinity,LOC-B009-0002,verified,Both pressures treated as absolute source pressures.,total,absolute,static,absolute
RATIO-B009-004,B009,B009-H2-NPR70,B009-H2-NPR70,nozzle_pressure_ratio,NPR,70,70,reported,,P0,stagnation_pressure,total,high-pressure tank/nozzle supply,initial,,P_infinity,ambient_pressure,static,low-pressure chamber,initial,P0/P_infinity,LOC-B009-0002,verified,Both pressures treated as absolute source pressures.,total,absolute,static,absolute
RATIO-B009-005,B009,B009-CH4-NPR8.5,B009-CH4-NPR8.5,nozzle_pressure_ratio,NPR,8.5,8.5,reported,,P0,stagnation_pressure,total,high-pressure tank/nozzle supply,initial,,P_infinity,ambient_pressure,static,low-pressure chamber,initial,P0/P_infinity,LOC-B009-0002,verified,Both pressures treated as absolute source pressures.,total,absolute,static,absolute
RATIO-B028-001,B028,B028-NPR5,B028-NPR5,nozzle_pressure_ratio,NPR,5,5,reported,,injection pressure (20 bar),other,reported_unspecified,injector supply,initial,,ambient pressure (4 bar),ambient_pressure,reported_unspecified,CVCC,initial,reported injection pressure / ambient pressure,LOC-B028-0004,verified,Source calls the numerator injection pressure; mapped to controlled role 'other'. Standalone pressure reference type is not explicitly specified; no assumption made.,reported_unspecified,reported_unspecified,reported_unspecified,reported_unspecified
RATIO-B028-002,B028,B028-NPR10,B028-NPR10,nozzle_pressure_ratio,NPR,10,10,reported,,injection pressure (50 bar),other,reported_unspecified,injector supply,initial,,ambient pressure (5 bar),ambient_pressure,reported_unspecified,CVCC,initial,reported injection pressure / ambient pressure,LOC-B028-0004,verified,Source calls the numerator injection pressure; mapped to controlled role 'other'. Standalone pressure reference type is not explicitly specified; no assumption made.,reported_unspecified,reported_unspecified,reported_unspecified,reported_unspecified
RATIO-B028-003,B028,B028-NPR15,B028-NPR15,nozzle_pressure_ratio,NPR,15,15,reported,,injection pressure (90 bar),other,reported_unspecified,injector supply,initial,,ambient pressure (6 bar),ambient_pressure,reported_unspecified,CVCC,initial,reported injection pressure / ambient pressure,LOC-B028-0004,verified,Source calls the numerator injection pressure; mapped to controlled role 'other'. Standalone pressure reference type is not explicitly specified; no assumption made.,reported_unspecified,reported_unspecified,reported_unspecified,reported_unspecified
RATIO-B028-004,B028,B028-NPR20,B028-NPR20,nozzle_pressure_ratio,NPR,20,20,reported,,injection pressure (60 bar),other,reported_unspecified,injector supply,initial,,ambient pressure (3 bar),ambient_pressure,reported_unspecified,CVCC,initial,reported injection pressure / ambient pressure,LOC-B028-0004,verified,Source calls the numerator injection pressure; mapped to controlled role 'other'. Standalone pressure reference type is not explicitly specified; no assumption made.,reported_unspecified,reported_unspecified,reported_unspecified,reported_unspecified
RATIO-B028-005,B028,B028-NPR40,B028-NPR40,nozzle_pressure_ratio,NPR,40,40,reported,,injection pressure (80 bar),other,reported_unspecified,injector supply,initial,,ambient pressure (2 bar),ambient_pressure,reported_unspecified,CVCC,initial,reported injection pressure / ambient pressure,LOC-B028-0004,verified,Source calls the numerator injection pressure; mapped to controlled role 'other'. Standalone pressure reference type is not explicitly specified; no assumption made.,reported_unspecified,reported_unspecified,reported_unspecified,reported_unspecified
RATIO-B028-006,B028,B028-NPR100,B028-NPR100,nozzle_pressure_ratio,NPR,100,100,reported,,injection pressure (100 bar),other,reported_unspecified,injector supply,initial,,ambient pressure (1 bar),ambient_pressure,reported_unspecified,CVCC,initial,reported injection pressure / ambient pressure,LOC-B028-0004,verified,Source calls the numerator injection pressure; mapped to controlled role 'other'. Standalone pressure reference type is not explicitly specified; no assumption made.,reported_unspecified,reported_unspecified,reported_unspecified,reported_unspecified
RATIO-C018-001,C018,C018-M1.75,n_hexane,gas_liquid_wave_velocity_ratio,n,0.550,0.550,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,n-hexane droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,n>1 high and n<1 low wave-speed-ratio classification.,,,,
RATIO-C018-002,C018,C018-M2.4,n_hexane,gas_liquid_wave_velocity_ratio,n,0.755,0.755,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,n-hexane droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,n>1 high and n<1 low wave-speed-ratio classification.,,,,
RATIO-C018-003,C018,C018-M3.0,n_hexane,gas_liquid_wave_velocity_ratio,n,0.943,0.943,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,n-hexane droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,n>1 high and n<1 low wave-speed-ratio classification.,,,,
RATIO-C018-004,C018,C018-M3.6,n_hexane,gas_liquid_wave_velocity_ratio,n,1.131,1.131,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,n-hexane droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,n>1 high and n<1 low wave-speed-ratio classification.,,,,
RATIO-C018-005,C018,C018-M4.2,n_hexane,gas_liquid_wave_velocity_ratio,n,1.320,1.320,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,n-hexane droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,n>1 high and n<1 low wave-speed-ratio classification.,,,,
RATIO-C018-006,C018,C018-M4.8,n_hexane,gas_liquid_wave_velocity_ratio,n,1.509,1.509,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,n-hexane droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,n>1 high and n<1 low wave-speed-ratio classification.,,,,
RATIO-C018-007,C018,C018-M5.4,n_hexane,gas_liquid_wave_velocity_ratio,n,1.698,1.698,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,n-hexane droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,n>1 high and n<1 low wave-speed-ratio classification.,,,,
RATIO-C018-008,C018,C018-M6.0,n_hexane,gas_liquid_wave_velocity_ratio,n,1.886,1.886,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,n-hexane droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,n>1 high and n<1 low wave-speed-ratio classification.,,,,
RATIO-C018-009,C018,C018-M6.6,n_hexane,gas_liquid_wave_velocity_ratio,n,2.075,2.075,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,n-hexane droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,n>1 high and n<1 low wave-speed-ratio classification.,,,,
RATIO-C018-010,C018,C018-M7.2,n_hexane,gas_liquid_wave_velocity_ratio,n,2.264,2.264,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,n-hexane droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,n>1 high and n<1 low wave-speed-ratio classification.,,,,
RATIO-C018-011,C018,C018-M7.8,n_hexane,gas_liquid_wave_velocity_ratio,n,2.452,2.452,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,n-hexane droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,n>1 high and n<1 low wave-speed-ratio classification.,,,,
RATIO-C018-012,C018,C018-M8.4,n_hexane,gas_liquid_wave_velocity_ratio,n,2.641,2.641,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,n-hexane droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,n>1 high and n<1 low wave-speed-ratio classification.,,,,
RATIO-C018-013,C018,C018-M1.75,water,gas_liquid_wave_velocity_ratio,n,0.413,0.413,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,water droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,Ms=8.4 water value absent in Table 1.,,,,
RATIO-C018-014,C018,C018-M2.4,water,gas_liquid_wave_velocity_ratio,n,0.567,0.567,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,water droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,Ms=8.4 water value absent in Table 1.,,,,
RATIO-C018-015,C018,C018-M3.0,water,gas_liquid_wave_velocity_ratio,n,0.708,0.708,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,water droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,Ms=8.4 water value absent in Table 1.,,,,
RATIO-C018-016,C018,C018-M3.6,water,gas_liquid_wave_velocity_ratio,n,0.850,0.850,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,water droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,Ms=8.4 water value absent in Table 1.,,,,
RATIO-C018-017,C018,C018-M4.2,water,gas_liquid_wave_velocity_ratio,n,0.991,0.991,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,water droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,Ms=8.4 water value absent in Table 1.,,,,
RATIO-C018-018,C018,C018-M4.8,water,gas_liquid_wave_velocity_ratio,n,1.133,1.133,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,water droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,Ms=8.4 water value absent in Table 1.,,,,
RATIO-C018-019,C018,C018-M5.4,water,gas_liquid_wave_velocity_ratio,n,1.273,1.273,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,water droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,Ms=8.4 water value absent in Table 1.,,,,
RATIO-C018-020,C018,C018-M6.0,water,gas_liquid_wave_velocity_ratio,n,1.416,1.416,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,water droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,Ms=8.4 water value absent in Table 1.,,,,
RATIO-C018-021,C018,C018-M6.6,water,gas_liquid_wave_velocity_ratio,n,1.558,1.558,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,water droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,Ms=8.4 water value absent in Table 1.,,,,
RATIO-C018-022,C018,C018-M7.2,water,gas_liquid_wave_velocity_ratio,n,1.700,1.700,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,water droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,Ms=8.4 water value absent in Table 1.,,,,
RATIO-C018-023,C018,C018-M7.8,water,gas_liquid_wave_velocity_ratio,n,1.841,1.841,reported,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,water droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,Ms=8.4 water value absent in Table 1.,,,,
RATIO-C018-024,C018,C018-M8.4,water,gas_liquid_wave_velocity_ratio,n,NA,NA,NA,,gas shock-wave velocity u_g,other,wave_velocity,gas phase,initial,,liquid transmitted-wave velocity u_l,other,wave_velocity,water droplet,initial,n=u_g/u_l,LOC-C018-0003,verified,Ms=8.4 water value absent in Table 1.,,,,
RATIO-B021-001,B021,B021-NPR10,B021-NPR10,NPR,NPR,10,10,reported,PAR-B021-0002,plenum inlet total pressure,stagnation_pressure,total,plenum inlet,quasi_steady,PAR-B021-0003,discharge chamber pressure,ambient_pressure,static,outlet/discharge chamber,quasi_steady,plenum inlet total pressure / discharge-chamber static pressure,LOC-B021-0002,verified,Contextual NPR.,total,reported_unspecified,static,reported_unspecified
RATIO-B021-002,B021,B021-ICE,B021-ICE,NPR,NPR,16.24 to 2.97,,reported,PAR-B021-0010,upstream hydrogen pressure,storage_pressure,reported_unspecified,upstream supply,plateau,PAR-B021-0011,in-cylinder static pressure,chamber_pressure,static,combustion chamber,time_resolved,upstream hydrogen pressure / in-cylinder static pressure,LOC-B021-0005,verified,Time-resolved ICE NPR; no plateau scalar inferred.,reported_unspecified,reported_unspecified,static,reported_unspecified
RATIO-C029-001,C029,C029-T650,C029-T650,speed_of_sound_ratio,n,1.8,1.8,reported,,nitrogen speed of sound,other,speed_of_sound,surrounding fluid,initial,,n-dodecane speed of sound,other,speed_of_sound,droplet,initial,n=c_surrounding/c_droplet,LOC-C029-0004,verified,Strongly convergent case.,,,,
RATIO-C029-002,C029,C029-P9.2,C029-P9.2,speed_of_sound_ratio,n,1.48,1.48,reported,,nitrogen speed of sound,other,speed_of_sound,surrounding fluid,initial,,n-dodecane speed of sound,other,speed_of_sound,droplet,initial,n=c_surrounding/c_droplet,LOC-C029-0008,verified,Simulated weak/strong convergence transition case.,,,,
